Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,756.0,-44647.46568064671,114409.59684516484,0,159057.06252581155,159057.06252581155,Open (756 sh)
AVGO,598.0,66378.40375488304,114423.53061344122,0,48045.126858558186,48045.126858558186,Open (598 sh)
CRM,347.0,80339.58588361507,114412.94282854853,0,34073.35694493346,34073.35694493346,Open (347 sh)
ORCL,604.0,80559.42264446398,114447.02115816323,0,33887.59851369925,33887.59851369925,Open (604 sh)
NOW,0,0,0,30457.93199999997,0,30457.93199999997,Closed
META,0,0,0,30396.409367504006,0,30396.409367504006,Closed
NFLX,1328.0,87232.35599999997,114487.79855468217,0,27255.442554682202,27255.442554682202,Open (1328 sh)
GE,0,0,0,25780.05085806991,0,25780.05085806991,Closed
GS,0,0,0,21458.92973812195,0,21458.92973812195,Closed
JPM,0,0,0,17591.308523083004,0,17591.308523083004,Closed
AMD,0,0,0,16542.140000000072,0,16542.140000000072,Closed
AAPL,0,0,0,15322.543151808,0,15322.543151808,Closed
MSFT,0,0,0,15277.57150208397,0,15277.57150208397,Closed
LLY,0,0,0,13117.565448922978,0,13117.565448922978,Closed
AMZN,0,0,0,10476.250166033016,0,10476.250166033016,Closed
GOOGL,0,0,0,7817.59572318854,0,7817.59572318854,Closed
ADBE,0,0,0,2022.2799999999988,0,2022.2799999999988,Closed
UNH,0,0,0,-236.31359162396984,0,-236.31359162396984,Closed
ABBV,0,0,0,-1576.8092891159904,0,-1576.8092891159904,Closed
HON,0,0,0,-2393.576820696646,0,-2393.576820696646,Closed
V,0,0,0,-2564.830986977002,0,-2564.830986977002,Closed
HD,0,0,0,-3173.5669286919874,0,-3173.5669286919874,Closed
CAT,0,0,0,-7534.054852112022,0,-7534.054852112022,Closed
MA,0,0,0,-8150.583189606012,0,-8150.583189606012,Closed
COST,0,0,0,-8691.64967247899,0,-8691.64967247899,Closed
TOTAL,,,,171939.19114751279,302318.5873976847,474257.77854519745,
