Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
UPST,348.0,-8901.659999999989,25965.04465890139,0,34866.70465890138,34866.70465890138,Open (348 sh)
NVDA,0,0,0,32256.173310832295,0,32256.173310832295,Closed
SMCI,0,0,0,26128.84399999999,0,26128.84399999999,Closed
DVN,0,0,0,24083.084904770993,0,24083.084904770993,Closed
HOOD,731.0,7383.790000000001,25965.88746706985,0,18582.09746706985,18582.09746706985,Open (731 sh)
COIN,0,0,0,18243.159999999996,0,18243.159999999996,Closed
BOOT,0,0,0,18004.829999999987,0,18004.829999999987,Closed
CAVA,194.0,10564.93,25885.19568725559,0,15320.265687255589,15320.265687255589,Open (194 sh)
AXON,42.0,11552.800000000017,25731.520507954338,0,14178.72050795432,14178.72050795432,Open (42 sh)
SOFI,1671.0,12664.130000000012,25967.11853518109,0,13302.988535181077,13302.988535181077,Open (1671 sh)
RCL,114.0,13327.686050173987,25953.06624776166,0,12625.380197587674,12625.380197587674,Open (114 sh)
NET,274.0,14138.369999999995,25903.01776560442,0,11764.647765604426,11764.647765604426,Open (274 sh)
WING,0,0,0,11216.805172938999,0,11216.805172938999,Closed
URI,0,0,0,11209.893215469012,0,11209.893215469012,Closed
CROX,0,0,0,9850.010000000038,0,9850.010000000038,Closed
CRWD,0,0,0,8538.64999999998,0,8538.64999999998,Closed
TSLA,79.0,19644.90115318561,25821.786209772155,0,6176.885056586547,6176.885056586547,Open (79 sh)
EME,0,0,0,5185.384122987991,0,5185.384122987991,Closed
BKNG,0,0,0,4628.9351981559885,0,4628.9351981559885,Closed
META,0,0,0,4115.563473661998,0,4115.563473661998,Closed
DE,0,0,0,4053.966604598005,0,4053.966604598005,Closed
PWR,0,0,0,3989.512115671023,0,3989.512115671023,Closed
AVGO,0,0,0,3541.1798293588945,0,3541.1798293588945,Closed
PYPL,0,0,0,3181.804521375998,0,3181.804521375998,Closed
LRCX,0,0,0,3044.221111308696,0,3044.221111308696,Closed
ZS,0,0,0,2957.1199999999953,0,2957.1199999999953,Closed
OXY,0,0,0,2344.9358047549977,0,2344.9358047549977,Closed
CELH,0,0,0,1929.6591546689888,0,1929.6591546689888,Closed
AMD,0,0,0,1922.5600000000413,0,1922.5600000000413,Closed
NOW,130.0,23948.835999999996,25838.642373141407,0,1889.8063731414113,1889.8063731414113,Open (130 sh)
FANG,0,0,0,1888.8553683210048,0,1888.8553683210048,Closed
XYZ,0,0,0,1815.0800000000017,0,1815.0800000000017,Closed
MRVL,0,0,0,1672.8021592139849,0,1672.8021592139849,Closed
CVX,0,0,0,1169.2889140780026,0,1169.2889140780026,Closed
XOM,0,0,0,990.3816246060087,0,990.3816246060087,Closed
ON,0,0,0,958.2899999999936,0,958.2899999999936,Closed
CRM,83.0,24996.645611948996,25739.277265649478,0,742.6316537004823,742.6316537004823,Open (83 sh)
MSFT,0,0,0,720.6202896000068,0,720.6202896000068,Closed
AMZN,0,0,0,248.13651642000332,0,248.13651642000332,Closed
MAR,0,0,0,180.94085933399765,0,180.94085933399765,Closed
GOOGL,0,0,0,84.15401655250025,0,84.15401655250025,Closed
DPZ,0,0,0,7.9088709320058115,0,7.9088709320058115,Closed
WYNN,0,0,0,-104.75891137199505,0,-104.75891137199505,Closed
MU,0,0,0,-153.488534858996,0,-153.488534858996,Closed
LVS,0,0,0,-377.8055516800014,0,-377.8055516800014,Closed
PANW,0,0,0,-431.03105672399397,0,-431.03105672399397,Closed
LULU,0,0,0,-481.84999999999127,0,-481.84999999999127,Closed
DECK,0,0,0,-710.531808773012,0,-710.531808773012,Closed
QCOM,0,0,0,-753.0007706369943,0,-753.0007706369943,Closed
DDOG,179.0,27088.62999999999,25892.440049602483,0,-1196.1899503975073,-1196.1899503975073,Open (179 sh)
CAT,0,0,0,-1471.7030738129997,0,-1471.7030738129997,Closed
CMG,0,0,0,-1484.4800999999861,0,-1484.4800999999861,Closed
AAPL,0,0,0,-1558.3685083020173,0,-1558.3685083020173,Closed
AMAT,0,0,0,-2027.2311987329958,0,-2027.2311987329958,Closed
SBUX,0,0,0,-2137.0430868480034,0,-2137.0430868480034,Closed
KLAC,0,0,0,-2599.3593814480046,0,-2599.3593814480046,Closed
NKE,0,0,0,-2755.1901918600015,0,-2755.1901918600015,Closed
TOST,630.0,29353.42,25975.72654220505,0,-3377.693457794947,-3377.693457794947,Open (630 sh)
CCL,1078.0,29650.54999999999,25959.949930871808,0,-3690.6000691281806,-3690.6000691281806,Open (1078 sh)
SNOW,0,0,0,-4602.66,0,-4602.66,Closed
DUOL,78.0,30499.61,25724.645466040813,0,-4774.964533959188,-4774.964533959188,Open (78 sh)
AFRM,391.0,39004.10000000002,25922.42129298847,0,-13081.67870701155,-13081.67870701155,Open (391 sh)
TOTAL,,,,188514.24898456238,103329.00118469135,291843.25016925373,
