Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,0,0,0,27362.463231101283,0,27362.463231101283,Closed
DVN,0,0,0,22513.487477614523,0,22513.487477614523,Closed
SMCI,0,0,0,21936.259608999993,0,21936.259608999993,Closed
RCL,83.0,6704.238727904885,20494.21142874992,0,13789.972700845035,13789.972700845035,Open (83 sh)
URI,0,0,0,11700.831302024359,0,11700.831302024359,Closed
CROX,0,0,0,11510.604680000004,0,11510.604680000004,Closed
AXON,31.0,9761.981540000023,20599.047988391012,0,10837.06644839099,10837.06644839099,Open (31 sh)
AVGO,0,0,0,7807.68335074724,0,7807.68335074724,Closed
TSLA,58.0,12994.122336132423,20561.579786207873,0,7567.45745007545,7567.45745007545,Open (58 sh)
ROKU,0,0,0,7359.4738200000065,0,7359.4738200000065,Closed
TTD,156.0,13347.806245000007,20638.270199288254,0,7290.463954288247,7290.463954288247,Open (156 sh)
ALGN,0,0,0,6576.938780000004,0,6576.938780000004,Closed
PINS,0,0,0,6510.739695000004,0,6510.739695000004,Closed
MS,156.0,12705.820695011847,18155.181416250023,0,5449.360721238176,5449.360721238176,Open (156 sh)
SNAP,0,0,0,4776.52025999999,0,4776.52025999999,Closed
XYZ,227.0,15919.420899999997,20686.691476695847,0,4767.27057669585,4767.27057669585,Open (227 sh)
AMD,0,0,0,4407.3102900000085,0,4407.3102900000085,Closed
ETSY,0,0,0,4288.190340000001,0,4288.190340000001,Closed
NOW,96.0,13600.995381999994,17672.776216178245,0,4071.780834178251,4071.780834178251,Open (96 sh)
MGM,0,0,0,4070.415164322796,0,4070.415164322796,Closed
CRM,61.0,16797.30784582885,20558.24209325266,0,3760.9342474238074,3760.9342474238074,Open (61 sh)
BKNG,3.0,10707.084519325119,14278.834748562793,0,3571.750229237674,3571.750229237674,Open (3 sh)
GS,33.0,16603.62821032197,20154.915469688473,0,3551.2872593665015,3551.2872593665015,Open (33 sh)
DE,0,0,0,3373.7769732355882,0,3373.7769732355882,Closed
PYPL,232.0,17320.741770826848,20669.567214141403,0,3348.8254433145557,3348.8254433145557,Open (232 sh)
QCOM,0,0,0,3225.2032330236543,0,3225.2032330236543,Closed
META,0,0,0,2413.103436202815,0,2413.103436202815,Closed
OXY,0,0,0,2010.4725594270276,0,2010.4725594270276,Closed
GOOGL,0,0,0,1944.3313912753074,0,1944.3313912753074,Closed
HLT,0,0,0,1926.524903229747,0,1926.524903229747,Closed
VEEV,0,0,0,1851.3112800000008,0,1851.3112800000008,Closed
ISRG,37.0,18999.453693249612,20638.476028310175,0,1639.022335060563,1639.022335060563,Open (37 sh)
LRCX,0,0,0,1629.6365909480373,0,1629.6365909480373,Closed
AMZN,0,0,0,1609.9011558226266,0,1609.9011558226266,Closed
DECK,0,0,0,1501.7136736760294,0,1501.7136736760294,Closed
XOM,0,0,0,1397.519448804429,0,1397.519448804429,Closed
CMG,0,0,0,1260.0368228999796,0,1260.0368228999796,Closed
AMAT,0,0,0,1173.6375608992603,0,1173.6375608992603,Closed
CVX,0,0,0,973.4081303930507,0,973.4081303930507,Closed
NFLX,226.0,19685.365210000018,20584.818699107975,0,899.4534891079566,899.4534891079566,Open (226 sh)
BA,0,0,0,415.19632000000274,0,415.19632000000274,Closed
ON,0,0,0,203.26621999999043,0,203.26621999999043,Closed
TXN,0,0,0,70.85313150056027,0,70.85313150056027,Closed
WYNN,0,0,0,-4.7379527827652055,0,-4.7379527827652055,Closed
KLAC,0,0,0,-53.49041311979818,0,-53.49041311979818,Closed
SBUX,0,0,0,-307.4702782599488,0,-307.4702782599488,Closed
LVS,0,0,0,-360.04727760855894,0,-360.04727760855894,Closed
COP,0,0,0,-1035.7470935666643,0,-1035.7470935666643,Closed
JPM,0,0,0,-1337.8627229739723,0,-1337.8627229739723,Closed
SLB,0,0,0,-1610.6995155238255,0,-1610.6995155238255,Closed
MSFT,0,0,0,-1630.2045455744665,0,-1630.2045455744665,Closed
DXCM,0,0,0,-1700.1824225000018,0,-1700.1824225000018,Closed
AAPL,0,0,0,-1741.830488815649,0,-1741.830488815649,Closed
UNP,0,0,0,-2073.4095007499272,0,-2073.4095007499272,Closed
MRVL,217.0,22879.088312419975,20635.39615140173,0,-2243.692161018247,-2243.692161018247,Open (217 sh)
NKE,0,0,0,-2289.8670704223478,0,-2289.8670704223478,Closed
CAT,0,0,0,-2589.747059215646,0,-2589.747059215646,Closed
LULU,0,0,0,-2828.9899600000062,0,-2828.9899600000062,Closed
MU,0,0,0,-3188.88492900203,0,-3188.88492900203,Closed
ADBE,0,0,0,-3303.391330000013,0,-3303.391330000013,Closed
CCL,806.0,22264.749549999993,18248.801083773615,0,-4015.9484662263785,-4015.9484662263785,Open (806 sh)
DPZ,0,0,0,-4195.414693991741,0,-4195.414693991741,Closed
TOTAL,,,,137548.8335770409,64285.00506197843,201833.83863901935,
