Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
GE,0,0,0,76794.91924091766,0,76794.91924091766,Closed
NVDA,0,0,0,61281.84704809124,0,61281.84704809124,Closed
TSLA,150.0,15088.835850936244,51456.15161444717,0,36367.315763510924,36367.315763510924,Open (150 sh)
META,0,0,0,21416.39366116014,0,21416.39366116014,Closed
CRM,158.0,31403.095340113912,51423.56676832217,0,20020.471428208257,20020.471428208257,Open (158 sh)
ABBV,0,0,0,18492.773776255024,0,18492.773776255024,Closed
NFLX,584.0,33477.584999999846,51471.75920522541,0,17994.174205225565,17994.174205225565,Open (584 sh)
AVGO,0,0,0,16896.477250105818,0,16896.477250105818,Closed
AMZN,0,0,0,11939.520885580976,0,11939.520885580976,Closed
JPM,212.0,41814.35686620901,51369.529751286864,0,9555.172885077853,9555.172885077853,Open (212 sh)
COST,53.0,42945.640569326,50927.66442598793,0,7982.02385666193,7982.02385666193,Open (53 sh)
LLY,0,0,0,7852.6762249300955,0,7852.6762249300955,Closed
BLK,51.0,45381.71956344298,50550.87092306432,0,5169.151359621341,5169.151359621341,Open (51 sh)
AAPL,0,0,0,4398.730582252552,0,4398.730582252552,Closed
UPS,0,0,0,2150.9249459819985,0,2150.9249459819985,Closed
GOOGL,0,0,0,1913.9138696395094,0,1913.9138696395094,Closed
CAT,0,0,0,1678.4945043409534,0,1678.4945043409534,Closed
V,0,0,0,1325.701165482984,0,1325.701165482984,Closed
NKE,0,0,0,1044.6580241979973,0,1044.6580241979973,Closed
MSFT,0,0,0,967.0091979659628,0,967.0091979659628,Closed
UNH,0,0,0,455.49714233897976,0,455.49714233897976,Closed
DIS,0,0,0,333.2073547199834,0,333.2073547199834,Closed
HON,0,0,0,88.23802459356375,0,88.23802459356375,Closed
GS,87.0,51541.82466127601,51313.928193557054,0,-227.89646771895787,-227.89646771895787,Open (87 sh)
PFE,0,0,0,-695.3120887484984,0,-695.3120887484984,Closed
PG,0,0,0,-767.1240502200235,0,-767.1240502200235,Closed
JNJ,0,0,0,-1823.3763060680067,0,-1823.3763060680067,Closed
CMCSA,0,0,0,-2953.675482140301,0,-2953.675482140301,Closed
HD,123.0,56895.15623673599,51182.89911810915,0,-5712.25711862684,-5712.25711862684,Open (123 sh)
TOTAL,,,,222791.4949713786,91148.15591196009,313939.65088333865,
