Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,0,0,0,34132.21946770797,0,34132.21946770797,Closed
TSLA,88.0,-190.92258171319554,31905.803368284018,0,32096.725949997213,32096.725949997213,Open (88 sh)
META,0,0,0,17719.651855262025,0,17719.651855262025,Closed
GE,0,0,0,17096.26739190121,0,17096.26739190121,Closed
AVGO,0,0,0,15745.392208394012,0,15745.392208394012,Closed
GS,55.0,21239.485262965987,31564.717213571515,0,10325.231950605528,10325.231950605528,Open (55 sh)
COST,0,0,0,9124.909340325,0,9124.909340325,Closed
NFLX,357.0,24496.974999999977,32153.904295416796,0,7656.9292954168195,7656.9292954168195,Open (357 sh)
AMZN,0,0,0,5816.525140715006,0,5816.525140715006,Closed
AAPL,135.0,26585.603452592753,32050.592728699125,0,5464.989276106371,5464.989276106371,Open (135 sh)
CRM,91.0,28452.654932010002,32023.483769121296,0,3570.828837111294,3570.828837111294,Open (91 sh)
LLY,0,0,0,3498.766238606011,0,3498.766238606011,Closed
BLK,31.0,28165.638378710006,31142.849169255598,0,2977.2107905455923,2977.2107905455923,Open (31 sh)
CAT,0,0,0,2954.903966331003,0,2954.903966331003,Closed
UNH,0,0,0,2611.1022629090003,0,2611.1022629090003,Closed
CMCSA,0,0,0,1444.2541071502128,0,1444.2541071502128,Closed
JPM,134.0,30282.42339527799,31466.834489449233,0,1184.4110941712424,1184.4110941712424,Open (134 sh)
ABBV,0,0,0,960.3121357440104,0,960.3121357440104,Closed
HON,0,0,0,882.3534887647911,0,882.3534887647911,Closed
MSFT,0,0,0,877.5126385320036,0,877.5126385320036,Closed
GOOGL,0,0,0,670.829319295488,0,670.829319295488,Closed
DIS,0,0,0,461.80835224600014,0,461.80835224600014,Closed
HD,78.0,31702.430426163006,31852.534966202416,0,150.1045400394105,150.1045400394105,Open (78 sh)
NKE,0,0,0,11.797467893997236,0,11.797467893997236,Closed
UPS,0,0,0,-201.85760239299998,0,-201.85760239299998,Closed
BA,0,0,0,-1771.5699999999997,0,-1771.5699999999997,Closed
PFE,0,0,0,-3177.3834783895,0,-3177.3834783895,Closed
TOTAL,,,,108857.79430099521,63426.431733993464,172284.22603498868,
