symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
NFLX,2,1,1,50.0%,941.94,0.00,941.94,17.7%,-8.2%,2.17
ADBE,1,1,0,100.0%,855.76,0.00,855.76,9.4%,N/A,N/A
LOW,1,1,0,100.0%,745.72,0.00,745.72,8.2%,N/A,N/A
CRM,1,1,0,100.0%,694.29,0.00,694.29,7.5%,N/A,N/A
META,1,1,0,100.0%,673.68,0.00,673.68,7.0%,N/A,N/A
GILD,1,1,0,100.0%,649.83,0.00,649.83,7.2%,N/A,N/A
INTC,1,1,0,100.0%,617.17,0.00,617.17,6.2%,N/A,N/A
GS,1,1,0,100.0%,605.37,0.00,605.37,6.2%,N/A,N/A
AMGN,1,1,0,100.0%,600.97,0.00,600.97,6.5%,N/A,N/A
QCOM,1,1,0,100.0%,561.38,0.00,561.38,5.8%,N/A,N/A
IBM,1,1,0,100.0%,543.47,0.00,543.47,6.0%,N/A,N/A
CVX,1,1,0,100.0%,479.11,0.00,479.11,5.2%,N/A,N/A
DIS,1,1,0,100.0%,409.41,0.00,409.41,4.5%,N/A,N/A
NKE,2,1,1,50.0%,243.09,0.00,243.09,7.7%,-4.5%,1.72
C,2,1,1,50.0%,191.38,0.00,191.38,7.3%,-5.0%,1.46
COP,2,1,1,50.0%,127.39,0.00,127.39,15.0%,-12.5%,1.20
ABT,2,1,1,50.0%,76.26,0.00,76.26,6.2%,-5.0%,1.22
V,2,1,1,50.0%,-178.37,0.00,-178.37,4.3%,-6.0%,0.71
AAPL,1,0,1,0.0%,-192.65,0.00,-192.65,N/A,-2.0%,N/A
VZ,1,0,1,0.0%,-229.16,0.00,-229.16,N/A,-2.3%,N/A
PNC,1,0,1,0.0%,-337.99,0.00,-337.99,N/A,-3.4%,N/A
HD,1,0,1,0.0%,-349.27,0.00,-349.27,N/A,-3.6%,N/A
TMO,1,0,1,0.0%,-351.71,0.00,-351.71,N/A,-3.5%,N/A
BAC,1,0,1,0.0%,-423.63,0.00,-423.63,N/A,-4.3%,N/A
PFE,1,0,1,0.0%,-429.42,0.00,-429.42,N/A,-4.7%,N/A
ABBV,1,0,1,0.0%,-439.26,0.00,-439.26,N/A,-4.6%,N/A
BA,1,0,1,0.0%,-506.12,0.00,-506.12,N/A,-5.2%,N/A
UNH,1,0,1,0.0%,-575.00,0.00,-575.00,N/A,-5.7%,N/A
JPM,1,0,1,0.0%,-576.55,0.00,-576.55,N/A,-5.8%,N/A
GOOGL,1,0,1,0.0%,-577.84,0.00,-577.84,N/A,-6.4%,N/A
TJX,1,0,1,0.0%,-606.22,0.00,-606.22,N/A,-6.1%,N/A
MS,1,0,1,0.0%,-613.16,0.00,-613.16,N/A,-6.1%,N/A
LLY,1,0,1,0.0%,-649.25,0.00,-649.25,N/A,-6.6%,N/A
XOM,1,0,1,0.0%,-650.53,0.00,-650.53,N/A,-6.6%,N/A
EOG,1,0,1,0.0%,-890.23,0.00,-890.23,N/A,-9.0%,N/A
FDX,2,0,2,0.0%,-1305.49,0.00,-1305.49,N/A,-6.7%,N/A
DE,2,0,2,0.0%,-1403.19,0.00,-1403.19,N/A,-7.5%,N/A
