symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
EOG,2015-10-23,2015-12-04,Long,156.0,63.30614834544,57.599552290808,-890.2289845225922,-9.01%,42,0
AAPL,2015-10-26,2015-10-27,Long,369.0,26.727398813115,26.2053248254088,-192.64530146358786,-1.95%,1,0
NFLX,2015-10-26,2015-11-17,Long,986.0,10.014004,11.787937,1749.0979379999994,17.71%,22,0
NFLX,2016-05-27,2016-06-10,Long,959.0,10.291281,9.449615,-807.157694,-8.18%,14,0
GS,2015-10-27,2015-11-06,Long,64.0,152.038135574325,161.4969997713,605.3673086064009,6.22%,10,0
VZ,2015-10-27,2015-11-10,Long,357.0,27.539125762148,26.897219748524,-229.16044686376745,-2.33%,14,0
BA,2015-10-28,2015-12-18,Long,74.0,132.4576925672,125.61829701519,-506.1152708487413,-5.16%,51,0
ABT,2015-10-28,2016-01-07,Long,270.0,36.374476302164,34.540551419049,-495.1597184410489,-5.04%,71,0
ABT,2016-03-23,2016-04-13,Long,271.0,34.226600349942,36.335146349527,571.4159658875362,6.16%,21,0
BAC,2015-10-29,2016-01-04,Long,718.0,13.843504426752,13.253485780955,-423.63338768224634,-4.26%,67,0
PNC,2015-10-29,2016-01-07,Long,146.0,67.906844729724,65.591849610588,-337.98928739385605,-3.41%,70,0
LLY,2015-10-29,2016-01-28,Long,142.0,69.598728770571,65.026547576058,-649.249729620847,-6.57%,91,0
JPM,2015-10-29,2016-01-06,Long,199.0,49.80224904655,46.904994841588,-576.5535867874386,-5.82%,69,0
C,2015-11-09,2015-11-12,Long,243.0,41.775489594839,39.692133332351,-506.25557178458473,-4.99%,3,0
C,2016-05-18,2016-05-25,Long,293.0,32.743090073694,35.124082280214,697.6307165103595,7.27%,7,0
UNH,2015-11-11,2016-01-13,Long,102.0,98.392750523067,92.755535088312,-574.9959743450092,-5.73%,63,0
COP,2015-11-17,2015-12-07,Long,251.0,39.49478567034,34.54368960258,-1242.7251130077595,-12.54%,20,0
COP,2016-03-14,2016-04-19,Long,307.0,29.663344118408,34.126245263368,1370.11065150272,15.05%,36,0
INTC,2015-11-18,2015-11-20,Long,386.0,25.82434030176,27.42321757368,617.1666269611197,6.19%,2,0
NKE,2015-11-23,2015-12-11,Long,174.0,58.29463735095,55.680780656715,-454.81106479688947,-4.48%,18,0
NKE,2016-03-14,2016-03-21,Long,171.0,53.070234713496,57.15155447487,697.9056791949536,7.69%,7,0
TJX,2015-12-09,2016-01-08,Long,320.0,31.025832393556,29.13140984326,-606.215216094721,-6.11%,30,0
TMO,2015-12-17,2015-12-18,Long,73.0,136.608958221736,131.79103441403,-351.70843796253763,-3.53%,1,0
MS,2015-12-17,2015-12-18,Long,396.0,25.345699564185,23.797321839135,-613.1575791197996,-6.11%,1,0
XOM,2015-12-24,2016-01-08,Long,189.0,51.798771011988,48.356790511812,-650.5343145332643,-6.64%,15,0
V,2015-12-24,2016-01-07,Long,134.0,73.15827807288,68.775166667655,-587.3369283001492,-5.99%,14,0
V,2016-05-23,2016-06-08,Long,132.0,72.749474439642,75.847684358124,408.9637092396238,4.26%,16,0
FDX,2015-12-24,2016-01-06,Long,76.0,129.247787064396,118.090740062814,-847.935572120231,-8.63%,13,0
FDX,2016-05-03,2016-05-05,Long,67.0,143.948812124117,137.119708921411,-457.5499145813035,-4.74%,2,0
PFE,2016-03-14,2016-03-16,Long,479.0,19.0094942304273,18.1129930210551,-429.4240792892839,-4.72%,2,0
DE,2016-03-14,2016-03-31,Long,129.0,70.285188341368,65.228036535588,-652.3725829456193,-7.20%,17,0
DE,2016-05-11,2016-05-20,Long,136.0,71.566554231172,66.045806593744,-750.8216786902083,-7.71%,9,0
GILD,2016-03-15,2016-04-06,Long,141.0,63.967045320178,68.575736260649,649.82542260641,7.20%,22,0
ADBE,2016-03-15,2016-04-01,Long,104.0,87.09701,95.3255,855.7629600000008,9.45%,17,0
GOOGL,2016-03-15,2016-04-28,Long,243.0,37.267928209512,34.889989108606,-577.8392015201574,-6.38%,44,0
LOW,2016-03-15,2016-05-18,Long,149.0,60.81703122495,65.821874446276,745.7216399775738,8.23%,64,0
DIS,2016-03-15,2016-04-22,Long,99.0,91.167662530945,95.303134973335,409.4117717966111,4.54%,38,0
IBM,2016-03-17,2016-05-26,Long,99.0,91.5707275762169,97.0603404326285,543.4716727847481,5.99%,70,0
AMGN,2016-04-04,2016-04-21,Long,80.0,115.430417454352,122.942542601182,600.9700117464001,6.51%,17,0
CRM,2016-04-04,2016-05-19,Long,123.0,74.895727694788,80.540393556488,694.2939009891006,7.54%,45,0
CVX,2016-04-07,2016-04-19,Long,148.0,62.682105751265,65.919345035619,479.1114140843926,5.16%,12,0
META,2016-04-20,2016-05-10,Long,86.0,111.622577794728,119.456048998336,673.678523510288,7.02%,20,0
HD,2016-04-25,2016-05-17,Long,90.0,107.60482047315,103.724084697575,-349.2662198017504,-3.61%,22,0
ABBV,2016-05-06,2016-05-19,Long,228.0,42.000064537431,40.073465150817,-439.2646601479922,-4.59%,13,0
QCOM,2016-05-19,2016-05-25,Long,240.0,40.24279662403,42.58189610282,561.3838749095993,5.81%,6,0
