symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
CRM,18,12,6,66.7%,13594.65,0.00,13594.65,9.5%,-4.1%,2.35
AVGO,18,9,9,50.0%,10953.46,0.00,10953.46,11.7%,-6.0%,1.97
INTC,19,12,7,63.2%,10356.12,0.00,10356.12,9.1%,-7.2%,1.26
META,17,11,6,64.7%,8980.56,0.00,8980.56,8.5%,-7.0%,1.21
LLY,15,10,5,66.7%,8593.71,0.00,8593.71,7.3%,-5.6%,1.31
GE,17,10,7,58.8%,8083.00,0.00,8083.00,9.9%,-7.2%,1.37
AMZN,17,11,6,64.7%,8008.84,0.00,8008.84,8.6%,-6.4%,1.35
AAPL,22,13,9,59.1%,7907.43,0.00,7907.43,6.7%,-5.4%,1.24
BAC,17,10,7,58.8%,6978.45,0.00,6978.45,8.0%,-6.0%,1.32
EOG,18,9,9,50.0%,6911.16,0.00,6911.16,11.2%,-6.3%,1.78
AMGN,10,7,3,70.0%,6515.87,0.00,6515.87,7.2%,-4.3%,1.67
BMY,11,8,3,72.7%,6447.34,0.00,6447.34,6.4%,-4.9%,1.30
COST,13,10,3,76.9%,6261.19,0.00,6261.19,5.1%,-3.7%,1.39
GS,14,9,5,64.3%,6093.82,0.00,6093.82,7.5%,-5.0%,1.49
MCD,16,13,3,81.2%,5884.07,0.00,5884.07,4.6%,-4.6%,1.00
PFE,9,6,3,66.7%,5605.86,0.00,5605.86,6.9%,-5.3%,1.30
ADBE,20,12,8,60.0%,5322.61,0.00,5322.61,7.3%,-6.8%,1.08
KO,12,9,3,75.0%,5310.57,0.00,5310.57,4.7%,-3.0%,1.56
PM,17,9,8,52.9%,4651.25,0.00,4651.25,6.3%,-4.7%,1.36
MS,15,7,8,46.7%,4630.50,0.00,4630.50,10.5%,-5.8%,1.81
C,14,8,6,57.1%,4628.16,0.00,4628.16,7.1%,-5.5%,1.29
MA,13,9,4,69.2%,4595.91,0.00,4595.91,6.0%,-4.4%,1.36
JPM,12,6,6,50.0%,4264.36,0.00,4264.36,7.9%,-5.0%,1.58
MDT,10,7,3,70.0%,4177.12,0.00,4177.12,5.2%,-3.2%,1.62
MSFT,8,6,2,75.0%,4144.67,0.00,4144.67,8.2%,-6.9%,1.18
TMO,12,6,6,50.0%,3887.27,0.00,3887.27,7.0%,-4.3%,1.64
ABBV,14,7,7,50.0%,3512.27,0.00,3512.27,6.4%,-4.6%,1.39
RTX,9,5,4,55.6%,3387.90,0.00,3387.90,7.8%,-6.6%,1.19
ORCL,6,4,2,66.7%,3246.78,0.00,3246.78,8.2%,-7.6%,1.08
CAT,14,8,6,57.1%,3122.66,0.00,3122.66,7.3%,-6.4%,1.15
COP,18,8,10,44.4%,3082.20,0.00,3082.20,10.0%,-6.6%,1.51
WFC,13,5,8,38.5%,3059.01,0.00,3059.01,10.3%,-5.4%,1.90
ABT,12,5,7,41.7%,3000.11,0.00,3000.11,7.8%,-3.8%,2.05
IBM,13,7,6,53.8%,2969.69,0.00,2969.69,6.1%,-3.8%,1.59
PNC,12,6,6,50.0%,2837.16,0.00,2837.16,9.0%,-5.1%,1.76
HON,5,4,1,80.0%,2737.81,0.00,2737.81,6.7%,-4.5%,1.50
SO,10,6,4,60.0%,2481.44,0.00,2481.44,4.8%,-4.1%,1.18
BRK.B,8,5,3,62.5%,2325.50,0.00,2325.50,5.6%,-4.6%,1.20
CVX,15,6,9,40.0%,2202.43,0.00,2202.43,6.4%,-4.4%,1.44
UNP,16,8,8,50.0%,2044.43,0.00,2044.43,7.0%,-4.5%,1.57
SBUX,13,9,4,69.2%,1941.48,0.00,1941.48,5.9%,-4.9%,1.19
NEE,6,4,2,66.7%,1881.67,0.00,1881.67,6.6%,-5.4%,1.24
VZ,7,4,3,57.1%,1853.50,0.00,1853.50,6.5%,-3.6%,1.82
PEP,7,4,3,57.1%,1732.67,0.00,1732.67,5.4%,-4.6%,1.19
QCOM,12,7,5,58.3%,1646.60,0.00,1646.60,10.5%,-8.2%,1.29
HD,10,5,5,50.0%,1522.26,0.00,1522.26,5.2%,-4.4%,1.18
AXP,15,7,8,46.7%,1485.20,0.00,1485.20,9.5%,-5.6%,1.72
XOM,13,4,9,30.8%,1276.56,0.00,1276.56,9.5%,-5.0%,1.91
TGT,13,7,6,53.8%,1232.41,0.00,1232.41,7.8%,-6.1%,1.27
GILD,13,6,7,46.2%,1075.21,0.00,1075.21,6.6%,-4.9%,1.36
CSCO,8,3,5,37.5%,285.45,0.00,285.45,7.8%,-3.7%,2.12
UNH,14,6,8,42.9%,-234.18,0.00,-234.18,7.0%,-5.1%,1.36
V,16,9,7,56.2%,-399.12,0.00,-399.12,4.7%,-6.2%,0.75
PG,11,5,6,45.5%,-448.80,0.00,-448.80,4.0%,-3.7%,1.09
DUK,7,3,4,42.9%,-686.06,0.00,-686.06,4.9%,-4.3%,1.15
MMM,10,4,6,40.0%,-689.91,0.00,-689.91,6.5%,-4.8%,1.36
DIS,13,5,8,38.5%,-789.71,0.00,-789.71,5.4%,-4.0%,1.34
TJX,9,3,6,33.3%,-795.72,0.00,-795.72,7.3%,-5.7%,1.27
LMT,15,7,8,46.7%,-871.60,0.00,-871.60,4.6%,-4.2%,1.10
DE,18,7,11,38.9%,-1018.58,0.00,-1018.58,8.5%,-6.2%,1.38
LOW,19,9,10,47.4%,-1201.51,0.00,-1201.51,7.1%,-5.4%,1.30
GOOGL,14,6,8,42.9%,-1744.47,0.00,-1744.47,7.2%,-6.2%,1.17
JNJ,10,4,6,40.0%,-1868.05,0.00,-1868.05,4.2%,-3.6%,1.17
USB,15,7,8,46.7%,-1904.61,0.00,-1904.61,7.5%,-7.3%,1.02
FDX,14,4,10,28.6%,-2346.80,0.00,-2346.80,11.1%,-6.8%,1.63
WMT,16,5,11,31.2%,-2514.49,0.00,-2514.49,8.0%,-4.5%,1.79
MRK,20,8,12,40.0%,-2555.93,0.00,-2555.93,6.0%,-4.5%,1.34
CL,10,2,8,20.0%,-2631.23,0.00,-2631.23,4.5%,-3.2%,1.42
CMCSA,6,2,4,33.3%,-2659.70,0.00,-2659.70,7.5%,-6.3%,1.18
T,13,5,8,38.5%,-3394.95,0.00,-3394.95,6.8%,-6.2%,1.10
BA,16,5,11,31.2%,-3501.65,0.00,-3501.65,11.1%,-8.3%,1.35
SLB,21,8,13,38.1%,-3872.66,0.00,-3872.66,10.5%,-7.2%,1.45
NKE,14,5,9,35.7%,-4448.83,0.00,-4448.83,5.8%,-6.0%,0.98
BLK,12,2,10,16.7%,-5382.23,0.00,-5382.23,4.7%,-4.7%,1.00
TXN,13,4,9,30.8%,-6043.54,0.00,-6043.54,6.4%,-5.9%,1.08
NFLX,19,6,13,31.6%,-7266.49,0.00,-7266.49,13.2%,-7.9%,1.68
