symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
EOG,2015-10-23,2015-12-04,Long,156.0,63.30614834544,57.599552290808,-890.2289845225922,-9.01%,42,0
EOG,2016-03-14,2016-08-05,Long,163.0,55.618416928074,67.646191003112,1960.5271742311934,21.63%,144,0
EOG,2016-09-07,2016-09-13,Long,140.0,70.448158825044,66.63851149954,-533.3506255705604,-5.41%,6,0
EOG,2017-07-11,2017-07-27,Long,156.0,66.919097371126,71.680265095552,742.7421650104563,7.11%,16,0
EOG,2018-01-23,2018-02-05,Long,134.0,87.669592042032,80.708396651448,-932.8001823382554,-7.94%,13,0
EOG,2018-09-28,2018-10-11,Long,122.0,95.6103606458,92.880907353828,-332.9933016205848,-2.85%,13,0
EOG,2019-03-21,2019-04-12,Long,149.0,72.481134017292,78.945282376368,963.1581055023228,8.92%,22,0
EOG,2019-12-13,2019-12-23,Long,217.0,58.536313520685,63.818818967465,1146.30368195126,9.02%,10,0
EOG,2020-06-08,2020-06-11,Long,313.0,45.815967400203,41.516084641959,-1345.863303330373,-9.39%,3,0
EOG,2021-03-04,2021-05-05,Long,350.0,53.014726543779,60.940423340132,2773.9938787235506,14.95%,62,0
EOG,2021-08-30,2021-09-23,Long,363.0,56.41265013384,61.6834730792,1913.3087291656784,9.34%,24,0
EOG,2021-10-11,2022-01-07,Long,280.0,73.34535712504,81.751959015006,2353.8485291904794,11.46%,88,0
EOG,2022-12-14,2023-02-24,Long,177.0,112.87050166392,102.660495627575,-1807.1710684330637,-9.05%,72,0
EOG,2023-06-27,2023-07-11,Long,190.0,100.793020328,110.192456915992,1785.89295171848,9.33%,14,0
EOG,2023-10-16,2023-10-30,Long,156.0,123.468669860536,116.092652630625,-1150.658687866116,-5.97%,14,0
EOG,2024-04-08,2024-05-01,Long,175.0,128.811838917762,125.03550567032,-660.8583183023494,-2.93%,23,0
EOG,2024-06-07,2024-07-15,Long,190.0,115.631991871396,125.998330394048,1969.6043193038802,8.96%,38,0
EOG,2024-11-14,2024-12-06,Long,203.0,129.989062668465,124.844763057885,-1044.2928209477413,-3.96%,22,0
AAPL,2015-10-26,2015-10-27,Long,369.0,26.727398813115,26.2053248254088,-192.64530146358786,-1.95%,1,0
AAPL,2016-05-23,2016-07-27,Long,444.0,21.7113845363415,23.3993721675245,749.4665082452515,7.77%,65,0
AAPL,2016-09-29,2016-11-10,Long,366.0,26.1228146166488,24.6058889224145,-555.1948040897535,-5.81%,42,0
AAPL,2016-12-14,2017-01-25,Long,365.0,26.5426609162715,27.986643284991,527.0535645826174,5.44%,42,0
AAPL,2017-08-16,2017-09-22,Long,272.0,37.69996438208,34.92373299766,-755.1349365622402,-7.36%,37,0
AAPL,2017-11-09,2017-11-15,Long,251.0,41.115357194912,39.99840027974,-280.35618570817303,-2.72%,6,0
AAPL,2018-12-04,2018-12-07,Long,260.0,43.921652057283,39.13208032776,-1245.2886496759793,-10.90%,3,0
AAPL,2019-03-18,2019-03-21,Long,240.0,44.420288174262,46.5143462738325,502.5739438969208,4.71%,3,0
AAPL,2019-04-09,2019-05-13,Long,232.0,47.756821747635,44.55190595163,-743.5404646731608,-6.71%,34,0
AAPL,2019-08-14,2019-10-10,Long,230.0,50.256063340483,55.898382936281,1297.73350703354,11.23%,57,0
AAPL,2019-10-25,2019-11-01,Long,199.0,58.579566006962,61.79150117575,639.1750985888125,5.48%,7,0
AAPL,2019-12-27,2020-01-08,Long,187.0,69.930981352232,73.965017048824,754.3646752627039,5.77%,12,0
AAPL,2020-12-01,2020-12-15,Long,149.0,115.859141553155,123.785828904969,1181.0764154202855,6.84%,14,0
AAPL,2021-08-04,2021-09-07,Long,140.0,143.868618942048,153.195238391259,1305.7267228895432,6.48%,34,0
AAPL,2021-10-29,2021-11-19,Long,142.0,149.178352590267,157.951975705926,1245.854482423579,5.88%,21,0
AAPL,2021-12-01,2021-12-10,Long,127.0,161.86125066111,176.885672545662,1908.1015793381039,9.28%,9,0
AAPL,2022-03-21,2022-05-09,Long,124.0,160.7732833707,152.447691344509,-1032.3734112476845,-5.18%,49,0
AAPL,2023-04-19,2023-05-18,Long,120.0,164.410556697387,173.716137528912,1116.669699782999,5.66%,29,0
AAPL,2023-08-24,2023-09-21,Long,113.0,179.36863136192,172.57590509661,-767.5780679800293,-3.79%,28,0
AAPL,2023-11-17,2024-01-04,Long,104.0,188.123084273124,180.018731407608,-842.8526980136646,-4.31%,48,0
AAPL,2024-04-04,2024-05-03,Long,133.0,168.445554302025,180.624841686465,1619.8452221305222,7.23%,29,0
AAPL,2024-10-10,2024-12-03,Long,113.0,228.483657746344,241.534586240224,1474.754919808441,5.71%,54,0
NFLX,2015-10-26,2015-11-17,Long,986.0,10.014004,11.787937,1749.0979379999994,17.71%,22,0
NFLX,2016-05-27,2016-06-10,Long,959.0,10.291281,9.449615,-807.157694,-8.18%,14,0
NFLX,2016-07-05,2016-07-19,Long,983.0,9.676667,8.658209,-1001.1442140000007,-10.52%,14,0
NFLX,2016-08-02,2016-10-05,Long,1009.0,9.446437,10.493493,1056.4795040000013,11.08%,64,0
NFLX,2017-04-26,2017-05-25,Long,677.0,15.231216,16.267757,701.7382569999997,6.81%,29,0
NFLX,2017-06-26,2017-07-03,Long,677.0,15.817802,14.657239,-785.7011509999999,-7.34%,7,0
NFLX,2017-07-27,2017-08-08,Long,555.0,18.926908,17.126422,-999.2697299999996,-9.51%,12,0
