Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,2667.0,15888.4620535305,15968.810684908914,16635.465551277703,80.34863137841421,16715.81418265612,Open (2667 sh)
AAPL,237.0,15714.12532836,15793.592331471358,4961.213597952001,79.46700311135828,5040.680601063359,Open (237 sh)
AMZN,0,0,0,4876.889912131999,0,4876.889912131999,Closed
NFLX,471.0,15867.99,15948.23510332912,3985.6786759359993,80.24510332911996,4065.9237792651193,Open (471 sh)
SBUX,0,0,0,3978.3006248439992,0,3978.3006248439992,Closed
HD,0,0,0,2991.781476951003,0,2991.781476951003,Closed
GS,0,0,0,2880.810065275001,0,2880.810065275001,Closed
COST,0,0,0,2443.8411293680033,0,2443.8411293680033,Closed
CAT,0,0,0,2389.121316519003,0,2389.121316519003,Closed
DIS,0,0,0,1602.8465325789994,0,1602.8465325789994,Closed
HON,0,0,0,1288.4824671096867,0,1288.4824671096867,Closed
INTC,0,0,0,903.698272037,0,903.698272037,Closed
ABBV,228.0,15878.913662304,15959.214007060062,634.6844421350024,80.30034475606226,714.9847868910647,Open (228 sh)
MSFT,0,0,0,545.882175391001,0,545.882175391001,Closed
PG,0,0,0,433.3276686050011,0,433.3276686050011,Closed
CRM,0,0,0,371.94082357600087,0,371.94082357600087,Closed
PFE,0,0,0,368.8988013494156,0,368.8988013494156,Closed
JPM,136.0,15965.15123304,16045.887684875444,282.2725250259948,80.73645183544431,363.0089768614391,Open (136 sh)
ADBE,48.0,15877.920000000002,15958.215319763343,156.73000000000206,80.29531976334147,237.02531976334353,Open (48 sh)
KO,0,0,0,208.3875155159943,0,208.3875155159943,Closed
UNH,59.0,15654.118082877001,15733.281626784372,-140.71271335399422,79.1635439073707,-61.54916944662352,Open (59 sh)
BLK,0,0,0,-184.60430639199956,0,-184.60430639199956,Closed
JNJ,0,0,0,-505.4356268740023,0,-505.4356268740023,Closed
NKE,174.0,15692.515520418001,15771.8732418074,-686.6796764025016,79.35772138939865,-607.321955013103,Open (174 sh)
V,0,0,0,-1306.8389408680023,0,-1306.8389408680023,Closed
CMCSA,0,0,0,-2696.258264974836,0,-2696.258264974836,Closed
UPS,0,0,0,-2758.204848859002,0,-2758.204848859002,Closed
GE,0,0,0,-3689.2318281322428,0,-3689.2318281322428,Closed
GOOGL,0,0,0,-3857.396821542002,0,-3857.396821542002,Closed
TOTAL,,,,36114.89054618023,639.9141194705098,36754.804665650736,
