Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,580.0,91715.55173398618,104557.03476938096,162122.15834369845,12841.483035394776,174963.64137909323,Open (580 sh)
AVGO,326.0,77865.2108846542,108806.32987150493,87969.4503272282,30941.118986850735,118910.56931407894,Open (326 sh)
META,0,0,0,95831.89555303969,0,95831.89555303969,Closed
GS,135.0,94788.79567631675,108432.96249822162,59190.472889464116,13644.166821904873,72834.63971136899,Open (135 sh)
AMD,664.0,95888.70290999999,109108.75251247262,56479.32691000004,13220.04960247263,69699.37651247266,Open (664 sh)
GOOGL,442.0,77850.95505795408,108841.49132169543,30017.89274319516,30990.53626374135,61008.42900693651,Open (442 sh)
AMZN,0,0,0,52148.19969183754,0,52148.19969183754,Closed
JPM,343.0,90048.95864311047,108644.42783000534,33284.92538015624,18595.469186894872,51880.39456705111,Open (343 sh)
LLY,0,0,0,50768.96296467196,0,50768.96296467196,Closed
MSFT,0,0,0,44740.006950249226,0,44740.006950249226,Closed
COST,0,0,0,38369.98259574161,0,38369.98259574161,Closed
XOM,0,0,0,32608.634469939647,0,32608.634469939647,Closed
AAPL,422.0,107457.1407275266,109028.75149370033,30870.446220426278,1571.6107661737333,32442.05698660001,Open (422 sh)
WMT,0,0,0,30468.02862629719,0,30468.02862629719,Closed
V,0,0,0,22812.082924328006,0,22812.082924328006,Closed
CVX,695.0,103181.3638021166,104690.43933792559,15481.558100605347,1509.0755358089955,16990.633636414343,Open (695 sh)
HD,267.0,107597.99736873587,109171.66822893698,8699.25356871029,1573.6708602011058,10272.924428911396,Open (267 sh)
MA,0,0,0,9959.057920292888,0,9959.057920292888,Closed
QCOM,0,0,0,8369.258457989217,0,8369.258457989217,Closed
JNJ,583.0,107525.26502044727,109097.87213615597,-5030.873707932738,1572.607115708699,-3458.2665922240394,Open (583 sh)
UNH,0,0,0,-5158.883173968865,0,-5158.883173968865,Closed
TOTAL,,,,860001.8377559695,126459.78817515177,986461.6259311213,
