Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,1441.0,227865.70698047258,260400.2139925756,316124.1976033426,32534.507012103015,348658.7046154456,Open (1441 sh)
AVGO,820.0,197464.98285016805,274348.4463486317,182729.43305215403,76883.46349846365,259612.89655061768,Open (820 sh)
META,0,0,0,198597.32728170068,0,198597.32728170068,Closed
GS,341.0,239488.9959648446,274557.9510458497,124594.54888814887,35068.955081005115,159663.50396915397,Open (341 sh)
GOOGL,1112.0,195860.3213222736,274491.62168595224,56545.46998723586,78631.30036367863,135176.7703509145,Open (1112 sh)
AMD,1670.0,241510.50923999998,275080.67000161996,86323.69894000003,33570.160761619976,119893.85970162001,Open (1670 sh)
LLY,0,0,0,104203.71904894385,0,104203.71904894385,Closed
JPM,873.0,228929.6522882479,260848.8728484366,68658.27687736922,31919.220560188696,100577.49743755792,Open (873 sh)
AMZN,0,0,0,98409.45490398657,0,98409.45490398657,Closed
MSFT,0,0,0,85717.39173429669,0,85717.39173429669,Closed
COST,0,0,0,79843.18780243378,0,79843.18780243378,Closed
WMT,0,0,0,72884.80757652564,0,72884.80757652564,Closed
XOM,0,0,0,63058.38718307335,0,63058.38718307335,Closed
AAPL,1062.0,270425.3162384674,275045.91304527613,56208.96616571823,4620.596806808724,60829.562972526954,Open (1062 sh)
V,0,0,0,51028.145203070235,0,51028.145203070235,Closed
CVX,1759.0,261308.5965807227,275028.5273166333,26427.563937396168,13719.930735910631,40147.4946733068,Open (1759 sh)
HD,671.0,270405.45406150474,275025.71149508934,14013.447677835153,4620.2574335846,18633.705111419753,Open (671 sh)
QCOM,0,0,0,17309.659976084302,0,17309.659976084302,Closed
MA,0,0,0,15148.333895292602,0,15148.333895292602,Closed
JNJ,1466.0,270380.85509429796,275000.6922199362,-12937.920576568167,4619.837125638209,-8318.083450929958,Open (1466 sh)
UNH,0,0,0,-17269.36733182379,0,-17269.36733182379,Closed
TOTAL,,,,1687618.729826216,316188.2293790013,2003806.9592052172,
