Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
TSLA,84.0,-334.475685966594,28409.071930112645,0,28743.54761607924,28743.54761607924,Open (84 sh)
META,0,0,0,27880.421452828014,0,27880.421452828014,Closed
GOOGL,0,0,0,15684.870746221015,0,15684.870746221015,Closed
COST,0,0,0,13830.121693872032,0,13830.121693872032,Closed
LLY,0,0,0,13811.781777183001,0,13811.781777183001,Closed
AMZN,0,0,0,12041.726501377983,0,12041.726501377983,Closed
ORCL,162.0,15000.118318457004,26213.860415216484,0,11213.74209675948,11213.74209675948,Open (162 sh)
AVGO,0,0,0,10606.30978167709,0,10606.30978167709,Closed
NFLX,329.0,18491.290000000008,28588.00041242057,0,10096.710412420562,10096.710412420562,Open (329 sh)
TXN,0,0,0,9038.048349218996,0,9038.048349218996,Closed
DE,63.0,20166.450076996996,28263.72599636154,0,8097.275919364543,8097.275919364543,Open (63 sh)
GS,49.0,21621.50282362799,28493.369271377906,0,6871.866447749915,6871.866447749915,Open (49 sh)
AAPL,123.0,21710.017920592756,28474.44500617088,0,6764.427085578125,6764.427085578125,Open (123 sh)
CRM,89.0,22298.544268388985,28557.937116778416,0,6259.392848389431,6259.392848389431,Open (89 sh)
ADBE,0,0,0,5519.2699999999895,0,5519.2699999999895,Closed
MSFT,0,0,0,4304.802432018012,0,4304.802432018012,Closed
JPM,119.0,24945.30613399399,28428.13751489748,0,3482.8313809034917,3482.8313809034917,Open (119 sh)
HD,69.0,24831.84523421101,28307.438861675648,0,3475.5936274646374,3475.5936274646374,Open (69 sh)
CAT,0,0,0,2595.9652980120154,0,2595.9652980120154,Closed
ABBV,0,0,0,1485.3315896480053,0,1485.3315896480053,Closed
MA,0,0,0,1353.4880503559834,0,1353.4880503559834,Closed
HON,0,0,0,540.8674559337596,0,540.8674559337596,Closed
V,0,0,0,403.4803692159985,0,403.4803692159985,Closed
UNH,49.0,28608.155601824008,28483.763474988406,0,-124.39212683560254,-124.39212683560254,Open (49 sh)
QCOM,0,0,0,-3777.018886951002,0,-3777.018886951002,Closed
TOTAL,,,,115319.46661061089,84880.99530787382,200200.4619184847,
