Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,843.0,94718.71247106789,156617.3908309489,279047.9813386064,61898.678359881,340946.6596984874,Open (843 sh)
AAPL,618.0,122770.90739407494,156548.43817556146,104099.85860142153,33777.53078148652,137877.38938290806,Open (618 sh)
GOOGL,648.0,112940.3930075331,156764.41482439925,76968.46867091743,43824.02181686615,120792.49048778358,Open (648 sh)
COST,170.0,155032.34832852366,156787.86251727561,101994.72336774094,1755.5141887519567,103750.2375564929,Open (170 sh)
MSFT,304.0,143259.43095615652,156815.67005054743,69233.1384877482,13556.239094390912,82789.37758213912,Open (304 sh)
MA,277.0,146840.86329485575,156769.73371555633,59587.71508574846,9928.87042070058,69516.58550644905,Open (277 sh)
UNH,459.0,155245.42046585574,141034.10013210942,79739.12238791233,-14211.32033374632,65527.80205416601,Open (459 sh)
V,462.0,152295.11449508957,157058.2465070887,60280.5866465764,4763.132011999143,65043.71865857554,Open (462 sh)
META,214.0,140151.08904212716,156682.56212550454,46809.142646467575,16531.47308337738,63340.615729844954,Open (214 sh)
AMZN,717.0,149922.33256,157084.11112100817,37428.402374782585,7161.778561008163,44590.18093579075,Open (717 sh)
TOTAL,,,,915189.1396079219,178985.9179847155,1094175.0575926374,
