Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,1100.0,-4552.082863827352,154443.44412816616,0,158995.5269919935,158995.5269919935,Open (1100 sh)
TSLA,440.0,83133.6121315218,154288.47059347422,0,71154.85846195242,71154.85846195242,Open (440 sh)
LLY,0,0,0,40677.9183757361,0,40677.9183757361,Closed
AVGO,0,0,0,32928.76155587903,0,32928.76155587903,Closed
META,0,0,0,24305.720332839934,0,24305.720332839934,Closed
GOOGL,0,0,0,11222.183001973986,0,11222.183001973986,Closed
AMZN,0,0,0,11210.987330037024,0,11210.987330037024,Closed
MSFT,0,0,0,10545.85714688401,0,10545.85714688401,Closed
JPM,0,0,0,7565.595020247041,0,7565.595020247041,Closed
BRK.B,0,0,0,5989.4100000000035,0,5989.4100000000035,Closed
COST,0,0,0,4237.0834751121,0,4237.0834751121,Closed
UNH,0,0,0,2677.2936215549707,0,2677.2936215549707,Closed
HD,363.0,151985.02956050698,154404.92527835965,0,2419.8957178526616,2419.8957178526616,Open (363 sh)
ABBV,0,0,0,1843.4725690679916,0,1843.4725690679916,Closed
JNJ,0,0,0,-713.3808503359978,0,-713.3808503359978,Closed
XOM,0,0,0,-1007.9893009899533,0,-1007.9893009899533,Closed
PG,0,0,0,-4774.532861728003,0,-4774.532861728003,Closed
AAPL,0,0,0,-13967.212127657025,0,-13967.212127657025,Closed
TOTAL,,,,132741.1672886212,232570.2811717986,365311.4484604198,
