Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
META,0,0,0,52166.77117820806,0,52166.77117820806,Closed
AVGO,0,0,0,46988.271773989254,0,46988.271773989254,Closed
ORCL,539.0,49213.75324189197,96048.01786557562,0,46834.264623683644,46834.264623683644,Open (539 sh)
NFLX,1114.0,71972.0639999999,96187.2961737795,0,24215.2321737796,24215.2321737796,Open (1114 sh)
GOOGL,0,0,0,20067.235295106497,0,20067.235295106497,Closed
AMZN,0,0,0,17639.63808038601,0,17639.63808038601,Closed
AAPL,0,0,0,2874.748115633003,0,2874.748115633003,Closed
ADBE,0,0,0,719.390000000014,0,719.390000000014,Closed
MSFT,0,0,0,670.1745207319909,0,670.1745207319909,Closed
CRM,301.0,102857.400817363,95972.75596064494,0,-6884.644856718063,-6884.644856718063,Open (301 sh)
TOTAL,,,,141126.22896405484,64164.85194074518,205291.08090480004,
