Date,Ticker,Direction,Quantity,Price,Value,Status
2020-01-02T15:00:00Z,AAPL,BUY,446.0,70.76236748,31560.01589608,3
2020-01-02T15:00:00Z,NVDA,BUY,5392.0,5.856134635,31576.27795192,3
2020-01-02T15:00:00Z,GOOGL,BUY,475.0,66.4672957195,31571.9654667625,3
2020-03-02T15:00:00Z,AAPL,SELL,446.0,66.02932209,29449.07765214,3
2020-03-02T15:00:00Z,GOOGL,SELL,475.0,66.4603482125,31568.6654009375,3
2020-03-02T15:00:00Z,NVDA,SELL,5392.0,6.725509323625,36263.946272986,3
2020-06-02T14:00:00Z,NVDA,BUY,3690.0,8.772024509375,32368.77043959375,3
2020-06-02T14:00:00Z,AMZN,BUY,262.0,123.262147008,32294.682516096,3
2020-06-02T14:00:00Z,ADBE,BUY,83.0,389.68,32343.44,3
2020-07-02T14:00:00Z,NVDA,BUY,123.0,9.49729304,1168.16704392,3
2020-07-02T14:00:00Z,AMZN,SELL,10.0,143.59732849,1435.9732849,3
2020-07-02T14:00:00Z,ADBE,SELL,1.0,439.81,439.81,3
2020-09-02T14:00:00Z,ADBE,SELL,82.0,527.95,43291.9,3
2020-09-02T14:00:00Z,NVDA,SELL,466.0,13.7776877502,6420.4024915932,3
2020-09-02T14:00:00Z,AAPL,BUY,354.0,130.228492926,46100.886495804,3
2020-09-02T14:00:00Z,AMZN,BUY,12.0,174.545553224,2094.546638688,3
2020-10-02T14:00:00Z,AMZN,SELL,264.0,160.685146202,42420.878597328,3
2020-10-02T14:00:00Z,NVDA,SELL,190.0,13.5718348799,2578.648627181,3
2020-10-02T14:00:00Z,AAPL,BUY,24.0,113.350616253,2720.414790072,3
2020-10-02T14:00:00Z,CRM,BUY,171.0,250.40748482,42819.67990422,3
2020-12-02T15:00:00Z,CRM,SELL,171.0,238.45273806,40775.41820826,3
2020-12-02T15:00:00Z,NVDA,BUY,41.0,13.348038418,547.269575138,3
2020-12-02T15:00:00Z,AAPL,SELL,21.0,119.311464272,2505.540749712,3
2020-12-02T15:00:00Z,AVGO,BUY,1183.0,36.0879231533,42692.0130903539,3
2021-02-02T15:00:00Z,NVDA,SELL,3198.0,13.1994161859,42211.7329625082,3
2021-02-02T15:00:00Z,AVGO,SELL,88.0,41.9882757876,3694.9682693088,3
2021-02-02T15:00:00Z,GOOGL,BUY,489.0,93.9436934035,45938.4660743115,3
2021-02-02T15:00:00Z,AAPL,SELL,5.0,130.414274914,652.07137457,3
2021-03-02T15:00:00Z,AAPL,SELL,352.0,124.42631162,43798.06169024,3
2021-03-02T15:00:00Z,AVGO,SELL,19.0,44.0429790892,836.8166026948,3
2021-03-02T15:00:00Z,GOOGL,SELL,28.0,102.706980983,2875.795467524,3
2021-03-02T15:00:00Z,ORCL,BUY,766.0,61.795322641,47335.217143006,3
2021-06-02T14:00:00Z,AVGO,SELL,1076.0,42.4588297414,45685.7008017464,3
2021-06-02T14:00:00Z,ORCL,SELL,67.0,74.63093096,5000.27237432,3
2021-06-02T14:00:00Z,GOOGL,SELL,20.0,118.166176559,2363.32353118,3
2021-06-02T14:00:00Z,NVDA,BUY,3217.0,16.2239168196,52192.3404086532,3
2021-07-02T14:00:00Z,ORCL,SELL,699.0,74.59341384,52140.79627416,3
2021-07-02T14:00:00Z,NVDA,SELL,408.0,20.1661874808,8227.8044921664,3
2021-07-02T14:00:00Z,GOOGL,BUY,25.0,121.5262886945,3038.1572173625,3
2021-07-02T14:00:00Z,META,BUY,161.0,351.931667448,56660.998459128,3
2021-08-02T14:00:00Z,META,SELL,161.0,353.82841816,56966.37532376,3
2021-08-02T14:00:00Z,NVDA,BUY,168.0,19.4548035666,3268.4069991888,3
2021-08-02T14:00:00Z,GOOGL,SELL,33.0,133.7161859765,4412.6341372245,3
2021-08-02T14:00:00Z,ORCL,BUY,706.0,82.032524178,57914.962069668,3
2021-09-02T14:00:00Z,GOOGL,SELL,433.0,144.1265289655,62406.7870420615,3
2021-09-02T14:00:00Z,ORCL,SELL,706.0,84.677823615,59782.54347219,3
2021-09-02T14:00:00Z,NVDA,SELL,178.0,22.3940848454,3986.1471024812,3
2021-09-02T14:00:00Z,ADBE,BUY,94.0,665.89,62593.66,3
2021-09-02T14:00:00Z,META,BUY,165.0,379.39979556,62600.9662674,3
2021-11-02T14:00:00Z,META,SELL,165.0,327.690994736,54069.01413144,3
2021-11-02T14:00:00Z,ADBE,SELL,94.0,640.2,60178.8,3
2021-11-02T14:00:00Z,NVDA,SELL,385.0,25.7730060738,9922.607338413,3
2021-11-02T14:00:00Z,CRM,BUY,208.0,299.125547856,62218.113954048,3
2021-11-02T14:00:00Z,MSFT,BUY,195.0,318.11081592,62031.6091044,3
2021-12-02T15:00:00Z,CRM,SELL,208.0,248.4808934,51684.0258272,3
2021-12-02T15:00:00Z,NVDA,SELL,399.0,31.3731202025,12517.8749607975,3
2021-12-02T15:00:00Z,MSFT,BUY,3.0,319.37979664,958.13938992,3
2021-12-02T15:00:00Z,AAPL,BUY,392.0,161.181095199,63182.989318008,3
2022-03-02T15:00:00Z,AAPL,SELL,392.0,159.848688,62660.685696,3
2022-03-02T15:00:00Z,MSFT,SELL,198.0,285.97868282,56623.77919836,3
2022-03-02T15:00:00Z,NVDA,SELL,2015.0,23.4307855255,47213.0328338825,3
2022-12-02T15:00:00Z,ORCL,BUY,691.0,80.843803596,55863.068284836,3
2022-12-02T15:00:00Z,AAPL,BUY,383.0,145.92161576,55887.97883608,3
2022-12-02T15:00:00Z,AVGO,BUY,1070.0,52.222170075,55877.72198025,3
2023-02-02T15:00:00Z,AAPL,SELL,383.0,143.26861934,54871.88120722,3
2023-02-02T15:00:00Z,ORCL,SELL,15.0,86.87700942,1303.1551413,3
2023-02-02T15:00:00Z,AVGO,SELL,51.0,57.6296809375,2939.1137278125,3
2023-02-02T15:00:00Z,NVDA,BUY,2807.0,20.9213198064,58726.1446965648,3
2023-03-02T15:00:00Z,NVDA,SELL,194.0,22.6745030304,4398.8535878976,3
2023-03-02T15:00:00Z,ORCL,BUY,35.0,83.30777852,2915.7722482,3
2023-03-02T15:00:00Z,AVGO,BUY,25.0,56.7519696625,1418.7992415625,3
2023-05-02T14:00:00Z,ORCL,SELL,711.0,91.876029027,65323.856638197,3
2023-05-02T14:00:00Z,META,BUY,280.0,241.493108976,67618.07051328,3
2023-05-02T14:00:00Z,NVDA,SELL,265.0,28.884978395,7654.519274675,3
2023-05-02T14:00:00Z,AVGO,BUY,60.0,61.434214989,3686.05289934,3
2023-06-02T14:00:00Z,NVDA,SELL,245.0,39.735579065,9735.216870925,3
2023-06-02T14:00:00Z,META,BUY,28.0,270.718958952,7580.130850656,3
2023-08-02T14:00:00Z,META,SELL,4.0,320.471425272,1281.885701088,3
2023-08-02T14:00:00Z,AVGO,SELL,11.0,89.0674632,979.7420952,3
2023-11-02T14:00:00Z,NVDA,SELL,2103.0,42.296227465,88948.966358895,3
2023-11-02T14:00:00Z,AVGO,SELL,1093.0,83.0249578356,90746.2789143108,3
2023-11-02T14:00:00Z,ADBE,BUY,168.0,544.5,91476.0,3
2023-11-02T14:00:00Z,AMZN,BUY,668.0,137.0,91516.0,3
2023-11-02T14:00:00Z,META,SELL,9.0,309.68675892,2787.18083028,3
2024-01-02T15:00:00Z,AMZN,SELL,668.0,151.94,101495.92,3
2024-01-02T15:00:00Z,ADBE,SELL,168.0,596.6,100228.8,3
2024-01-02T15:00:00Z,AVGO,BUY,928.0,109.15509595,101295.9290416,3
2024-01-02T15:00:00Z,CRM,BUY,389.0,259.981162184,101132.672089576,3
2024-01-02T15:00:00Z,META,SELL,7.0,351.504650272,2460.532551904,3
2024-02-02T15:00:00Z,META,SELL,288.0,392.041490096,112907.949147648,3
2024-02-02T15:00:00Z,NVDA,BUY,1745.0,62.9896943187,109917.0165861315,3
2024-02-02T15:00:00Z,AVGO,BUY,8.0,117.3457618732,938.7660949856,3
2024-02-02T15:00:00Z,CRM,BUY,3.0,280.39315128,841.17945384,3
2024-04-02T14:00:00Z,CRM,SELL,392.0,299.021646812,117216.485550304,3
2024-04-02T14:00:00Z,NVDA,SELL,286.0,90.313752165,25829.73311919,3
2024-04-02T14:00:00Z,AVGO,BUY,58.0,132.6006224802,7690.8361038516,3
2024-04-02T14:00:00Z,META,BUY,269.0,488.45928968,131395.54892392,3
2024-07-02T14:00:00Z,NVDA,SELL,190.0,124.24682446,23606.8966474,3
2024-07-02T14:00:00Z,AVGO,SELL,19.0,161.64439648,3071.24353312,3
2024-07-02T14:00:00Z,META,BUY,45.0,502.208985784,22599.40436028,3
2024-08-02T14:00:00Z,NVDA,SELL,1269.0,109.163279962,138528.202271778,3
2024-08-02T14:00:00Z,AVGO,SELL,975.0,144.83763512,141216.694242,3
2024-08-02T14:00:00Z,META,SELL,20.0,495.302965412,9906.05930824,3
2024-08-02T14:00:00Z,ORCL,BUY,1076.0,135.498077439,145795.931324364,3
2024-08-02T14:00:00Z,AAPL,BUY,672.0,216.886921604,145748.011317888,3
2024-10-02T14:00:00Z,META,SELL,294.0,574.194788204,168813.267731976,3
2024-10-02T14:00:00Z,ORCL,SELL,76.0,164.714265324,12518.284164624,3
2024-10-02T14:00:00Z,AAPL,BUY,60.0,224.944038356,13496.64230136,3
2024-10-02T14:00:00Z,NVDA,BUY,1408.0,116.9599509,164679.6108672,3
2024-12-02T15:00:00Z,AAPL,SELL,732.0,236.261445408,172943.378038656,3
2024-12-02T15:00:00Z,CRM,BUY,557.0,327.476037183,182404.152710931,3
2024-12-02T15:00:00Z,NVDA,SELL,88.0,138.202677025,12161.8355782,3
