Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,1320.0,-25762.41622265958,181481.34859341904,0,207243.76481607862,207243.76481607862,Open (1320 sh)
AVGO,0,0,0,75570.43973424975,0,75570.43973424975,Closed
META,0,0,0,60737.14535167196,0,60737.14535167196,Closed
ORCL,1000.0,113756.04300528299,163859.95250670856,0,50103.90950142557,50103.90950142557,Open (1000 sh)
GOOGL,0,0,0,23078.61682049099,0,23078.61682049099,Closed
AMZN,0,0,0,19447.542727444,0,19447.542727444,Closed
ADBE,0,0,0,17726.209999999992,0,17726.209999999992,Closed
AAPL,0,0,0,8183.757453245984,0,8183.757453245984,Closed
CRM,557.0,179739.868526851,181458.08889987244,0,1718.2203730214387,1718.2203730214387,Open (557 sh)
MSFT,0,0,0,-6365.969295959992,0,-6365.969295959992,Closed
TOTAL,,,,198377.74279114272,259065.89469052563,457443.6374816684,
