symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
SWKS,2015-01-02,2015-03-02,Long,1696.0,58.867987771593,71.015390348175,20601.994769883077,20.63%,59,0
SWKS,2015-04-01,2015-05-01,Long,1320.0,79.704580022067,74.657205237825,-6662.534715199453,-6.33%,30,0
NFLX,2015-03-02,2015-04-01,Long,17716.0,6.791206208787,5.946755624667,-14960.286548269913,-12.43%,30,0
NFLX,2015-07-01,2015-09-01,Long,10736.0,9.394232605758,11.491497,22516.230536582112,22.33%,62,0
NFLX,2018-03-01,2018-05-01,Long,7811.0,29.167138,31.214754,15993.928575999984,7.02%,61,0
JD,2015-05-01,2015-06-01,Long,3234.0,30.482957593088,30.530832270336,154.82670622003232,0.16%,31,0
JD,2017-06-01,2017-07-03,Long,5088.0,36.359737558144,35.552827839744,-4105.5566472192,-2.22%,32,0
NTES,2015-06-01,2015-07-01,Long,4151.0,23.781288016486,24.314487575598,2213.311369873923,2.24%,30,0
NTES,2015-12-01,2016-01-04,Long,4823.0,28.333823251734,30.751001692524,11658.05161993017,8.53%,34,0
NTES,2016-11-01,2016-12-01,Long,3614.0,44.2463073520468,38.635195386744,-20278.55864260431,-12.68%,30,0
NVDA,2015-11-02,2015-12-01,Long,177772.0,0.6900647718965,0.7729317322623,14731.425278149016,12.01%,29,0
NVDA,2016-12-01,2017-03-01,Long,61304.0,2.272806637101,2.4997190605182,13910.639205168027,9.98%,90,0
NVDA,2017-07-03,2017-09-01,Long,50578.0,3.5717791923814,4.1818266457416,30854.980096052186,17.08%,60,0
NVDA,2021-08-02,2021-09-01,Long,32227.0,19.4742583701666,22.315863717081,91576.41551501045,14.59%,30,0
NVDA,2023-04-03,2023-06-01,Long,25649.0,27.7807119655065,37.763453418327,256047.33552339306,35.93%,59,0
NVDA,2023-07-03,2023-08-01,Long,25355.0,42.3120314074458,46.6466944412709,109905.38122263545,10.24%,29,0
NVDA,2024-03-01,2024-05-01,Long,22003.0,79.1442387808072,86.26855599909,156756.3517538764,9.00%,61,0
NVDA,2024-07-01,2024-08-01,Long,15498.0,123.610636737588,116.852968905156,-104730.336067031,-5.47%,31,0
WYNN,2016-04-01,2016-05-02,Long,1789.0,82.860739574613,78.15460469247,-8419.275304153834,-5.68%,31,0
CLR,2016-05-02,2016-07-01,Long,3858.0,36.24126267762,43.94428221951,29718.249392611622,21.25%,60,0
CLR,2018-01-02,2018-02-01,Long,4153.0,51.52173065039,53.90382133089,9892.822596116497,4.62%,30,0
CLR,2021-07-01,2021-08-02,Long,18803.0,37.253518816514,33.38590045023,-72722.82814123816,-10.38%,32,0
LNKD,2016-07-01,2016-09-01,Long,894.0,189.43925,192.55725,2787.492000000021,1.65%,62,0
GRPN,2016-09-01,2016-10-03,Long,1614.0,106.7066,102.897,-6148.694399999982,-3.57%,32,0
GRPN,2023-08-01,2023-11-01,Long,149433.0,7.9079,12.77721,727635.60123,61.58%,92,0
MU,2016-10-03,2016-11-01,Long,9563.0,17.365238772882,16.726215845196,-6110.97625746125,-3.68%,29,0
MU,2017-11-01,2018-01-02,Long,5339.0,43.276362768639,40.080535871472,-17062.51980397459,-7.38%,62,0
TSLA,2017-03-01,2017-04-03,Long,9163.0,16.6826643317334,18.534778146522,16970.918884907962,11.10%,33,0
TSLA,2019-12-02,2020-03-02,Long,8823.0,22.0179937982004,44.4881295511866,198254.00774859727,102.05%,91,0
TSLA,2020-07-01,2020-10-01,Long,5540.0,72.0593134607346,142.860315713967,392237.5524829075,98.25%,92,0
TSLA,2024-08-01,2024-09-03,Long,7796.0,232.30207,213.89589,-143494.57927999983,-7.92%,33,0
ATVI,2017-04-03,2017-05-01,Long,3544.0,47.896067022804,50.09164386435,7781.124326439024,4.58%,28,0
VRTX,2017-05-01,2017-06-01,Long,1498.0,118.4183,123.4764,7577.033799999994,4.27%,31,0
VRTX,2022-02-01,2022-03-01,Long,3354.0,243.29305,229.78998,-45289.29677999993,-5.55%,28,0
YELP,2017-09-01,2017-11-01,Long,4952.0,42.6426,46.67328,19959.927359999983,9.45%,61,0
KSS,2018-02-01,2018-03-01,Long,5268.0,42.476920991505,43.255993791915,4104.155512559912,1.83%,28,0
HES,2018-05-01,2018-06-01,Long,4772.0,51.07479766389,54.04059592938,14152.789322918252,5.81%,31,0
P,2018-06-01,2018-08-01,Long,35654.0,7.22722,6.73326,-17611.649840000013,-6.83%,61,0
TRIP,2018-08-01,2018-09-04,Long,4647.0,51.620655331245,48.248255852595,-15671.54037728653,-6.53%,34,0
TRIP,2021-04-01,2021-05-03,Long,15255.0,53.84379,47.08287,-103137.83459999999,-12.56%,32,0
ILMN,2018-09-04,2018-10-01,Long,648.0,345.510518711358,356.705177716044,7254.139035036529,3.24%,27,0
ILMN,2020-06-01,2020-07-01,Long,1109.0,353.51462339193,359.90236628109,7084.006864078434,1.81%,30,0
ILMN,2024-02-01,2024-03-01,Long,12816.0,139.253894205426,135.885372963642,-43170.96823470386,-2.42%,29,0
ILMN,2024-09-03,2024-10-01,Long,12678.0,131.5314,130.27959,-15870.447179999717,-0.95%,28,0
QCOM,2018-10-01,2018-11-01,Long,3843.0,60.220682566044,52.474132113228,-29769.99339017187,-12.86%,31,0
QCOM,2019-05-01,2019-06-03,Long,2623.0,73.636722444285,57.01352389551,-43602.64979343683,-22.57%,33,0
QCOM,2022-01-03,2022-02-01,Long,5082.0,167.391983065307,160.562323489464,-34708.32996443403,-4.08%,29,0
CME,2018-12-03,2019-01-02,Long,1378.0,146.347202409408,146.492167525668,199.7619302062945,0.10%,30,0
XLNX,2019-03-01,2019-05-01,Long,1657.0,121.7786848278,116.53040259036,-8696.403667438095,-4.31%,61,0
