symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
SWKS,2015-01-02,2015-03-02,Long,1696.0,58.867987771593,71.015390348175,20601.994769883077,20.63%,59,0
SWKS,2015-04-01,2015-05-01,Long,1320.0,79.704580022067,74.657205237825,-6662.534715199453,-6.33%,30,0
NFLX,2015-03-02,2015-04-01,Long,17716.0,6.791206208787,5.946755624667,-14960.286548269913,-12.43%,30,0
NFLX,2015-07-01,2015-09-01,Long,5376.0,9.394232605758,11.491497,11274.893383444993,22.33%,62,0
NFLX,2015-07-01,2015-10-01,Long,5360.0,9.394232605758,10.315674,4938.925873137114,9.81%,92,0
NFLX,2018-03-01,2018-05-01,Long,5544.0,29.167138,31.214754,11351.983103999988,7.02%,61,0
JD,2015-05-01,2015-06-01,Long,3234.0,30.482957593088,30.530832270336,154.82670622003232,0.16%,31,0
JD,2017-06-01,2017-07-03,Long,3612.0,36.359737558144,35.552827839744,-2914.5579028608,-2.22%,32,0
NTES,2015-06-01,2015-07-01,Long,4151.0,23.781288016486,24.314487575598,2213.311369873923,2.24%,30,0
NTES,2015-12-01,2016-01-04,Long,1810.0,28.333823251734,30.751001692524,4375.0929778299,8.53%,34,0
NTES,2015-12-01,2016-02-01,Long,1805.0,28.333823251734,26.492283184014,-3323.9798222346008,-6.50%,62,0
NTES,2016-11-01,2016-12-01,Long,2565.0,44.2463073520468,38.635195386744,-14392.502191001675,-12.68%,30,0
NTES,2019-01-02,2019-02-01,Long,1760.0,41.452149631893,44.279962789923,4976.951158132795,6.82%,30,0
P,2015-10-01,2015-10-26,Long,2738.0,21.36134,12.37761,-24597.452739999993,-42.06%,25,0
P,2018-06-01,2018-08-01,Long,25306.0,7.22722,6.73326,-12500.15176000001,-6.83%,61,0
NVDA,2015-11-02,2015-12-01,Long,133245.0,0.6900647718965,0.7729317322623,11041.608133941034,12.01%,29,0
NVDA,2016-12-01,2017-03-01,Long,43514.0,2.272806637101,2.4997190605182,9873.867192576039,9.98%,90,0
NVDA,2017-07-03,2017-09-01,Long,35899.0,3.5717791923814,4.1818266457416,21900.093528177815,17.08%,60,0
NVDA,2021-08-02,2021-09-01,Long,19823.0,19.4742583701666,22.315863717081,56329.1427918842,14.59%,30,0
NVDA,2023-04-03,2023-06-01,Long,17546.0,27.7807119655065,37.763453418327,175157.18153118851,35.93%,59,0
NVDA,2023-07-03,2023-08-01,Long,17345.0,42.3120314074458,46.6466944412709,75184.73032169639,10.24%,29,0
NVDA,2024-03-01,2024-05-01,Long,14920.0,79.1442387808072,86.26855599909,106294.81289677935,9.00%,61,0
NVDA,2024-07-01,2024-08-01,Long,10508.0,123.610636737588,116.852968905156,-71009.57358319536,-5.47%,31,0
DLTR,2016-02-01,2016-03-01,Long,635.0,81.40132,80.16975,-782.0469500000031,-1.51%,29,0
NDAQ,2016-03-01,2016-04-01,Long,2854.0,17.981207724155,18.8936790497659,2604.193163293514,5.07%,31,0
NDAQ,2022-09-01,2022-10-03,Long,4133.0,56.747592094193,54.09726875982,-10953.786340963634,-4.67%,32,0
WYNN,2016-04-01,2016-05-02,Long,1270.0,82.860739574613,78.15460469247,-5976.791300321615,-5.68%,31,0
CLR,2016-05-02,2016-07-01,Long,2738.0,36.24126267762,43.94428221951,21090.867505694823,21.25%,60,0
CLR,2018-01-02,2018-02-01,Long,2947.0,51.52173065039,53.90382133089,7020.021235433498,4.62%,30,0
CLR,2021-07-01,2021-08-02,Long,11565.0,37.253518816514,33.38590045023,-44729.00640607453,-10.38%,32,0
LNKD,2016-07-01,2016-09-01,Long,635.0,189.43925,192.55725,1979.9300000000148,1.65%,62,0
GRPN,2016-09-01,2016-10-03,Long,1145.0,106.7066,102.897,-4361.9919999999875,-3.57%,32,0
GRPN,2023-08-01,2023-10-11,Long,102228.0,7.9079,9.865125,200083.19730000012,24.75%,71,0
MU,2016-10-03,2016-11-01,Long,6788.0,17.365238772882,16.726215845196,-4337.68763313259,-3.68%,29,0
MU,2017-11-01,2018-01-02,Long,3789.0,43.276362768639,40.080535871472,-12108.988113365745,-7.38%,62,0
TSLA,2017-03-01,2017-04-03,Long,6504.0,16.6826643317334,18.534778146522,12046.148251385068,11.10%,33,0
TSLA,2019-12-02,2020-02-28,Long,7149.0,22.0179937982004,45.22139547786,165881.11860788648,105.38%,88,0
TSLA,2020-03-02,2020-03-13,Long,3622.0,44.5771948756134,37.332626266737,-26239.82750135032,-16.25%,11,0
TSLA,2020-07-01,2020-09-09,Long,4706.0,72.0593134607346,109.959919004007,178360.24968663993,52.60%,70,0
TSLA,2024-08-01,2024-09-03,Long,5286.0,232.30207,213.89589,-97295.06747999988,-7.92%,33,0
ATVI,2017-04-03,2017-05-01,Long,2515.0,47.896067022804,50.09164386435,5521.87575648819,4.58%,28,0
VRTX,2017-05-01,2017-06-01,Long,1063.0,118.4183,123.4764,5376.760299999995,4.27%,31,0
VRTX,2022-02-01,2022-03-01,Long,2063.0,243.29305,229.78998,-27856.83340999996,-5.55%,28,0
VRTX,2022-08-01,2022-09-01,Long,834.0,280.69041,281.47824,657.0502200000352,0.28%,31,0
YELP,2017-09-01,2017-11-01,Long,3515.0,42.6426,46.67328,14167.840199999988,9.45%,61,0
KSS,2018-02-01,2018-03-01,Long,3739.0,42.476920991505,43.255993791915,2912.9532007330126,1.83%,28,0
HES,2018-05-01,2018-06-01,Long,3387.0,51.07479766389,54.04059592938,10045.15872521461,5.81%,31,0
TRIP,2018-08-01,2018-09-04,Long,3298.0,51.620655331245,48.248255852595,-11122.173480587686,-6.53%,34,0
TRIP,2021-04-01,2021-05-03,Long,9383.0,53.84379,47.08287,-63437.71235999999,-12.56%,32,0
