Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
TSLA,469.0,56261.521830150334,167262.97309627922,0,111001.45126612889,111001.45126612889,Open (469 sh)
NVDA,0,0,0,105863.91910902783,0,105863.91910902783,Closed
ORCL,0,0,0,52633.324278871936,0,52633.324278871936,Closed
META,0,0,0,30000.14927334001,0,30000.14927334001,Closed
GOOGL,0,0,0,28763.414955232525,0,28763.414955232525,Closed
NOW,772.0,139012.99399999995,167421.5732382015,0,28408.57923820155,28408.57923820155,Open (772 sh)
TXN,0,0,0,26872.67898741999,0,26872.67898741999,Closed
UBER,0,0,0,20267.01999999996,0,20267.01999999996,Closed
AMD,0,0,0,19024.609999999986,0,19024.609999999986,Closed
AMZN,0,0,0,12321.399999999994,0,12321.399999999994,Closed
AAPL,0,0,0,9548.477131599997,0,9548.477131599997,Closed
QCOM,0,0,0,7633.10558150999,0,7633.10558150999,Closed
ADBE,0,0,0,6111.050000000047,0,6111.050000000047,Closed
CSCO,0,0,0,1070.4414242199855,0,1070.4414242199855,Closed
NFLX,0,0,0,-376.98500000000786,0,-376.98500000000786,Closed
AVGO,0,0,0,-2629.117773989623,0,-2629.117773989623,Closed
SHOP,1403.0,171869.87399999995,167579.93366551932,0,-4289.940334480634,-4289.940334480634,Open (1403 sh)
INTC,0,0,0,-21981.092270930007,0,-21981.092270930007,Closed
TOTAL,,,,295122.39569630264,135120.0901698498,430242.48586615245,
