Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
TSLA,309.0,12955.057583660178,110201.97614201596,0,97246.91855835578,97246.91855835578,Open (309 sh)
ORCL,0,0,0,36922.52921216795,0,36922.52921216795,Closed
META,0,0,0,24295.78396502798,0,24295.78396502798,Closed
GOOGL,0,0,0,22417.433932502056,0,22417.433932502056,Closed
TXN,0,0,0,21364.970147709973,0,21364.970147709973,Closed
AMZN,0,0,0,17874.94966754,0,17874.94966754,Closed
UBER,0,0,0,17401.340000000026,0,17401.340000000026,Closed
NOW,509.0,93757.26199999993,110386.46713220923,0,16629.205132209303,16629.205132209303,Open (509 sh)
AMD,0,0,0,12688.080000000075,0,12688.080000000075,Closed
SHOP,924.0,100240.56199999998,110367.25672577483,0,10126.694725774854,10126.694725774854,Open (924 sh)
ADBE,0,0,0,4128.370000000024,0,4128.370000000024,Closed
AAPL,0,0,0,1441.4253235479991,0,1441.4253235479991,Closed
CSCO,0,0,0,1001.8417067799892,0,1001.8417067799892,Closed
AVGO,0,0,0,151.5044680230203,0,151.5044680230203,Closed
NFLX,0,0,0,-316.1900000000023,0,-316.1900000000023,Closed
MSFT,0,0,0,-7014.233902199994,0,-7014.233902199994,Closed
QCOM,0,0,0,-9128.55246532199,0,-9128.55246532199,Closed
INTC,0,0,0,-17799.078839722002,0,-17799.078839722002,Closed
TOTAL,,,,125430.1732160551,124002.81841633994,249432.99163239505,
