Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,0,0,0,30865.553217189397,0,30865.553217189397,Closed
TSLA,77.0,24981.5,31694.469026358267,17223.13902467461,6712.969026358267,23936.108051032876,Open (77 sh)
GE,0,0,0,19430.021969680318,0,19430.021969680318,Closed
COST,0,0,0,16987.083368056,0,16987.083368056,Closed
META,55.0,32885.850648529995,32148.287925935776,10340.370383844005,-737.5627225942189,9602.807661249786,Open (55 sh)
AMZN,0,0,0,7442.491756557007,0,7442.491756557007,Closed
LLY,0,0,0,7110.812589107008,0,7110.812589107008,Closed
NFLX,0,0,0,6425.064000000012,0,6425.064000000012,Closed
AAPL,130.0,31452.44802272,32335.24804710046,5345.598955609739,882.80002438046,6228.398979990199,Open (130 sh)
MSFT,0,0,0,4880.1025535099925,0,4880.1025535099925,Closed
NKE,0,0,0,4598.979905564007,0,4598.979905564007,Closed
CRM,0,0,0,4429.527139206999,0,4429.527139206999,Closed
BLK,32.0,32742.574461504,32008.22513228419,3791.530198964011,-734.3493292198073,3057.180869744204,Open (32 sh)
JPM,0,0,0,2889.825949458,0,2889.825949458,Closed
GOOGL,170.0,32143.51384366,31685.807128449927,3063.0341605455055,-457.7067152100717,2605.327445335434,Open (170 sh)
PG,0,0,0,2560.672241716992,0,2560.672241716992,Closed
UNH,0,0,0,2027.2651030029997,0,2027.2651030029997,Closed
CAT,0,0,0,1802.7820827799933,0,1802.7820827799933,Closed
GS,0,0,0,1785.0850806590074,0,1785.0850806590074,Closed
AMD,0,0,0,1766.299999999991,0,1766.299999999991,Closed
HD,0,0,0,1388.3031353810056,0,1388.3031353810056,Closed
ABBV,0,0,0,755.0728782330073,0,755.0728782330073,Closed
DIS,0,0,0,642.8158107599991,0,642.8158107599991,Closed
JNJ,0,0,0,256.383572903007,0,256.383572903007,Closed
HON,156.0,32865.50459814552,32291.8777137629,356.3643127153538,-573.6268843826183,-217.26257166726452,Open (156 sh)
V,104.0,32906.9156364,32168.88046898534,472.9749921930069,-738.0351674146623,-265.06017522165536,Open (104 sh)
AVGO,138.0,30662.425377120002,32321.2045571231,-2594.4757625564,1658.7791800030973,-935.6965825533025,Open (138 sh)
UPS,0,0,0,-1812.355439385995,0,-1812.355439385995,Closed
TOTAL,,,,154230.32318036858,6013.267411920446,160243.59059228902,
