Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,0,0,0,48920.90433766511,0,48920.90433766511,Closed
TSLA,142.0,59790.52,61196.05428573904,37200.74497343201,1405.5342857390424,38606.27925917105,Open (142 sh)
META,93.0,52556.229150336,53791.702298921344,29379.983315272002,1235.4731485853408,30615.456463857343,Open (93 sh)
CRM,0,0,0,17775.855941424008,0,17775.855941424008,Closed
GS,0,0,0,17513.810171303998,0,17513.810171303998,Closed
GE,0,0,0,16637.04071122207,0,16637.04071122207,Closed
NFLX,0,0,0,8229.926000000003,0,8229.926000000003,Closed
GOOGL,0,0,0,8100.970774424501,0,8100.970774424501,Closed
AMD,0,0,0,6789.869999999997,0,6789.869999999997,Closed
AAPL,0,0,0,5638.126676883499,0,5638.126676883499,Closed
AMZN,266.0,59828.719999999994,61235.152277757086,4151.182425376004,1406.4322777570924,5557.614703133097,Open (266 sh)
AVGO,274.0,59794.477227098,61200.10453792468,3450.005030047998,1405.627310826676,4855.632340874674,Open (274 sh)
MA,113.0,53423.17362852,54679.02659965782,304.6886949559982,1255.8529711378142,1560.5416660938124,Open (113 sh)
JPM,0,0,0,1299.6382970130044,0,1299.6382970130044,Closed
UNH,0,0,0,1168.92454276899,0,1168.92454276899,Closed
HON,0,0,0,690.0352667834632,0,690.0352667834632,Closed
LLY,0,0,0,-579.4871100559998,0,-579.4871100559998,Closed
ADBE,0,0,0,-1429.2400000000052,0,-1429.2400000000052,Closed
V,0,0,0,-2152.465907638001,0,-2152.465907638001,Closed
CAT,0,0,0,-2380.8498773949973,0,-2380.8498773949973,Closed
MSFT,0,0,0,-3270.0262032380097,0,-3270.0262032380097,Closed
JNJ,0,0,0,-4396.3303183350035,0,-4396.3303183350035,Closed
TOTAL,,,,193043.30774191063,6708.919994045966,199752.2277359566,
