Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
MSTR,0,0,0,187960.19199999992,0,187960.19199999992,Closed
NVDA,0,0,0,105542.94636279438,0,105542.94636279438,Closed
TSLA,438.0,184424.28,192341.9241534119,80773.55041314842,7917.644153411908,88691.19456656033,Open (438 sh)
META,287.0,162189.65339942402,169152.72768108506,73714.11806469598,6963.074281661044,80677.19234635703,Open (287 sh)
AVGO,845.0,184402.676120065,192319.3927826191,52365.44075714561,7916.7166625540995,60282.15741969971,Open (845 sh)
GS,0,0,0,57559.087388436004,0,57559.087388436004,Closed
CRM,527.0,153203.271569346,159780.54538288404,30267.05911737201,6577.27381353805,36844.33293091006,Open (527 sh)
AMD,0,0,0,35880.159999999974,0,35880.159999999974,Closed
COIN,0,0,0,18657.90000000001,0,18657.90000000001,Closed
NFLX,0,0,0,-8043.438000000009,0,-8043.438000000009,Closed
AMZN,0,0,0,-10705.543816151978,0,-10705.543816151978,Closed
CAT,0,0,0,-15063.82545587803,0,-15063.82545587803,Closed
TOTAL,,,,608907.6468315623,29374.7089111651,638282.3557427274,
