Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
GOOGL,0,0,0,11540.454830808478,0,11540.454830808478,Closed
COST,15.0,3219.3982665460207,14045.301364970916,0,10825.903098424895,10825.903098424895,Open (15 sh)
ORCL,62.0,316.27298278399394,10960.981746324715,0,10644.70876354072,10644.70876354072,Open (62 sh)
LLY,0,0,0,9353.557073830016,0,9353.557073830016,Closed
TSLA,12.0,-3842.6588282384037,4011.3374896546475,0,7853.996317893051,7853.996317893051,Open (12 sh)
AVGO,0,0,0,7325.147516413694,0,7325.147516413694,Closed
META,0,0,0,7287.395443620015,0,7287.395443620015,Closed
WMT,134.0,5912.698782891741,11864.184585561798,0,5951.485802670057,5951.485802670057,Open (134 sh)
UBER,0,0,0,5636.419999999998,0,5636.419999999998,Closed
TXN,0,0,0,5300.994680263,0,5300.994680263,Closed
ABBV,0,0,0,3840.4300002050004,0,3840.4300002050004,Closed
AMZN,84.0,13226.254544475989,16912.21072856105,0,3685.956184085062,3685.956184085062,Open (84 sh)
MSFT,0,0,0,3648.648693651994,0,3648.648693651994,Closed
AAPL,97.0,18686.385962881992,22194.843491070613,0,3508.457528188621,3508.457528188621,Open (97 sh)
GS,15.0,5383.950014821996,8621.229009875955,0,3237.278995053959,3237.278995053959,Open (15 sh)
CRM,27.0,5666.5723610050045,8563.095480531756,0,2896.5231195267515,2896.5231195267515,Open (27 sh)
SHOP,32.0,1273.0599999999977,3582.575144312413,0,2309.5151443124155,2309.5151443124155,Open (32 sh)
AMD,0,0,0,2157.8399999999892,0,2157.8399999999892,Closed
QCOM,0,0,0,1979.7256128650042,0,1979.7256128650042,Closed
NFLX,90.0,5756.361999999994,7729.663487659283,0,1973.3014876592897,1973.3014876592897,Open (90 sh)
UNH,25.0,12597.074635579003,14363.87097890465,0,1766.7963433256464,1766.7963433256464,Open (25 sh)
ADBE,0,0,0,1589.2300000000032,0,1589.2300000000032,Closed
V,0,0,0,1109.7484807370056,0,1109.7484807370056,Closed
JPM,47.0,10020.910881644013,11097.611065908197,0,1076.700184264184,1076.700184264184,Open (47 sh)
CAT,38.0,13680.472575690997,14723.309975357211,0,1042.837399666214,1042.837399666214,Open (38 sh)
HON,0,0,0,985.5364062847293,0,985.5364062847293,Closed
HD,35.0,13771.908546014005,14192.200161800372,0,420.2916157863674,420.2916157863674,Open (35 sh)
PG,0,0,0,307.3370966700022,0,307.3370966700022,Closed
JNJ,0,0,0,-134.90626274600072,0,-134.90626274600072,Closed
PFE,0,0,0,-381.27280967149636,0,-381.27280967149636,Closed
INTC,0,0,0,-607.401224775007,0,-607.401224775007,Closed
KO,0,0,0,-1224.8290268440032,0,-1224.8290268440032,Closed
UPS,0,0,0,-3071.443462748015,0,-3071.443462748015,Closed
XOM,0,0,0,-3326.3965144100075,0,-3326.3965144100075,Closed
CVX,0,0,0,-3506.747096031002,0,-3506.747096031002,Closed
MA,52.0,30649.686176461022,26645.825289506403,0,-4003.8608869546188,-4003.8608869546188,Open (52 sh)
TOTAL,,,,49809.4694381234,53189.89109744261,102999.36053556601,
