Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
TSLA,51.0,-5300.608811585,17020.89190129522,0,22321.50071288022,22321.50071288022,Open (51 sh)
META,0,0,0,10847.668128528006,0,10847.668128528006,Closed
GE,0,0,0,10377.360045512192,0,10377.360045512192,Closed
ORCL,96.0,7242.730504828989,16988.718000912002,0,9745.987496083013,9745.987496083013,Open (96 sh)
LLY,0,0,0,8092.117382057986,0,8092.117382057986,Closed
SHOP,153.0,9751.938999999984,17101.765301220254,0,7349.82630122027,7349.82630122027,Open (153 sh)
GOOGL,0,0,0,6984.121546770497,0,6984.121546770497,Closed
COST,0,0,0,6413.978916020991,0,6413.978916020991,Closed
QCOM,0,0,0,6249.002724653998,0,6249.002724653998,Closed
AVGO,0,0,0,5841.005786113907,0,5841.005786113907,Closed
DE,38.0,12195.205204802987,16823.131453297185,0,4627.926248494197,4627.926248494197,Open (38 sh)
INTC,0,0,0,4446.752724637001,0,4446.752724637001,Closed
TXN,0,0,0,4278.295874620009,0,4278.295874620009,Closed
AMD,0,0,0,4094.7800000000134,0,4094.7800000000134,Closed
JPM,0,0,0,3981.7300846020007,0,3981.7300846020007,Closed
AMZN,0,0,0,3892.6359584149977,0,3892.6359584149977,Closed
ABBV,0,0,0,3867.795100554038,0,3867.795100554038,Closed
ADBE,0,0,0,3590.760000000002,0,3590.760000000002,Closed
GS,29.0,13276.750293542005,16641.026091452,0,3364.275797909995,3364.275797909995,Open (29 sh)
WMT,193.0,13934.274287137952,17060.611232492993,0,3126.3369453550404,3126.3369453550404,Open (193 sh)
AXP,58.0,14060.101875536988,16867.336282279804,0,2807.2344067428166,2807.2344067428166,Open (58 sh)
HD,0,0,0,2581.7678392000016,0,2581.7678392000016,Closed
UBER,0,0,0,2297.970000000001,0,2297.970000000001,Closed
CVX,114.0,14835.452153715,17058.624977524767,0,2223.1728238097676,2223.1728238097676,Open (114 sh)
V,0,0,0,1886.1180680609978,0,1886.1180680609978,Closed
AMAT,0,0,0,1869.6791850630034,0,1869.6791850630034,Closed
RTX,0,0,0,1775.6368029453733,0,1775.6368029453733,Closed
MSFT,0,0,0,1643.5802987470088,0,1643.5802987470088,Closed
XOM,0,0,0,1273.6756144150277,0,1273.6756144150277,Closed
MA,0,0,0,1167.2576320519947,0,1167.2576320519947,Closed
SBUX,0,0,0,846.9253554629977,0,846.9253554629977,Closed
AAPL,0,0,0,472.58402688200295,0,472.58402688200295,Closed
UNH,29.0,16397.48043240799,16635.416003475937,0,237.93557106794833,237.93557106794833,Open (29 sh)
SLB,0,0,0,-415.73005771599856,0,-415.73005771599856,Closed
CRM,54.0,17526.115237189995,17098.773650551626,0,-427.34158663836934,-427.34158663836934,Open (54 sh)
CAT,44.0,17652.635427793008,17020.750925673638,0,-631.8845021193702,-631.8845021193702,Open (44 sh)
BAC,0,0,0,-641.893080623995,0,-641.893080623995,Closed
MU,0,0,0,-839.1701378470025,0,-839.1701378470025,Closed
JNJ,0,0,0,-1082.2693025219996,0,-1082.2693025219996,Closed
NFLX,204.0,15012.804000000004,13928.5692412349,0,-1084.2347587651038,-1084.2347587651038,Open (204 sh)
HON,0,0,0,-1436.189917370175,0,-1436.189917370175,Closed
PFE,0,0,0,-1802.5775492684916,0,-1802.5775492684916,Closed
NKE,0,0,0,-1872.2157830750002,0,-1872.2157830750002,Closed
EOG,137.0,19426.632735894993,17062.6749385897,0,-2363.9577973052947,-2363.9577973052947,Open (137 sh)
MRK,0,0,0,-2817.781466193999,0,-2817.781466193999,Closed
UPS,0,0,0,-3244.928734064997,0,-3244.928734064997,Closed
COP,0,0,0,-3560.3104614040203,0,-3560.3104614040203,Closed
TOTAL,,,,81060.13260522837,51296.77765873514,132356.9102639635,
