Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
XLK,0,0,0,51778.235857754946,0,51778.235857754946,Closed
XLF,1802.0,52567.693829961005,86703.0824809438,0,34135.3886509828,34135.3886509828,Open (1802 sh)
XLE,0,0,0,27360.985947699985,0,27360.985947699985,Closed
XLC,0,0,0,23177.75104108895,0,23177.75104108895,Closed
XLY,844.0,76460.68723078643,86663.46180386146,0,10202.774573075032,10202.774573075032,Open (844 sh)
XLI,630.0,78277.043680576,88276.96571519475,0,9999.92203461875,9999.92203461875,Open (630 sh)
XLRE,0,0,0,9115.995606637036,0,9115.995606637036,Closed
XLU,0,0,0,8630.694173368509,0,8630.694173368509,Closed
XLP,0,0,0,-529.0358751780586,0,-529.0358751780586,Closed
XLV,0,0,0,-1865.7905100380012,0,-1865.7905100380012,Closed
XLB,0,0,0,-9344.916439191438,0,-9344.916439191438,Closed
TOTAL,,,,108323.91980214193,54338.08525867658,162662.0050608185,
