symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
XLV,2015-04-01,2015-05-01,Long,542.0,60.72090999975,59.914187246592,-437.24373221163535,-1.33%,30,0
XLV,2015-06-01,2015-07-01,Long,7.0,62.8147344825,62.40095982675,-2.896422590250026,-0.66%,30,0
XLV,2015-06-01,2015-09-01,Long,516.0,62.8147344825,59.12950205925,-1901.5799303969998,-5.87%,92,0
XLV,2016-07-01,2016-08-01,Long,19.0,61.234560915528,64.12010755815,54.82538620981793,4.71%,31,0
XLV,2016-07-01,2016-09-01,Long,465.0,61.234560915528,61.998392371176,355.1816268763212,1.25%,62,0
XLV,2017-04-03,2017-06-01,Long,505.0,64.256696880376,65.611645605072,684.2491059714806,2.11%,59,0
XLV,2017-07-03,2017-10-02,Long,482.0,68.74733373508,71.02215590085,1096.4642839011353,3.31%,91,0
XLV,2018-08-01,2018-09-04,Long,5.0,78.308012108326,81.534926852604,16.134573721390026,4.12%,34,0
XLV,2018-08-01,2018-10-01,Long,11.0,78.308012108326,83.94632198766,62.02140867267403,7.20%,61,0
XLV,2018-08-01,2018-11-01,Long,490.0,78.308012108326,78.25579359228,-25.58707286253849,-0.07%,92,0
XLV,2018-12-03,2019-01-02,Long,444.0,84.750876181972,76.669631210412,-3588.0727673726387,-9.54%,30,0
XLV,2019-12-02,2020-03-02,Long,417.0,89.426731108715,83.962852799301,-2278.437255025638,-6.11%,91,0
XLV,2020-02-03,2020-03-02,Long,9.0,90.063082235126,83.962852799301,-54.902064922425,-6.77%,28,0
XLV,2020-06-01,2020-07-01,Long,376.0,94.032898962002,91.552631842881,-932.5804367894942,-2.64%,30,0
XLV,2021-07-01,2021-08-02,Long,22.0,117.25746681649,122.78375586747,121.57835912156025,4.71%,32,0
XLV,2021-07-01,2021-10-01,Long,436.0,117.25746681649,118.69386718014,626.2705585514038,1.22%,92,0
XLV,2022-12-01,2023-01-03,Long,384.0,131.862648179262,129.128254443045,-1050.0071947073338,-2.07%,33,0
XLV,2023-05-01,2023-06-01,Long,389.0,127.673332071285,121.979133400365,-2215.043282987881,-4.46%,31,0
XLV,2023-10-02,2023-11-01,Long,413.0,124.107065830748,119.818333636092,-1771.2463963929247,-3.46%,30,0
XLV,2024-09-03,2024-10-01,Long,378.0,153.36879293736,150.52562650719,-1074.7169106042656,-1.85%,28,0
XLY,2015-04-01,2015-06-01,Long,986.0,33.377849137633,33.82991505117,445.73699074748026,1.35%,61,0
XLY,2015-07-01,2015-09-01,Long,947.0,34.086902866016,33.351587493534,-696.3436577404531,-2.16%,62,0
XLY,2015-11-02,2016-01-04,Long,857.0,36.2245679600805,35.037514238175,-1017.3050396730131,-3.28%,63,0
XLY,2017-04-03,2017-05-01,Long,804.0,40.3365104217075,41.221693854189,711.6874797151238,2.19%,28,0
XLY,2017-06-01,2017-07-03,Long,813.0,41.7582634894425,41.147703975132,-496.38488513443235,-1.46%,32,0
XLY,2018-01-02,2018-02-01,Long,14.0,45.7134635922965,49.8380952452715,57.744843141649966,9.02%,30,0
XLY,2018-01-02,2018-05-01,Long,800.0,45.7134635922965,48.079275921675,1892.6498635027997,5.18%,119,0
XLY,2018-07-02,2018-09-04,Long,15.0,50.91321294059,54.367827535215,51.81921891937499,6.79%,64,0
XLY,2018-07-02,2018-10-01,Long,751.0,50.91321294059,54.660404218662,2814.1406498320734,7.36%,91,0
XLY,2019-03-01,2019-06-03,Long,674.0,51.6961993382835,52.112040128667,280.27669271847793,0.80%,94,0
XLY,2019-09-03,2019-10-01,Long,629.0,56.476973039487,57.080944392525,379.89798106090103,1.07%,28,0
XLY,2020-06-01,2020-08-03,Long,29.0,59.329183374461,65.47028422995,178.0919248091808,10.35%,63,0
XLY,2020-06-01,2020-09-01,Long,6.0,59.329183374461,71.7258026282715,74.37971552286295,20.89%,92,0
XLY,2020-06-01,2020-10-01,Long,5.0,59.329183374461,70.389070085385,55.29943355461999,18.64%,122,0
XLY,2020-06-01,2020-12-01,Long,555.0,59.329183374461,75.312186430995,8870.566696376367,26.94%,183,0
XLY,2021-09-01,2021-10-01,Long,620.0,88.561548370295,86.492429206785,-1282.8538813761973,-2.34%,30,0
XLY,2021-11-01,2021-12-01,Long,26.0,97.145627584005,98.537265126972,36.182576117142105,1.43%,30,0
XLY,2021-11-01,2022-02-01,Long,548.0,97.145627584005,89.2769293718325,-4312.046620270532,-8.10%,92,0
XLY,2022-01-03,2022-02-01,Long,10.0,98.882484626926,89.2769293718325,-96.05555255093506,-9.71%,29,0
XLY,2023-03-01,2023-05-01,Long,672.0,71.007183185939,72.214737013962,811.4761724314526,1.70%,61,0
XLY,2023-04-03,2023-05-01,Long,11.0,73.181464738382,72.214737013962,-10.634004968620118,-1.32%,28,0
XLY,2023-06-01,2023-07-03,Long,34.0,74.194475518163,83.102114867832,302.85973788874594,12.01%,32,0
XLY,2023-06-01,2023-10-02,Long,631.0,74.194475518163,78.921105847047,2982.5037375258034,6.37%,123,0
XLB,2015-04-01,2015-05-01,Long,1677.0,19.624816474263,20.244080711943,1038.5061265893592,3.16%,30,0
XLB,2016-05-02,2016-07-01,Long,1552.0,19.35731685888,19.103995413468,-393.1548832794272,-1.31%,60,0
