Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
TSLA,190.0,19881.256117377197,64760.40987511379,0,44879.153757736596,44879.153757736596,Open (190 sh)
META,0,0,0,39012.41632899799,0,39012.41632899799,Closed
SHOP,568.0,38477.48900000006,64839.804586856306,0,26362.315586856246,26362.315586856246,Open (568 sh)
NOW,146.0,9986.44200000001,30260.492533572695,0,20274.050533572685,20274.050533572685,Open (146 sh)
AVGO,0,0,0,18444.29250744643,0,18444.29250744643,Closed
GS,51.0,14081.278857542027,29887.95014455275,0,15806.671287010722,15806.671287010722,Open (51 sh)
CRM,93.0,15969.887561946962,30074.471373751374,0,14104.583811804412,14104.583811804412,Open (93 sh)
AMD,0,0,0,13057.359999999986,0,13057.359999999986,Closed
GOOGL,0,0,0,12215.802766835492,0,12215.802766835492,Closed
ORCL,359.0,53477.278130776016,64882.51463811824,0,11405.236507342226,11405.236507342226,Open (359 sh)
DE,66.0,18667.76602772897,29840.83887877071,0,11173.072851041743,11173.072851041743,Open (66 sh)
AAPL,0,0,0,8783.087831776968,0,8783.087831776968,Closed
AMZN,147.0,21626.039448583004,30177.7225590847,0,8551.683110501697,8551.683110501697,Open (147 sh)
QCOM,0,0,0,8329.965807045985,0,8329.965807045985,Closed
NFLX,345.0,22226.919999999984,30212.39849568717,0,7985.478495687188,7985.478495687188,Open (345 sh)
COST,0,0,0,7207.281479116995,0,7207.281479116995,Closed
TXN,0,0,0,5779.709375525985,0,5779.709375525985,Closed
JPM,0,0,0,5520.276943139004,0,5520.276943139004,Closed
LLY,0,0,0,4641.339577507926,0,4641.339577507926,Closed
CAT,0,0,0,4527.214923957945,0,4527.214923957945,Closed
MSFT,0,0,0,3316.1600196220097,0,3316.1600196220097,Closed
UNH,0,0,0,801.9488954619737,0,801.9488954619737,Closed
V,0,0,0,-1535.0013705110032,0,-1535.0013705110032,Closed
HD,73.0,32539.94457136601,30182.316914492312,0,-2357.6276568736976,-2357.6276568736976,Open (73 sh)
ADBE,0,0,0,-4388.429999999993,0,-4388.429999999993,Closed
MA,0,0,0,-6380.147627628001,0,-6380.147627628001,Closed
TOTAL,,,,119333.27745829569,158184.61828467983,277517.8957429755,
