Date,Ticker,Direction,Quantity,Price,Value,Status
2020-01-07T21:00:00Z,ZM,BUY,173.0,71.81,12423.13,3
2020-01-08T21:00:00Z,XYZ,BUY,184.0,68.22,12552.48,3
2020-02-04T21:00:00Z,KLAC,BUY,78.0,163.862985744,12781.312888032,3
2020-02-06T21:00:00Z,KLAC,SELL,78.0,158.883620904,12392.922430512,3
2020-02-06T21:00:00Z,REGN,BUY,33.0,388.913014308,12834.129472164,3
2020-02-13T21:00:00Z,KLAC,BUY,78.0,166.710996288,13003.457710464,3
2020-02-13T21:00:00Z,OXY,BUY,342.0,38.397179618,13131.835429356,3
2020-02-18T21:00:00Z,FSLR,BUY,237.0,56.16,13309.92,3
2020-02-18T21:00:00Z,OXY,SELL,342.0,38.205513164,13066.285502088,3
2020-02-19T21:00:00Z,KLAC,SELL,78.0,160.63159919,12529.26473682,3
2020-02-19T21:00:00Z,OXY,BUY,348.0,38.97217898,13562.31828504,3
2020-02-24T21:00:00Z,FSLR,SELL,237.0,51.8,12276.6,3
2020-02-24T21:00:00Z,OXY,SELL,348.0,36.088055196,12558.643208208,3
2020-02-25T21:00:00Z,MRNA,BUY,558.0,29.09,16232.22,3
2020-03-04T21:00:00Z,LRCX,BUY,477.0,27.745210017,13234.465178109,3
2020-03-05T21:00:00Z,LRCX,SELL,477.0,27.0856965474,12919.8772531098,3
2020-03-10T20:00:00Z,XYZ,SELL,184.0,66.02,12147.68,3
2020-03-25T20:00:00Z,DOCU,BUY,165.0,82.02,13533.3,3
2020-04-02T20:00:00Z,VRTX,BUY,57.0,241.38,13758.66,3
2020-04-08T20:00:00Z,AMD,BUY,285.0,49.65,14150.25,3
2020-04-08T20:00:00Z,OKTA,BUY,108.0,129.14,13947.12,3
2020-04-13T20:00:00Z,INTC,BUY,280.0,53.225117772,14903.03297616,3
2020-06-25T20:00:00Z,INTC,SELL,280.0,52.143946131,14600.30491668,3
2020-06-29T20:00:00Z,AMD,SELL,285.0,51.17,14583.45,3
2020-07-08T20:00:00Z,AMD,BUY,442.0,53.55,23669.1,3
2020-07-09T20:00:00Z,UBER,BUY,734.0,33.14,24324.76,3
2020-07-14T20:00:00Z,UBER,SELL,734.0,32.1,23561.4,3
2020-07-16T20:00:00Z,UBER,BUY,743.0,32.55,24184.65,3
2020-07-27T20:00:00Z,UBER,SELL,743.0,30.79,22876.97,3
2020-08-03T20:00:00Z,VRTX,SELL,57.0,279.23,15916.11,3
2020-08-06T20:00:00Z,UBER,BUY,751.0,33.13,24880.63,3
2020-08-12T20:00:00Z,UBER,SELL,751.0,30.5,22905.5,3
2020-08-21T20:00:00Z,BNTX,BUY,354.0,75.2797507,26649.0317478,3
2020-08-24T20:00:00Z,MRNA,SELL,558.0,64.31,35884.98,3
2020-08-25T20:00:00Z,REGN,SELL,33.0,602.1603042,19871.2900386,3
