Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
AFRM,0,0,0,69077.47,0,69077.47,Closed
HOOD,3206.0,27380.72000000003,95995.00130566445,0,68614.28130566442,68614.28130566442,Open (3206 sh)
BNTX,805.0,70041.87829833804,132930.34755758505,0,62888.46925924701,62888.46925924701,Open (805 sh)
ZM,0,0,0,57034.869999999995,0,57034.869999999995,Closed
OXY,0,0,0,49973.52652065497,0,49973.52652065497,Closed
COIN,0,0,0,43375.640000000014,0,43375.640000000014,Closed
NET,0,0,0,43351.75999999989,0,43351.75999999989,Closed
AMD,0,0,0,41342.639999999985,0,41342.639999999985,Closed
FSLR,0,0,0,40717.04000000004,0,40717.04000000004,Closed
CRWD,0,0,0,33989.93000000005,0,33989.93000000005,Closed
PYPL,1106.0,66872.61844285601,97399.68776299048,0,30527.06932013447,30527.06932013447,Open (1106 sh)
DASH,580.0,70809.68000000002,97983.71592761335,0,27174.035927613324,27174.035927613324,Open (580 sh)
MRNA,0,0,0,26669.070000000007,0,26669.070000000007,Closed
QCOM,0,0,0,24405.335071776033,0,24405.335071776033,Closed
XOM,0,0,0,22656.427597592003,0,22656.427597592003,Closed
AMAT,0,0,0,22468.063937786996,0,22468.063937786996,Closed
MU,0,0,0,19385.835210193996,0,19385.835210193996,Closed
LCID,3669.0,112806.70000000001,130554.75529953276,0,17748.055299532745,17748.055299532745,Open (3669 sh)
DOCU,0,0,0,16984.570000000007,0,16984.570000000007,Closed
VRTX,0,0,0,11093.669999999984,0,11093.669999999984,Closed
KLAC,0,0,0,7381.421048194985,0,7381.421048194985,Closed
REGN,0,0,0,7367.717236152006,0,7367.717236152006,Closed
INTC,0,0,0,1933.5506476720038,0,1933.5506476720038,Closed
LRCX,0,0,0,1550.6780821749708,0,1550.6780821749708,Closed
MRVL,0,0,0,1192.11169255001,0,1192.11169255001,Closed
UPST,2105.0,96477.52000000002,97431.48675398038,0,953.9667539803631,953.9667539803631,Open (2105 sh)
TSLA,301.0,105351.96471432416,106192.12539263349,0,840.1606783093303,840.1606783093303,Open (301 sh)
UBER,0,0,0,-107.37999999994645,0,-107.37999999994645,Closed
LYFT,0,0,0,-5315.709999999963,0,-5315.709999999963,Closed
SNOW,0,0,0,-6873.840000000026,0,-6873.840000000026,Closed
DDOG,0,0,0,-8211.799999999988,0,-8211.799999999988,Closed
ENPH,0,0,0,-8365.650000000023,0,-8365.650000000023,Closed
OKTA,0,0,0,-8980.369999999995,0,-8980.369999999995,Closed
NIO,0,0,0,-9396.360000000015,0,-9396.360000000015,Closed
TWLO,0,0,0,-10469.699999999983,0,-10469.699999999983,Closed
XYZ,0,0,0,-17780.72999999998,0,-17780.72999999998,Closed
ABNB,0,0,0,-20345.02000000002,0,-20345.02000000002,Closed
RIVN,0,0,0,-26996.26000000001,0,-26996.26000000001,Closed
TOTAL,,,,419108.50704474794,208746.03854448165,627854.5455892296,
