Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
TSLA,86.0,37122.76,36127.508810521256,41171.283130013195,-995.2511894787458,40176.03194053445,Open (86 sh)
NVDA,0,0,0,25627.135497028,0,25627.135497028,Closed
GE,0,0,0,23308.330038048683,0,23308.330038048683,Closed
NFLX,393.0,36111.591,35143.448978859335,19063.35900000001,-968.1420211406657,18095.216978859346,Open (393 sh)
AVGO,155.0,37135.67996775,36140.082397418344,16406.149083484,-995.5975703316581,15410.551513152343,Open (155 sh)
LLY,0,0,0,12980.54698414702,0,12980.54698414702,Closed
AAPL,145.0,36893.68857968,35904.578733235794,11041.366041741998,-989.1098464442039,10052.256195297794,Open (145 sh)
META,0,0,0,7815.829087107998,0,7815.829087107998,Closed
BLK,0,0,0,7340.7269067259995,0,7340.7269067259995,Closed
COST,0,0,0,7194.230580549998,0,7194.230580549998,Closed
CRM,106.0,36190.635126600006,35220.37395373086,8010.161051530011,-970.2611728691481,7039.899878660863,Open (106 sh)
AMZN,162.0,36437.04,35460.17277889131,7041.615183907004,-976.8672211086887,6064.747962798316,Open (162 sh)
CAT,0,0,0,5368.788331796983,0,5368.788331796983,Closed
GS,0,0,0,4557.111199312001,0,4557.111199312001,Closed
MSFT,0,0,0,4310.1725723600075,0,4310.1725723600075,Closed
JPM,0,0,0,2479.522507616017,0,2479.522507616017,Closed
UPS,0,0,0,2405.609785044,0,2405.609785044,Closed
UNH,0,0,0,2017.0397071870098,0,2017.0397071870098,Closed
HD,0,0,0,1981.815142004003,0,1981.815142004003,Closed
GOOGL,0,0,0,1696.46459053249,0,1696.46459053249,Closed
PG,0,0,0,1582.5421635680011,0,1582.5421635680011,Closed
NKE,0,0,0,1273.3851586350056,0,1273.3851586350056,Closed
HON,0,0,0,625.301735584283,0,625.301735584283,Closed
V,115.0,36278.975275875004,35306.34572741512,1190.6166922860068,-972.6295484598813,217.98714382612548,Open (115 sh)
DIS,336.0,37070.82751344,36076.968619927975,733.0329053209964,-993.8588935120279,-260.82598819103146,Open (336 sh)
ABBV,0,0,0,-461.13531938300565,0,-461.13531938300565,Closed
JNJ,0,0,0,-3746.5293722920055,0,-3746.5293722920055,Closed
TOTAL,,,,213014.47038385572,-7861.7174633450195,205152.7529205107,
