Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
TSLA,86.0,-4048.5231300130254,36127.508810521256,0,40176.03194053428,40176.03194053428,Open (86 sh)
NVDA,0,0,0,25627.135497027775,0,25627.135497027775,Closed
GE,0,0,0,23308.33003804856,0,23308.33003804856,Closed
NFLX,393.0,17048.23200000031,35143.448978859335,0,18095.216978859025,18095.216978859025,Open (393 sh)
AVGO,155.0,20729.5308842659,36140.082397418344,0,15410.551513152444,15410.551513152444,Open (155 sh)
LLY,0,0,0,12980.546984147048,0,12980.546984147048,Closed
AAPL,145.0,25852.322537938016,35904.578733235794,0,10052.256195297778,10052.256195297778,Open (145 sh)
META,0,0,0,7815.829087108374,0,7815.829087108374,Closed
BLK,0,0,0,7340.726906725904,0,7340.726906725904,Closed
COST,0,0,0,7194.230580550036,0,7194.230580550036,Closed
CRM,106.0,28180.47407507,35220.37395373086,0,7039.899878660857,7039.899878660857,Open (106 sh)
AMZN,162.0,29395.424816092942,35460.17277889131,0,6064.74796279837,6064.74796279837,Open (162 sh)
CAT,0,0,0,5368.788331796881,0,5368.788331796881,Closed
GS,0,0,0,4557.111199312087,0,4557.111199312087,Closed
MSFT,0,0,0,4310.172572360025,0,4310.172572360025,Closed
JPM,0,0,0,2479.522507615853,0,2479.522507615853,Closed
UPS,0,0,0,2405.6097850439837,0,2405.6097850439837,Closed
UNH,0,0,0,2017.0397071870393,0,2017.0397071870393,Closed
HD,0,0,0,1981.8151420040522,0,1981.8151420040522,Closed
GOOGL,0,0,0,1696.4645905324141,0,1696.4645905324141,Closed
PG,0,0,0,1582.542163568054,0,1582.542163568054,Closed
NKE,0,0,0,1273.3851586350356,0,1273.3851586350356,Closed
HON,0,0,0,625.301735584304,0,625.301735584304,Closed
V,115.0,35088.35858358897,35306.34572741512,0,217.98714382615435,217.98714382615435,Open (115 sh)
DIS,336.0,36337.794608119,36076.968619927975,0,-260.82598819102714,-260.82598819102714,Open (336 sh)
ABBV,0,0,0,-461.135319383,0,-461.135319383,Closed
JNJ,0,0,0,-3746.529372292018,0,-3746.529372292018,Closed
TOTAL,,,,108356.88729557241,96795.86562493787,205152.75292051028,
