Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
TSLA,140.0,3411.504080051207,47815.14197244571,0,44403.6378923945,44403.6378923945,Open (140 sh)
META,0,0,0,20051.05212576801,0,20051.05212576801,Closed
ORCL,123.0,3592.491592146005,22275.105127093728,0,18682.613534947723,18682.613534947723,Open (123 sh)
NOW,231.0,32740.28200000002,47975.17225407327,0,15234.890254073252,15234.890254073252,Open (231 sh)
MU,0,0,0,12025.390750219027,0,12025.390750219027,Closed
DE,49.0,12095.580845824996,22199.57184000088,0,10103.990994175885,10103.990994175885,Open (49 sh)
COST,0,0,0,10044.005072886997,0,10044.005072886997,Closed
GOOGL,0,0,0,9276.982216917997,0,9276.982216917997,Closed
AMD,0,0,0,9166.229999999981,0,9166.229999999981,Closed
UBER,0,0,0,8822.810000000012,0,8822.810000000012,Closed
SHOP,419.0,39890.30199999998,47927.945272465135,0,8037.643272465153,8037.643272465153,Open (419 sh)
GS,38.0,15097.651927712985,22314.69610550941,0,7217.044177796426,7217.044177796426,Open (38 sh)
NFLX,255.0,15299.189000000013,22376.271135972278,0,7077.082135972265,7077.082135972265,Open (255 sh)
AMZN,0,0,0,6705.054782672989,0,6705.054782672989,Closed
AVGO,0,0,0,6558.479825478164,0,6558.479825478164,Closed
LLY,0,0,0,6429.427655241016,0,6429.427655241016,Closed
TXN,0,0,0,4891.819187019995,0,4891.819187019995,Closed
MSFT,0,0,0,3741.776112520005,0,3741.776112520005,Closed
AAPL,0,0,0,3704.015663277736,0,3704.015663277736,Closed
CRM,69.0,18679.772468249008,22358.64964329286,0,3678.8771750438536,3678.8771750438536,Open (69 sh)
JPM,92.0,19808.24261428001,22194.68201064018,0,2386.4393963601688,2386.4393963601688,Open (92 sh)
HD,54.0,20336.547649061,22372.004638506543,0,2035.4569894455417,2035.4569894455417,Open (54 sh)
ADBE,0,0,0,1286.4100000000035,0,1286.4100000000035,Closed
MA,0,0,0,1039.4341522800023,0,1039.4341522800023,Closed
CAT,0,0,0,943.0057995969983,0,943.0057995969983,Closed
UNH,0,0,0,340.03652912701364,0,340.03652912701364,Closed
QCOM,0,0,0,-151.53342219401384,0,-151.53342219401384,Closed
AMAT,0,0,0,-662.0874424099893,0,-662.0874424099893,Closed
V,0,0,0,-1605.6886722300005,0,-1605.6886722300005,Closed
TOTAL,,,,102606.62033617194,118857.67582267476,221464.2961588467,
