symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
SWKS,2015-01-02,2015-03-02,Long,1696.0,58.867987771593,71.015390348175,20601.994769883077,20.63%,59,0
SWKS,2015-04-01,2015-05-01,Long,1320.0,79.704580022067,74.657205237825,-6662.534715199453,-6.33%,30,0
NFLX,2015-03-02,2015-04-01,Long,17716.0,6.791206208787,5.946755624667,-14960.286548269913,-12.43%,30,0
NFLX,2015-07-01,2015-09-01,Long,5376.0,9.394232605758,11.491497,11274.893383444993,22.33%,62,0
NFLX,2015-07-01,2015-10-01,Long,5360.0,9.394232605758,10.315674,4938.925873137114,9.81%,92,0
NFLX,2018-03-01,2018-05-01,Long,5400.0,29.167138,31.214754,11057.126399999988,7.02%,61,0
JD,2015-05-01,2015-06-01,Long,3234.0,30.482957593088,30.530832270336,154.82670622003232,0.16%,31,0
JD,2017-06-01,2017-07-03,Long,3518.0,36.359737558144,35.552827839744,-2838.7083893312,-2.22%,32,0
NTES,2015-06-01,2015-07-01,Long,4151.0,23.781288016486,24.314487575598,2213.311369873923,2.24%,30,0
NTES,2015-12-01,2016-01-04,Long,1763.0,28.333823251734,30.751001692524,4261.48559111277,8.53%,34,0
NTES,2015-12-01,2016-02-01,Long,1758.0,28.333823251734,26.492283184014,-3237.4274390517608,-6.50%,62,0
NTES,2016-11-01,2016-12-01,Long,2498.0,44.2463073520468,38.635195386744,-14016.557689326386,-12.68%,30,0
NTES,2019-01-02,2019-02-01,Long,1714.0,41.452149631893,44.279962789923,4846.871752863415,6.82%,30,0
P,2015-10-01,2015-11-02,Long,2738.0,21.36134,11.49849,-27004.483299999996,-46.17%,32,0
P,2018-06-01,2018-08-01,Long,24649.0,7.22722,6.73326,-12175.62004000001,-6.83%,61,0
NVDA,2015-11-02,2015-12-01,Long,129779.0,0.6900647718965,0.7729317322623,10754.391249313172,12.01%,29,0
NVDA,2016-12-01,2017-03-01,Long,42382.0,2.272806637101,2.4997190605182,9617.002329267769,9.98%,90,0
NVDA,2017-07-03,2017-09-01,Long,34967.0,3.5717791923814,4.1818266457416,21331.529301646107,17.08%,60,0
NVDA,2021-08-02,2021-09-01,Long,25720.0,19.4742583701666,22.315863717081,73086.08952263843,14.59%,30,0
NVDA,2023-04-03,2023-06-01,Long,22325.0,27.7807119655065,37.763453418327,222864.7029342177,35.93%,59,0
NVDA,2023-07-03,2023-08-01,Long,22069.0,42.3120314074458,46.6466944412709,95661.67849348616,10.24%,29,0
NVDA,2024-03-01,2024-05-01,Long,24583.0,79.1442387808072,86.26855599909,175137.09017704602,9.00%,61,0
NVDA,2024-07-01,2024-08-01,Long,17315.0,123.610636737588,116.852968905156,-117009.01851855993,-5.47%,31,0
DLTR,2016-02-01,2016-03-01,Long,619.0,81.40132,80.16975,-762.341830000003,-1.51%,29,0
NDAQ,2016-03-01,2016-04-01,Long,2780.0,17.981207724155,18.8936790497659,2536.6702851983073,5.07%,31,0
NDAQ,2022-09-01,2022-10-03,Long,5263.0,56.747592094193,54.09726875982,-13948.65170880513,-4.67%,32,0
WYNN,2016-04-01,2016-05-02,Long,1237.0,82.860739574613,78.15460469247,-5821.488849210897,-5.68%,31,0
CLR,2016-05-02,2016-07-01,Long,2667.0,36.24126267762,43.94428221951,20543.95311822063,21.25%,60,0
CLR,2018-01-02,2018-02-01,Long,2871.0,51.52173065039,53.90382133089,6838.982343715498,4.62%,30,0
CLR,2021-07-01,2021-08-02,Long,15006.0,37.253518816514,33.38590045023,-58037.48120445779,-10.38%,32,0
LNKD,2016-07-01,2016-09-01,Long,618.0,189.43925,192.55725,1926.9240000000145,1.65%,62,0
GRPN,2016-09-01,2016-10-03,Long,1116.0,106.7066,102.897,-4251.5135999999875,-3.57%,32,0
GRPN,2023-08-01,2023-11-01,Long,130068.0,7.9079,12.77721,633341.4130800001,61.58%,92,0
MU,2016-10-03,2016-11-01,Long,6611.0,17.365238772882,16.726215845196,-4224.580574932168,-3.68%,29,0
MU,2017-11-01,2018-01-02,Long,3691.0,43.276362768639,40.080535871472,-11795.79707744338,-7.38%,62,0
TSLA,2017-03-01,2017-04-03,Long,6335.0,16.6826643317334,18.534778146522,11733.141016685793,11.10%,33,0
TSLA,2019-12-02,2020-03-02,Long,3520.0,22.0179937982004,44.4881295511866,79094.87785051143,102.05%,91,0
TSLA,2019-12-02,2020-04-01,Long,3507.0,22.0179937982004,34.89839651016,45171.572310842304,58.50%,121,0
TSLA,2020-07-01,2020-10-01,Long,4421.0,72.0593134607346,142.860315713967,313011.2309615404,98.25%,92,0
TSLA,2024-08-01,2024-09-03,Long,8710.0,232.30207,213.89589,-160317.8277999998,-7.92%,33,0
ATVI,2017-04-03,2017-05-01,Long,2450.0,47.896067022804,50.09164386435,5379.1632617877,4.58%,28,0
VRTX,2017-05-01,2017-06-01,Long,1036.0,118.4183,123.4764,5240.191599999996,4.27%,31,0
VRTX,2022-02-01,2022-03-01,Long,2677.0,243.29305,229.78998,-36147.71838999994,-5.55%,28,0
VRTX,2022-08-01,2022-09-01,Long,1062.0,280.69041,281.47824,836.6754600000448,0.28%,31,0
YELP,2017-09-01,2017-11-01,Long,3423.0,42.6426,46.67328,13797.01763999999,9.45%,61,0
KSS,2018-02-01,2018-03-01,Long,3642.0,42.476920991505,43.255993791915,2837.383139093242,1.83%,28,0
HES,2018-05-01,2018-06-01,Long,3299.0,51.07479766389,54.04059592938,9784.16847785149,5.81%,31,0
TRIP,2018-08-01,2018-09-04,Long,3212.0,51.620655331245,48.248255852595,-10832.147125423786,-6.53%,34,0
TRIP,2021-04-01,2021-05-03,Long,12174.0,53.84379,47.08287,-82307.44007999999,-12.56%,32,0
