symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
NVDA,19,15,4,78.9%,115249.67,0.00,115249.67,18.8%,-11.1%,1.68
TSLA,12,9,3,75.0%,110897.01,0.00,110897.01,66.6%,-8.9%,7.49
GAP,11,7,4,63.6%,58668.23,0.00,58668.23,24.8%,-10.9%,2.28
GRPN,6,4,2,66.7%,56164.05,0.00,56164.05,57.1%,-15.8%,3.61
JWN,4,4,0,100.0%,55096.60,0.00,55096.60,13.1%,N/A,N/A
META,5,4,1,80.0%,35294.57,0.00,35294.57,32.5%,-11.6%,2.80
GM,3,3,0,100.0%,23719.88,0.00,23719.88,15.7%,N/A,N/A
AVGO,2,2,0,100.0%,19098.43,0.00,19098.43,13.6%,N/A,N/A
ORCL,1,1,0,100.0%,14435.78,0.00,14435.78,9.9%,N/A,N/A
NFLX,9,7,2,77.8%,12648.93,0.00,12648.93,13.0%,-6.5%,1.98
OXY,2,1,1,50.0%,12528.63,0.00,12528.63,21.9%,-3.1%,7.06
TTWO,4,4,0,100.0%,12301.31,0.00,12301.31,14.7%,N/A,N/A
COP,2,2,0,100.0%,11536.04,0.00,11536.04,21.9%,N/A,N/A
KSS,2,2,0,100.0%,11474.54,0.00,11474.54,4.9%,N/A,N/A
EA,2,2,0,100.0%,9955.28,0.00,9955.28,9.6%,N/A,N/A
ATVI,4,3,1,75.0%,9575.16,0.00,9575.16,11.5%,-1.9%,6.03
F,1,1,0,100.0%,9526.39,0.00,9526.39,8.0%,N/A,N/A
GOOGL,2,1,1,50.0%,9326.91,0.00,9326.91,5.5%,-1.7%,3.32
KLAC,3,3,0,100.0%,9008.05,0.00,9008.05,9.4%,N/A,N/A
ISRG,4,2,2,50.0%,7217.36,0.00,7217.36,7.4%,-6.7%,1.10
SCHW,1,1,0,100.0%,5797.41,0.00,5797.41,10.6%,N/A,N/A
M,3,2,1,66.7%,3800.78,0.00,3800.78,15.0%,-9.3%,1.62
HES,1,1,0,100.0%,3796.22,0.00,3796.22,5.8%,N/A,N/A
VMW,1,1,0,100.0%,3300.88,0.00,3300.88,13.5%,N/A,N/A
REGN,8,6,2,75.0%,2684.33,0.00,2684.33,8.8%,-5.2%,1.69
ULTA,2,2,0,100.0%,2499.57,0.00,2499.57,4.5%,N/A,N/A
CME,5,3,2,60.0%,2373.90,0.00,2373.90,2.0%,-1.5%,1.32
BAC,1,1,0,100.0%,2146.18,0.00,2146.18,4.4%,N/A,N/A
INTC,1,1,0,100.0%,1821.14,0.00,1821.14,2.7%,N/A,N/A
DG,2,1,1,50.0%,1783.87,0.00,1783.87,15.4%,-4.6%,3.33
LRCX,3,2,1,66.7%,1635.53,0.00,1635.53,16.1%,-8.8%,1.84
MSFT,1,1,0,100.0%,1569.08,0.00,1569.08,8.1%,N/A,N/A
NDAQ,3,2,1,66.7%,1157.21,0.00,1157.21,3.2%,-4.7%,0.70
SWKS,4,2,2,50.0%,1090.85,0.00,1090.85,13.1%,-4.7%,2.78
LNKD,2,1,1,50.0%,939.81,0.00,939.81,1.6%,-0.2%,8.69
ROST,1,1,0,100.0%,803.08,0.00,803.08,1.6%,N/A,N/A
WFC,2,2,0,100.0%,631.18,0.00,631.18,2.1%,N/A,N/A
QRVO,2,1,1,50.0%,338.33,0.00,338.33,1.4%,-9.1%,0.15
LVS,3,2,1,66.7%,112.37,0.00,112.37,5.3%,-12.8%,0.41
PXD,1,1,0,100.0%,20.80,0.00,20.80,0.0%,N/A,N/A
GILD,3,2,1,66.7%,-587.80,0.00,-587.80,8.0%,-3.5%,2.27
WYNN,2,1,1,50.0%,-797.96,0.00,-797.96,4.9%,-5.7%,0.85
JD,2,1,1,50.0%,-1128.55,0.00,-1128.55,0.2%,-2.2%,0.07
VRTX,4,3,1,75.0%,-1280.75,0.00,-1280.75,3.4%,-5.6%,0.61
DVN,7,4,3,57.1%,-2102.86,0.00,-2102.86,8.6%,-13.8%,0.63
CLR,8,5,3,62.5%,-2589.46,0.00,-2589.46,9.1%,-7.0%,1.30
NXPI,1,0,1,0.0%,-2763.71,0.00,-2763.71,N/A,-4.4%,N/A
YELP,4,3,1,75.0%,-3338.52,0.00,-3338.52,7.6%,-21.8%,0.35
GS,2,0,2,0.0%,-4346.79,0.00,-4346.79,N/A,-2.8%,N/A
XLNX,3,1,2,33.3%,-6231.85,0.00,-6231.85,1.0%,-6.2%,0.16
ALXN,1,0,1,0.0%,-8685.05,0.00,-8685.05,N/A,-13.0%,N/A
MGM,2,0,2,0.0%,-8920.19,0.00,-8920.19,N/A,-6.2%,N/A
DLTR,2,0,2,0.0%,-9142.28,0.00,-9142.28,N/A,-4.2%,N/A
BIIB,1,0,1,0.0%,-11100.35,0.00,-11100.35,N/A,-9.4%,N/A
ILMN,6,3,3,50.0%,-11108.15,0.00,-11108.15,2.3%,-5.3%,0.43
AMGN,1,0,1,0.0%,-11809.12,0.00,-11809.12,N/A,-5.0%,N/A
APA,1,0,1,0.0%,-13859.50,0.00,-13859.50,N/A,-6.4%,N/A
IBM,2,0,2,0.0%,-14988.03,0.00,-14988.03,N/A,-7.1%,N/A
TRIP,2,0,2,0.0%,-17958.51,0.00,-17958.51,N/A,-9.5%,N/A
P,3,1,2,33.3%,-18146.34,0.00,-18146.34,8.9%,-26.5%,0.34
EBAY,1,0,1,0.0%,-18996.63,0.00,-18996.63,N/A,-11.8%,N/A
MU,6,0,6,0.0%,-19139.68,0.00,-19139.68,N/A,-5.8%,N/A
AAPL,2,0,2,0.0%,-21225.45,0.00,-21225.45,N/A,-11.0%,N/A
MRO,6,1,5,16.7%,-23664.54,0.00,-23664.54,10.2%,-8.7%,1.18
BIDU,3,1,2,33.3%,-37182.59,0.00,-37182.59,2.0%,-18.4%,0.11
QCOM,4,0,4,0.0%,-41130.81,0.00,-41130.81,N/A,-12.2%,N/A
TWTR,4,0,4,0.0%,-45461.52,0.00,-45461.52,N/A,-15.8%,N/A
NTES,10,2,8,20.0%,-68797.11,0.00,-68797.11,7.7%,-8.8%,0.87
