symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
SWKS,2015-01-02,2015-03-02,Long,848.0,58.867987771593,71.015390348175,10300.997384941538,20.63%,59,0
SWKS,2015-02-02,2015-03-02,Long,7.0,67.239532174815,71.015390348175,26.431007213520047,5.62%,28,0
SWKS,2015-04-01,2015-05-01,Long,786.0,79.704580022067,74.657205237825,-3967.2365804142196,-6.33%,30,0
SWKS,2024-08-01,2024-09-03,Long,1574.0,107.57744661664,104.229707640318,-5269.341148730838,-3.11%,33,0
EA,2015-01-02,2015-02-02,Long,1090.0,45.762967023774,53.286692349618,8200.860605169957,16.44%,31,0
EA,2015-03-02,2015-04-01,Long,1184.0,55.651349519766,57.133125118566,1754.4223089791985,2.66%,30,0
AVGO,2015-02-02,2015-03-02,Long,7290.0,7.8883845952912,9.7657875406962,13686.267472002453,23.80%,28,0
AVGO,2023-07-03,2023-08-01,Long,1898.0,84.0620102099778,86.913516661821,5412.159245598406,3.39%,29,0
NFLX,2015-03-02,2015-04-01,Long,9709.0,6.791206208787,5.946755624667,-8198.770721221077,-12.43%,30,0
NFLX,2015-06-01,2015-07-01,Long,93.0,8.924049075942,9.375462910242,41.98148658990002,5.06%,30,0
NFLX,2015-06-01,2015-08-03,Long,710.0,8.924049075942,11.419569,1771.8191460811797,27.96%,63,0
NFLX,2015-06-01,2015-09-01,Long,3133.0,8.924049075942,11.491497,8043.814346073718,28.77%,92,0
NFLX,2015-06-01,2015-10-01,Long,2736.0,8.924049075942,10.315674,3807.4857922226884,15.59%,122,0
NFLX,2018-03-01,2018-04-02,Long,127.0,29.167138,29.505465,42.96752899999995,1.16%,32,0
NFLX,2018-03-01,2018-05-01,Long,2284.0,29.167138,31.214754,4676.754943999995,7.02%,61,0
NFLX,2019-03-01,2019-04-01,Long,1411.0,35.84581,35.620344,-318.1325259999962,-0.63%,31,0
NFLX,2022-09-01,2022-10-03,Long,2435.0,22.378356,23.520456,2781.013499999998,5.10%,32,0
NXPI,2015-04-01,2015-05-01,Long,701.0,89.275214023996,85.332686827068,-2763.711565046526,-4.42%,30,0
JD,2015-05-01,2015-06-01,Long,1945.0,30.482957593088,30.530832270336,93.11624724736019,0.16%,31,0
JD,2017-06-01,2017-07-03,Long,1514.0,36.359737558144,35.552827839744,-1221.6613136576,-2.22%,32,0
ULTA,2015-05-01,2015-06-01,Long,391.0,151.24109,152.46738,479.4793899999912,0.81%,31,0
ULTA,2018-11-01,2018-12-03,Long,89.0,274.79452,297.49221,2020.094410000002,8.26%,32,0
NTES,2015-06-01,2015-08-03,Long,2505.0,23.781288016486,23.267187220302,-1287.822494440919,-2.16%,63,0
NTES,2015-07-01,2015-08-03,Long,31.0,24.363165228402,23.267187220302,-33.975318251100035,-4.50%,33,0
NTES,2015-12-01,2016-01-04,Long,1192.0,28.333823251734,30.751001692524,2881.2767014216797,8.53%,34,0
NTES,2015-12-01,2016-02-01,Long,970.0,28.333823251734,26.492283184014,-1786.2938656884005,-6.50%,62,0
NTES,2016-11-01,2016-12-01,Long,1122.0,44.2463073520468,38.635195386744,-6295.667625069738,-12.68%,30,0
NTES,2017-04-03,2017-05-01,Long,1081.0,49.22304683296,45.9056475024984,-3586.1086762289947,-6.74%,28,0
NTES,2018-01-02,2018-02-01,Long,1099.0,60.3438814712734,55.8758985088608,-4910.313275691446,-7.40%,30,0
NTES,2019-01-02,2019-02-01,Long,585.0,41.452149631893,44.279962789923,1654.2706974475482,6.82%,30,0
NTES,2023-02-01,2023-03-01,Long,1177.0,82.749026556196,72.359756115696,-12228.171308468498,-12.56%,28,0
NTES,2023-12-01,2024-01-02,Long,2216.0,107.892893440332,88.396364394756,-43204.30836499641,-18.07%,32,0
ALXN,2015-08-03,2015-09-01,Long,339.0,197.63744,172.01781,-8685.05457,-12.96%,29,0
GOOGL,2015-09-01,2015-10-01,Long,978.0,32.180247990891,31.6474640253315,-521.0627183171868,-1.66%,30,0
GOOGL,2024-06-03,2024-07-01,Long,1044.0,171.3776289225,180.810552670785,9847.972393209531,5.50%,28,0
P,2015-10-01,2015-11-02,Long,1430.0,21.36134,11.49849,-14103.875499999996,-46.17%,32,0
P,2018-06-01,2018-07-02,Long,521.0,7.22722,7.87212,335.9928999999999,8.92%,31,0
P,2018-06-01,2018-08-01,Long,8864.0,7.22722,6.73326,-4378.461440000004,-6.83%,61,0
ATVI,2015-10-01,2015-12-01,Long,1044.0,29.254643632214,35.594969915484,6619.300639733879,21.67%,61,0
ATVI,2015-11-02,2015-12-01,Long,650.0,32.919760849976,35.594969915484,1738.8858925801997,8.13%,29,0
ATVI,2017-04-03,2017-05-01,Long,1111.0,47.896067022804,50.09164386435,2439.2858709576058,4.58%,28,0
ATVI,2022-03-01,2022-04-01,Long,801.0,80.2338878341,78.707908259046,-1222.3096396182614,-1.90%,31,0
NVDA,2015-11-02,2015-12-01,Long,80878.0,0.6900647718965,0.7729317322623,6702.114020465181,12.01%,29,0
NVDA,2016-01-04,2016-02-01,Long,37100.0,0.8047551247736,0.713719118472975,-3377.4358337531885,-11.31%,28,0
NVDA,2016-08-01,2016-09-01,Long,42272.0,1.402873007536,1.5068048694174,4393.407665450542,7.41%,31,0
NVDA,2016-12-01,2017-01-03,Long,1065.0,2.272806637101,2.6259725205783,376.1216659033244,15.54%,33,0
NVDA,2016-12-01,2017-02-01,Long,665.0,2.272806637101,2.6860003728381,274.7738342651714,18.18%,62,0
NVDA,2016-12-01,2017-03-01,Long,19599.0,2.272806637101,2.4997190605182,4447.256586553703,9.98%,90,0
NVDA,2017-07-03,2017-08-01,Long,820.0,3.5717791923814,4.00726408841122,357.0976147444523,12.19%,29,0
NVDA,2017-07-03,2017-09-01,Long,13730.0,3.5717791923814,4.1818266457416,8375.951534635544,17.08%,60,0
