symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
NVDA,32,27,5,84.4%,64442.14,0.00,64442.14,75.2%,-6.9%,10.97
TSLA,21,14,7,66.7%,50053.96,0.00,50053.96,61.5%,-8.8%,6.99
DVN,16,12,4,75.0%,25728.37,0.00,25728.37,20.1%,-12.1%,1.67
META,13,9,4,69.2%,24051.40,0.00,24051.40,24.7%,-7.3%,3.36
CRM,9,7,2,77.8%,21814.40,0.00,21814.40,15.4%,-1.9%,8.24
OXY,11,8,3,72.7%,18321.12,0.00,18321.12,42.4%,-8.2%,5.17
JD,17,12,5,70.6%,16135.62,0.00,16135.62,24.9%,-10.0%,2.49
TRIP,9,6,3,66.7%,14460.09,0.00,14460.09,17.8%,-5.7%,3.14
MRO,14,7,7,50.0%,13436.92,0.00,13436.92,35.0%,-11.4%,3.07
NFLX,21,13,8,61.9%,13180.78,0.00,13180.78,15.9%,-7.2%,2.22
AVGO,13,9,4,69.2%,12132.02,0.00,12132.02,11.7%,-11.1%,1.05
AAPL,17,12,5,70.6%,11638.24,0.00,11638.24,16.0%,-5.7%,2.82
ISRG,14,12,2,85.7%,11087.91,0.00,11087.91,7.7%,-8.7%,0.88
INTC,8,7,1,87.5%,10260.88,0.00,10260.88,15.3%,-6.6%,2.32
NDAQ,11,9,2,81.8%,9688.11,0.00,9688.11,9.7%,-7.6%,1.28
AMAT,19,10,9,52.6%,9586.16,0.00,9586.16,12.6%,-6.7%,1.88
GM,10,8,2,80.0%,9216.57,0.00,9216.57,14.1%,-5.8%,2.42
AMZN,14,9,5,64.3%,7323.33,0.00,7323.33,10.1%,-8.0%,1.26
LOW,14,9,5,64.3%,7223.50,0.00,7223.50,11.3%,-7.0%,1.62
ORCL,11,7,4,63.6%,6410.82,0.00,6410.82,11.6%,-4.2%,2.77
GILD,10,6,4,60.0%,6311.97,0.00,6311.97,9.4%,-6.5%,1.46
ATVI,11,8,3,72.7%,6222.27,0.00,6222.27,11.6%,-6.7%,1.71
MSFT,10,7,3,70.0%,5966.96,0.00,5966.96,6.7%,-2.9%,2.33
BAC,8,6,2,75.0%,5840.19,0.00,5840.19,15.9%,-4.6%,3.49
TJX,10,6,4,60.0%,5112.58,0.00,5112.58,7.3%,-2.5%,2.91
M,14,9,5,64.3%,5002.09,0.00,5002.09,18.8%,-10.7%,1.76
CSCO,7,5,2,71.4%,4986.83,0.00,4986.83,5.0%,-5.5%,0.91
TXN,7,5,2,71.4%,4863.76,0.00,4863.76,5.7%,-4.9%,1.17
TTWO,13,8,5,61.5%,4076.73,0.00,4076.73,11.9%,-7.0%,1.71
ETFC,9,7,2,77.8%,3852.85,0.00,3852.85,12.5%,-2.1%,5.89
