symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
TSLA,11,9,2,81.8%,173818.92,0.00,173818.92,66.6%,-10.2%,6.56
NVDA,17,13,4,76.5%,117942.86,0.00,117942.86,16.3%,-9.2%,1.77
GAP,10,6,4,60.0%,78138.74,0.00,78138.74,28.8%,-9.8%,2.94
JWN,3,3,0,100.0%,67344.29,0.00,67344.29,15.1%,N/A,N/A
GRPN,6,4,2,66.7%,59738.00,0.00,59738.00,57.1%,-17.8%,3.20
META,5,4,1,80.0%,52822.70,0.00,52822.70,32.5%,-8.9%,3.65
NFLX,9,7,2,77.8%,35394.49,0.00,35394.49,15.1%,-5.3%,2.83
GM,3,3,0,100.0%,32138.02,0.00,32138.02,15.7%,N/A,N/A
AVGO,2,2,0,100.0%,20407.27,0.00,20407.27,13.6%,N/A,N/A
ORCL,1,1,0,100.0%,18221.67,0.00,18221.67,9.9%,N/A,N/A
OXY,2,1,1,50.0%,16105.36,0.00,16105.36,21.9%,-3.1%,7.06
KSS,2,2,0,100.0%,15402.50,0.00,15402.50,4.9%,N/A,N/A
COP,2,2,0,100.0%,14514.38,0.00,14514.38,21.9%,N/A,N/A
F,1,1,0,100.0%,14501.16,0.00,14501.16,8.0%,N/A,N/A
TTWO,5,5,0,100.0%,13421.14,0.00,13421.14,13.7%,N/A,N/A
GOOGL,1,1,0,100.0%,12093.01,0.00,12093.01,5.5%,N/A,N/A
AMZN,2,1,1,50.0%,11404.97,0.00,11404.97,12.7%,-0.4%,32.28
ATVI,4,3,1,75.0%,10535.66,0.00,10535.66,11.5%,-1.9%,6.03
KLAC,4,3,1,75.0%,10406.34,0.00,10406.34,8.4%,-2.8%,3.02
EA,2,2,0,100.0%,9955.28,0.00,9955.28,9.6%,N/A,N/A
ADBE,1,1,0,100.0%,9087.85,0.00,9087.85,12.3%,N/A,N/A
ISRG,4,2,2,50.0%,7353.06,0.00,7353.06,7.4%,-6.4%,1.15
LRCX,3,2,1,66.7%,3396.42,0.00,3396.42,16.1%,-8.8%,1.84
WYNN,3,2,1,66.7%,3183.06,0.00,3183.06,4.0%,-5.7%,0.70
ETFC,1,1,0,100.0%,3108.98,0.00,3108.98,4.2%,N/A,N/A
ULTA,2,2,0,100.0%,2983.58,0.00,2983.58,4.5%,N/A,N/A
CME,5,3,2,60.0%,2924.01,0.00,2924.01,2.0%,-1.5%,1.32
ALXN,2,1,1,50.0%,2795.80,0.00,2795.80,3.8%,-5.7%,0.68
YELP,4,3,1,75.0%,2600.77,0.00,2600.77,7.6%,-12.6%,0.60
BAC,1,1,0,100.0%,2597.72,0.00,2597.72,4.4%,N/A,N/A
MSFT,1,1,0,100.0%,2221.29,0.00,2221.29,8.1%,N/A,N/A
INTC,1,1,0,100.0%,2206.01,0.00,2206.01,2.7%,N/A,N/A
DG,2,1,1,50.0%,1526.82,0.00,1526.82,15.4%,-4.6%,3.33
NDAQ,3,2,1,66.7%,1224.82,0.00,1224.82,3.2%,-4.7%,0.70
ROST,1,1,0,100.0%,1062.26,0.00,1062.26,1.6%,N/A,N/A
LNKD,2,1,1,50.0%,1017.39,0.00,1017.39,1.6%,-0.2%,8.69
REGN,7,5,2,71.4%,990.52,0.00,990.52,10.6%,-5.2%,2.03
QRVO,2,1,1,50.0%,463.73,0.00,463.73,1.4%,-9.1%,0.15
TJX,1,1,0,100.0%,451.38,0.00,451.38,1.4%,N/A,N/A
PXD,1,1,0,100.0%,25.53,0.00,25.53,0.0%,N/A,N/A
GILD,3,2,1,66.7%,-648.89,0.00,-648.89,8.0%,-3.5%,2.27
JD,2,1,1,50.0%,-1384.56,0.00,-1384.56,0.2%,-2.2%,0.07
VRTX,4,3,1,75.0%,-3128.91,0.00,-3128.91,3.4%,-5.6%,0.61
NXPI,1,0,1,0.0%,-3297.15,0.00,-3297.15,N/A,-5.2%,N/A
VMW,2,1,1,50.0%,-4295.48,0.00,-4295.48,13.5%,-13.5%,1.00
CLR,6,4,2,66.7%,-5155.49,0.00,-5155.49,10.9%,-8.6%,1.27
GS,2,0,2,0.0%,-5302.44,0.00,-5302.44,N/A,-2.8%,N/A
MU,4,0,4,0.0%,-8711.53,0.00,-8711.53,N/A,-3.3%,N/A
BIIB,2,0,2,0.0%,-8831.40,0.00,-8831.40,N/A,-6.0%,N/A
SWKS,4,2,2,50.0%,-9603.63,0.00,-9603.63,13.1%,-6.6%,1.99
XLNX,3,1,2,33.3%,-10681.02,0.00,-10681.02,1.0%,-8.7%,0.11
MGM,2,0,2,0.0%,-11777.67,0.00,-11777.67,N/A,-5.7%,N/A
MS,1,0,1,0.0%,-11891.76,0.00,-11891.76,N/A,-6.4%,N/A
AMGN,1,0,1,0.0%,-14431.96,0.00,-14431.96,N/A,-5.0%,N/A
LVS,3,1,2,33.3%,-14923.15,0.00,-14923.15,8.1%,-8.4%,0.96
M,3,1,2,33.3%,-17954.45,0.00,-17954.45,16.9%,-9.8%,1.72
BIDU,3,1,2,33.3%,-18013.87,0.00,-18013.87,2.0%,-9.5%,0.21
P,3,1,2,33.3%,-18532.05,0.00,-18532.05,8.9%,-24.4%,0.37
EBAY,2,1,1,50.0%,-18944.74,0.00,-18944.74,5.2%,-11.8%,0.44
TRIP,3,0,3,0.0%,-21472.48,0.00,-21472.48,N/A,-7.6%,N/A
ILMN,6,3,3,50.0%,-22235.22,0.00,-22235.22,2.3%,-5.2%,0.44
APA,1,0,1,0.0%,-22419.83,0.00,-22419.83,N/A,-8.4%,N/A
WFC,3,1,2,33.3%,-26669.27,0.00,-26669.27,3.7%,-7.6%,0.49
IBM,3,0,3,0.0%,-30926.28,0.00,-30926.28,N/A,-7.4%,N/A
DVN,6,3,3,50.0%,-31088.00,0.00,-31088.00,5.6%,-14.4%,0.39
AAPL,3,1,2,33.3%,-35433.14,0.00,-35433.14,3.0%,-14.5%,0.21
