symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
SWKS,2015-01-02,2015-03-02,Long,848.0,58.867987771593,71.015390348175,10300.997384941538,20.63%,59,0
SWKS,2015-02-02,2015-03-02,Long,7.0,67.239532174815,71.015390348175,26.431007213520047,5.62%,28,0
SWKS,2015-04-01,2015-04-27,Long,796.0,79.704580022067,75.579798343203,-3283.3262163757527,-5.18%,26,0
SWKS,2024-08-01,2024-08-05,Long,1926.0,107.57744661664,98.9337656016,-16647.729634967043,-8.03%,4,0
EA,2015-01-02,2015-02-02,Long,1090.0,45.762967023774,53.286692349618,8200.860605169957,16.44%,31,0
EA,2015-03-02,2015-04-01,Long,1184.0,55.651349519766,57.133125118566,1754.4223089791985,2.66%,30,0
AVGO,2015-02-02,2015-03-02,Long,7290.0,7.8883845952912,9.7657875406962,13686.267472002453,23.80%,28,0
AVGO,2023-07-03,2023-08-01,Long,2357.0,84.0620102099778,86.913516661821,6721.000706994439,3.39%,29,0
NFLX,2015-03-02,2015-03-23,Long,9709.0,6.791206208787,6.11244674469,-6590.075636917775,-9.99%,21,0
NFLX,2015-06-01,2015-07-01,Long,95.0,8.924049075942,9.375462910242,42.88431425850003,5.06%,30,0
NFLX,2015-06-01,2015-08-03,Long,720.0,8.924049075942,11.419569,1796.7743453217597,27.96%,63,0
NFLX,2015-06-01,2015-09-01,Long,5956.0,8.924049075942,11.491497,15291.719835689455,28.77%,92,0
NFLX,2018-03-01,2018-04-02,Long,141.0,29.167138,29.505465,47.704106999999944,1.16%,32,0
NFLX,2018-03-01,2018-05-01,Long,2552.0,29.167138,31.214754,5225.516031999995,7.02%,61,0
NFLX,2019-03-01,2019-04-01,Long,1706.0,35.84581,35.620344,-384.64499599999533,-0.63%,31,0
NFLX,2022-09-01,2022-10-03,Long,151.0,22.378356,23.520456,172.45709999999988,5.10%,32,0
NFLX,2022-09-01,2022-11-01,Long,2919.0,22.378356,29.158812,19792.151064,30.30%,61,0
NXPI,2015-04-01,2015-04-27,Long,710.0,89.275214023996,84.631346600337,-3297.1458707978923,-5.20%,26,0
JD,2015-05-01,2015-06-01,Long,1974.0,30.482957593088,30.530832270336,94.50461288755218,0.16%,31,0
JD,2017-06-01,2017-07-03,Long,1833.0,36.359737558144,35.552827839744,-1479.0655138272,-2.22%,32,0
ULTA,2015-05-01,2015-06-01,Long,397.0,151.24109,152.46738,486.837129999991,0.81%,31,0
ULTA,2018-11-01,2018-12-03,Long,110.0,274.79452,297.49221,2496.7459000000026,8.26%,32,0
NTES,2015-06-01,2015-08-03,Long,2542.0,23.781288016486,23.267187220302,-1306.844223899727,-2.16%,63,0
NTES,2015-07-01,2015-08-03,Long,32.0,24.363165228402,23.267187220302,-35.07129625920004,-4.50%,33,0
NTES,2015-12-01,2016-01-04,Long,1305.0,28.333823251734,30.751001692524,3154.4178652309497,8.53%,34,0
NTES,2015-12-01,2016-01-25,Long,1075.0,28.333823251734,26.04435422535,-2461.179203362801,-8.08%,55,0
NTES,2016-11-01,2016-11-07,Long,1310.0,44.2463073520468,41.8279246731324,-3168.081309377861,-5.47%,6,0
NTES,2017-04-03,2017-04-17,Long,1308.0,49.22304683296,45.9558100473408,-4273.5457155899185,-6.64%,14,0
NTES,2018-01-02,2018-01-22,Long,1345.0,60.3438814712734,56.816587829709,-4744.209947904115,-5.85%,20,0
NTES,2019-01-02,2019-02-01,Long,707.0,41.452149631893,44.279962789923,1999.2639027272078,6.82%,30,0
NTES,2023-02-01,2023-02-27,Long,1561.0,82.749026556196,73.291746792096,-14762.81371176009,-11.43%,26,0
NTES,2023-12-01,2023-12-11,Long,2709.0,107.892893440332,99.194460431814,-23564.055020075288,-8.06%,10,0
ALXN,2015-08-03,2015-08-17,Long,344.0,197.63744,186.39342,-3867.9428800000023,-5.69%,14,0
ALXN,2021-06-01,2021-07-01,Long,980.0,176.72655,183.52629,6663.745199999986,3.85%,30,0
AMZN,2015-09-01,2015-10-01,Long,1295.0,25.609922341003,25.508920847697,-130.7969338312708,-0.39%,30,0
AMZN,2020-06-01,2020-07-01,Long,743.0,121.953842008999,137.479773023586,11535.766743838143,12.73%,30,0
TJX,2015-09-01,2015-10-01,Long,1087.0,30.502723058808,30.917972476602,451.37611714207566,1.36%,30,0
P,2015-10-01,2015-10-26,Long,1557.0,21.36134,12.37761,-13987.667609999997,-42.06%,25,0
P,2018-06-01,2018-07-02,Long,825.0,7.22722,7.87212,532.0424999999998,8.92%,31,0
P,2018-06-01,2018-08-01,Long,10277.0,7.22722,6.73326,-5076.426920000004,-6.83%,61,0
ATVI,2015-10-01,2015-12-01,Long,1136.0,29.254643632214,35.594969915484,7202.6106577947185,21.67%,61,0
ATVI,2015-11-02,2015-12-01,Long,729.0,32.919760849976,35.594969915484,1950.2274087553317,8.13%,29,0
ATVI,2017-04-03,2017-05-01,Long,1345.0,47.896067022804,50.09164386435,2953.05085187937,4.58%,28,0
ATVI,2022-03-01,2022-04-01,Long,1029.0,80.2338878341,78.707908259046,-1570.2329827305755,-1.90%,31,0
NVDA,2015-11-02,2015-12-01,Long,89037.0,0.6900647718965,0.7729317322623,7378.225550089744,12.01%,29,0
NVDA,2016-01-04,2016-01-11,Long,41120.0,0.8047551247736,0.722004010937325,-3402.7258009476272,-10.28%,7,0
NVDA,2016-08-01,2016-09-01,Long,45787.0,1.402873007536,1.5068048694174,4758.728159963663,7.41%,31,0
NVDA,2016-12-01,2017-01-03,Long,1289.0,2.272806637101,2.6259725205783,455.2308238022396,15.54%,33,0
NVDA,2016-12-01,2017-02-01,Long,806.0,2.272806637101,2.6860003728381,333.03415100410245,18.18%,62,0
NVDA,2016-12-01,2017-03-01,Long,23721.0,2.272806637101,2.4997190605182,5382.589595879401,9.98%,90,0
