symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
NVDA,25,21,4,84.0%,146400.74,0.00,146400.74,31.2%,-8.3%,3.77
TSLA,15,11,4,73.3%,133077.72,0.00,133077.72,55.5%,-8.0%,6.90
META,9,6,3,66.7%,73092.53,0.00,73092.53,29.4%,-6.5%,4.52
OXY,7,7,0,100.0%,72861.09,0.00,72861.09,30.9%,N/A,N/A
GRPN,6,4,2,66.7%,59898.97,0.00,59898.97,57.1%,-17.8%,3.20
GAP,10,6,4,60.0%,58064.27,0.00,58064.27,28.8%,-9.8%,2.94
JWN,5,4,1,80.0%,46253.76,0.00,46253.76,8.6%,-22.7%,0.38
CRM,3,3,0,100.0%,37189.05,0.00,37189.05,11.2%,N/A,N/A
NFLX,12,9,3,75.0%,27255.34,0.00,27255.34,15.5%,-6.6%,2.36
ORCL,2,2,0,100.0%,21674.74,0.00,21674.74,6.8%,N/A,N/A
GM,3,3,0,100.0%,20649.70,0.00,20649.70,15.7%,N/A,N/A
SCHW,2,2,0,100.0%,16122.20,0.00,16122.20,9.6%,N/A,N/A
NDAQ,6,5,1,83.3%,14510.33,0.00,14510.33,4.3%,-4.7%,0.92
AVGO,4,3,1,75.0%,13516.49,0.00,13516.49,9.9%,-8.5%,1.17
COP,2,2,0,100.0%,13218.27,0.00,13218.27,21.9%,N/A,N/A
ATVI,5,4,1,80.0%,11526.07,0.00,11526.07,12.9%,-1.9%,6.79
GOOGL,2,1,1,50.0%,10281.18,0.00,10281.18,5.5%,-1.7%,3.32
TTWO,5,5,0,100.0%,10199.10,0.00,10199.10,13.7%,N/A,N/A
M,6,2,4,33.3%,9483.68,0.00,9483.68,25.2%,-9.0%,2.79
WYNN,4,3,1,75.0%,9003.15,0.00,9003.15,5.7%,-5.7%,1.00
ALXN,3,2,1,66.7%,8636.10,0.00,8636.10,4.8%,-5.7%,0.85
