symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
NVDA,30,25,5,83.3%,76668.90,0.00,76668.90,44.6%,-7.9%,5.63
TSLA,16,12,4,75.0%,74028.21,0.00,74028.21,51.4%,-9.9%,5.20
OXY,8,8,0,100.0%,42943.88,0.00,42943.88,34.2%,N/A,N/A
AVGO,12,10,2,83.3%,35421.07,0.00,35421.07,10.8%,-9.0%,1.20
META,9,6,3,66.7%,34162.54,0.00,34162.54,38.2%,-6.5%,5.87
GAP,12,8,4,66.7%,31781.08,0.00,31781.08,35.9%,-9.8%,3.67
GRPN,7,4,3,57.1%,20190.57,0.00,20190.57,57.1%,-16.8%,3.40
JD,11,10,1,90.9%,16662.77,0.00,16662.77,11.8%,-7.2%,1.63
CRM,3,3,0,100.0%,14690.34,0.00,14690.34,11.2%,N/A,N/A
SWKS,9,8,1,88.9%,14142.33,0.00,14142.33,17.3%,-8.0%,2.16
M,11,6,5,54.5%,11816.87,0.00,11816.87,19.7%,-9.7%,2.02
ATVI,8,7,1,87.5%,11347.66,0.00,11347.66,11.4%,-1.9%,6.00
GILD,8,6,2,75.0%,11272.29,0.00,11272.29,9.1%,-2.7%,3.33
GM,3,3,0,100.0%,10371.20,0.00,10371.20,15.7%,N/A,N/A
AMZN,8,4,4,50.0%,9632.93,0.00,9632.93,7.5%,-1.7%,4.42
SCHW,6,3,3,50.0%,7384.29,0.00,7384.29,19.6%,-5.6%,3.50
BAC,4,4,0,100.0%,7134.84,0.00,7134.84,9.8%,N/A,N/A
ETFC,4,3,1,75.0%,6587.18,0.00,6587.18,9.5%,-0.2%,54.37
KSS,9,5,4,55.6%,5820.81,0.00,5820.81,14.2%,-8.3%,1.71
TJX,7,4,3,57.1%,5807.58,0.00,5807.58,5.9%,-3.7%,1.60
CSCO,1,1,0,100.0%,5520.38,0.00,5520.38,7.9%,N/A,N/A
EBAY,7,4,3,57.1%,5444.70,0.00,5444.70,6.2%,-4.3%,1.44
JWN,7,5,2,71.4%,5169.40,0.00,5169.40,9.8%,-20.1%,0.49
TTWO,11,7,4,63.6%,5115.67,0.00,5115.67,13.2%,-9.0%,1.47
VMW,6,5,1,83.3%,4909.82,0.00,4909.82,16.6%,-1.6%,10.66
ISRG,7,5,2,71.4%,4424.28,0.00,4424.28,5.5%,-6.4%,0.86
WYNN,4,3,1,75.0%,4407.79,0.00,4407.79,5.7%,-5.7%,1.00
ORCL,5,3,2,60.0%,4206.45,0.00,4206.45,5.4%,-3.9%,1.36
YHOO,1,1,0,100.0%,2876.94,0.00,2876.94,9.5%,N/A,N/A
ALXN,5,2,3,40.0%,1764.44,0.00,1764.44,4.8%,-4.8%,1.01
ADBE,6,4,2,66.7%,1612.27,0.00,1612.27,6.6%,-4.7%,1.38
C,1,1,0,100.0%,1285.23,0.00,1285.23,5.2%,N/A,N/A
BIDU,6,4,2,66.7%,1247.81,0.00,1247.81,7.3%,-9.5%,0.76
TXN,1,1,0,100.0%,1165.21,0.00,1165.21,4.2%,N/A,N/A
EA,6,3,3,50.0%,995.82,0.00,995.82,14.6%,-4.3%,3.37
NFLX,17,10,7,58.8%,871.46,0.00,871.46,14.4%,-5.8%,2.48
HD,2,1,1,50.0%,548.05,0.00,548.05,6.3%,-1.7%,3.77
CME,4,2,2,50.0%,501.22,0.00,501.22,1.4%,-1.5%,0.89
COP,7,4,3,57.1%,499.06,0.00,499.06,16.2%,-5.6%,2.89
NDAQ,7,4,3,57.1%,334.22,0.00,334.22,2.6%,-4.7%,0.55
MS,5,3,2,60.0%,312.82,0.00,312.82,16.9%,-3.6%,4.65
YELP,7,4,3,57.1%,245.21,0.00,245.21,7.8%,-3.1%,2.47
VRTX,7,5,2,71.4%,208.23,0.00,208.23,3.8%,-3.9%,0.99
EXPE,4,2,2,50.0%,189.53,0.00,189.53,16.7%,-2.2%,7.60
KLAC,5,4,1,80.0%,110.64,0.00,110.64,7.3%,-7.7%,0.95
LRCX,7,3,4,42.9%,99.04,0.00,99.04,12.2%,-6.6%,1.87
NXPI,2,1,1,50.0%,-109.89,0.00,-109.89,4.0%,-5.2%,0.76
ADI,3,2,1,66.7%,-373.19,0.00,-373.19,5.8%,-5.7%,1.01
JPM,1,0,1,0.0%,-419.98,0.00,-419.98,N/A,-1.6%,N/A
ICE,4,2,2,50.0%,-806.16,0.00,-806.16,11.2%,-5.6%,1.99
LNKD,3,1,2,33.3%,-868.39,0.00,-868.39,1.6%,-2.8%,0.60
MSFT,5,3,2,60.0%,-1258.45,0.00,-1258.45,5.0%,-3.9%,1.29
AAPL,10,5,5,50.0%,-1264.29,0.00,-1264.29,9.4%,-8.0%,1.17
F,3,2,1,66.7%,-1685.94,0.00,-1685.94,7.0%,-19.4%,0.36
EOG,3,2,1,66.7%,-1712.20,0.00,-1712.20,3.2%,-5.9%,0.53
ROST,5,3,2,60.0%,-1718.63,0.00,-1718.63,3.1%,-12.2%,0.26
LOW,6,3,3,50.0%,-2033.44,0.00,-2033.44,9.1%,-6.2%,1.47
APA,6,3,3,50.0%,-2425.94,0.00,-2425.94,7.2%,-3.7%,1.92
GOOGL,5,2,3,40.0%,-2428.64,0.00,-2428.64,3.9%,-4.1%,0.97
GS,4,2,2,50.0%,-2498.58,0.00,-2498.58,6.7%,-5.3%,1.27
CELG,1,0,1,0.0%,-2820.49,0.00,-2820.49,N/A,-7.9%,N/A
ULTA,3,1,2,33.3%,-2996.15,0.00,-2996.15,0.8%,-11.1%,0.07
REGN,14,8,6,57.1%,-3138.15,0.00,-3138.15,12.3%,-6.9%,1.77
MCHP,1,0,1,0.0%,-3140.41,0.00,-3140.41,N/A,-5.4%,N/A
IBM,5,3,2,60.0%,-3254.58,0.00,-3254.58,4.3%,-7.0%,0.62
BIIB,6,2,4,33.3%,-3771.34,0.00,-3771.34,4.2%,-6.7%,0.62
DLTR,7,4,3,57.1%,-3790.97,0.00,-3790.97,8.6%,-9.3%,0.93
MGM,3,0,3,0.0%,-4719.28,0.00,-4719.28,N/A,-4.2%,N/A
DG,9,4,5,44.4%,-4754.02,0.00,-4754.02,8.4%,-7.3%,1.15
AMGN,2,0,2,0.0%,-5047.67,0.00,-5047.67,N/A,-3.7%,N/A
PXD,7,2,5,28.6%,-5651.36,0.00,-5651.36,5.6%,-5.5%,1.02
P,6,3,3,50.0%,-5706.16,0.00,-5706.16,10.1%,-19.0%,0.53
CLR,13,8,5,61.5%,-5789.71,0.00,-5789.71,10.9%,-8.4%,1.30
HES,5,3,2,60.0%,-8574.00,0.00,-8574.00,9.6%,-15.0%,0.64
XLNX,8,2,6,25.0%,-8826.31,0.00,-8826.31,11.9%,-8.0%,1.48
QRVO,5,2,3,40.0%,-8829.32,0.00,-8829.32,2.4%,-10.8%,0.23
LVS,6,2,4,33.3%,-9640.63,0.00,-9640.63,4.6%,-7.3%,0.62
DVN,9,4,5,44.4%,-9851.00,0.00,-9851.00,8.6%,-13.4%,0.64
