symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
SWKS,2015-01-02,2015-02-02,Long,20.0,58.867987771593,67.105187455185,164.74399367184006,13.99%,31,0
SWKS,2015-01-02,2015-04-01,Long,25.0,58.867987771593,79.545330111933,516.9335585084999,35.12%,89,0
SWKS,2015-01-02,2015-05-01,Long,294.0,58.867987771593,74.657205237825,4642.029935072207,26.82%,119,0
SWKS,2017-03-01,2017-05-01,Long,333.0,78.990734897074,82.932122858004,1312.4821909896905,4.99%,61,0
SWKS,2019-12-02,2020-01-02,Long,25.0,85.28108830241,105.131633977152,496.2636418685502,23.28%,31,0
SWKS,2019-12-02,2020-02-03,Long,330.0,85.28108830241,98.40870602676,4332.113849035501,15.39%,63,0
SWKS,2020-07-01,2020-08-03,Long,350.0,112.295857229556,127.603374762132,5357.6311364016,13.63%,33,0
SWKS,2023-03-01,2023-04-03,Long,552.0,102.13681630152,107.78906032272,3120.0386997024025,5.53%,33,0
SWKS,2024-08-01,2024-08-05,Long,671.0,107.57744661664,98.9337656016,-5799.909961091841,-8.03%,4,0
EA,2015-01-02,2015-02-02,Long,35.0,45.762967023774,53.286692349618,263.3303864045399,16.44%,31,0
EA,2015-01-02,2015-04-01,Long,401.0,45.762967023774,57.133125118566,4559.433396011591,24.85%,89,0
EA,2015-03-02,2015-04-01,Long,9.0,55.651349519766,57.133125118566,13.335980389199989,2.66%,30,0
EA,2015-08-03,2015-08-24,Long,322.0,69.637181849235,63.650691754839,-1927.6498103955132,-8.60%,21,0
EA,2022-08-01,2022-09-01,Long,232.0,128.875980617384,124.527812179356,-1008.7750776224921,-3.37%,31,0
EA,2023-12-01,2024-01-02,Long,619.0,136.776669963934,135.316489912146,-903.8514520567725,-1.07%,32,0
LOW,2015-01-02,2015-03-02,Long,353.0,56.451066672,60.872925644496,1560.916217291087,7.83%,59,0
LOW,2015-02-02,2015-03-02,Long,31.0,55.791133886488,60.872925644496,157.53554449824807,9.11%,28,0
LOW,2018-02-01,2018-02-26,Long,408.0,90.801490141362,84.355490175894,-2629.96798591094,-7.10%,25,0
LOW,2018-10-01,2018-10-15,Long,351.0,100.512752812472,92.047245670944,-2971.3930066763305,-8.42%,14,0
LOW,2020-07-01,2020-08-03,Long,321.0,122.47236149148,135.217999375272,4091.349760697232,10.41%,33,0
LOW,2024-10-01,2024-11-01,Long,272.0,264.67408420453,256.431860472978,-2241.8848549821523,-3.11%,31,0
TTWO,2015-01-02,2015-03-02,Long,711.0,28.05803,26.46351,-1133.7037199999995,-5.68%,59,0
TTWO,2015-02-02,2015-03-02,Long,10.0,29.74972,26.46351,-32.862100000000005,-11.05%,28,0
