symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
SWKS,2015-01-02,2015-03-02,Long,1696.0,58.867987771593,71.015390348175,20601.994769883077,20.63%,59,0
SWKS,2015-04-01,2015-04-20,Long,1357.0,79.704580022067,76.300068399156,-4619.92227229023,-4.27%,19,0
SWKS,2024-08-01,2024-08-05,Long,12593.0,107.57744661664,98.9337656016,-108849.87502239874,-8.03%,4,0
NFLX,2015-03-02,2015-03-23,Long,17716.0,6.791206208787,6.11244674469,-12024.902665942456,-9.99%,21,0
NFLX,2015-07-01,2015-08-24,Long,11277.0,9.394232605758,10.385604,11179.695212867033,10.55%,54,0
NFLX,2018-03-01,2018-04-09,Long,4650.0,29.167138,28.856115,-1446.2569500000106,-1.07%,39,0
JD,2015-05-01,2015-06-01,Long,3397.0,30.482957593088,30.530832270336,162.63027861145633,0.16%,31,0
JD,2017-06-01,2017-07-03,Long,3588.0,36.359737558144,35.552827839744,-2895.1920696192,-2.22%,32,0
NTES,2015-06-01,2015-07-01,Long,4360.0,23.781288016486,24.314487575598,2324.7500777283317,2.24%,30,0
NTES,2015-12-01,2016-01-04,Long,1807.0,28.333823251734,30.751001692524,4367.84144250753,8.53%,34,0
NTES,2015-12-01,2016-01-11,Long,1802.0,28.333823251734,27.734268023946,-1080.3985204739738,-2.12%,41,0
NTES,2016-11-01,2016-11-07,Long,2688.0,44.2463073520468,41.8279246731324,-6500.612640921901,-5.47%,6,0
NTES,2019-01-02,2019-02-01,Long,1455.0,41.452149631893,44.279962789923,4114.468144933646,6.82%,30,0
AMZN,2015-09-01,2015-10-01,Long,2285.0,25.609922341003,25.508920847697,-230.7884122042114,-0.39%,30,0
P,2015-10-01,2015-10-26,Long,2733.0,21.36134,12.37761,-24552.534089999994,-42.06%,25,0
P,2018-06-01,2018-07-30,Long,19325.0,7.22722,7.56243,6477.93325,4.64%,59,0
NVDA,2015-11-02,2015-12-01,Long,133021.0,0.6900647718965,0.7729317322623,11023.045934819096,12.01%,29,0
NVDA,2016-12-01,2017-02-27,Long,49369.0,2.272806637101,2.4992264079639,11178.117667730516,9.96%,88,0
NVDA,2017-07-03,2017-07-10,Long,35664.0,3.5717791923814,3.6188916227631,1680.2177171329445,1.32%,7,0
NVDA,2017-08-01,2017-08-14,Long,32058.0,4.01528663913878,3.8457504598401,-5434.990835957077,-4.22%,13,0
NVDA,2019-05-01,2019-05-13,Long,28035.0,4.49631089908,4.1853623656824,-8717.442133801705,-6.92%,12,0
NVDA,2021-08-02,2021-09-01,Long,20699.0,19.4742583701666,22.315863717081,58818.38907578122,14.59%,30,0
NVDA,2023-04-03,2023-06-01,Long,15943.0,27.7807119655065,37.763453418327,159154.84698231725,35.93%,59,0
NVDA,2023-07-03,2023-08-01,Long,15760.0,42.3120314074458,46.6466944412709,68314.2894130836,10.24%,29,0
NVDA,2024-03-01,2024-04-08,Long,15573.0,79.1442387808072,87.87207560436,135918.60285318785,11.03%,38,0
NVDA,2024-07-01,2024-07-22,Long,11504.0,123.610636737588,117.761669996454,-67286.51339000545,-4.73%,21,0
ISRG,2016-02-01,2016-02-08,Long,877.0,60.1544733204415,59.5225751203224,-554.1747215044472,-1.05%,7,0
ISRG,2023-06-01,2023-07-03,Long,1952.0,308.14784,341.59806,65294.82944,10.86%,32,0
NDAQ,2016-03-01,2016-04-01,Long,2918.0,17.981207724155,18.8936790497659,2662.5913281326116,5.07%,31,0
NDAQ,2022-09-01,2022-09-26,Long,3897.0,56.747592094193,54.335877037695,-9398.45357517272,-4.25%,25,0
WYNN,2016-04-01,2016-05-02,Long,1298.0,82.860739574613,78.15460469247,-6108.563077021619,-5.68%,31,0
CLR,2016-05-02,2016-07-01,Long,2800.0,36.24126267762,43.94428221951,21568.454717292003,21.25%,60,0
CLR,2018-01-02,2018-02-01,Long,2472.0,51.52173065039,53.90382133089,5888.528162195998,4.62%,30,0
CLR,2021-07-01,2021-07-19,Long,12230.0,37.253518816514,32.965521615864,-52442.20576394955,-11.51%,18,0
LNKD,2016-07-01,2016-09-01,Long,649.0,189.43925,192.55725,2023.5820000000151,1.65%,62,0
GRPN,2016-09-01,2016-09-12,Long,1171.0,106.7066,105.4944,-1419.486199999995,-1.14%,11,0
GRPN,2023-08-01,2023-10-30,Long,92883.0,7.9079,11.75823,357630.20138999994,48.69%,90,0
MU,2016-10-03,2016-11-01,Long,7114.0,17.365238772882,16.726215845196,-4546.009107558228,-3.68%,29,0
MU,2017-11-01,2017-12-04,Long,3112.0,43.276362768639,40.928543318169,-7306.4141298626355,-5.43%,33,0
TSLA,2017-03-01,2017-03-13,Long,7378.0,16.6826643317334,16.2297523770246,-3341.584401841522,-2.71%,12,0
TSLA,2019-12-02,2020-03-02,Long,3548.0,22.0179937982004,44.4881295511866,79724.04165159505,102.05%,91,0
TSLA,2019-12-02,2020-03-09,Long,3535.0,22.0179937982004,46.8517633148232,87787.3752412616,112.79%,98,0
TSLA,2020-07-01,2020-08-10,Long,5235.0,72.0593134607346,96.7504763249514,129258.23759417498,34.27%,40,0
TSLA,2020-09-01,2020-09-28,Long,3044.0,166.272756706056,135.644206435578,-93233.30702333496,-18.42%,27,0
ATVI,2017-04-03,2017-05-01,Long,2499.0,47.896067022804,50.09164386435,5486.746527023454,4.58%,28,0
VRTX,2017-05-01,2017-06-01,Long,1056.0,118.4183,123.4764,5341.353599999996,4.27%,31,0
VRTX,2022-02-01,2022-03-01,Long,2022.0,243.29305,229.78998,-27303.20753999996,-5.55%,28,0
VRTX,2022-08-01,2022-08-29,Long,786.0,280.69041,281.39832,556.417260000021,0.25%,28,0
YELP,2017-09-01,2017-11-01,Long,2887.0,42.6426,46.67328,11636.57315999999,9.45%,61,0
KSS,2018-02-01,2018-03-01,Long,3136.0,42.476920991505,43.255993791915,2443.172302085779,1.83%,28,0
