symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
GRPN,2,1,1,50.0%,1049418.66,0.00,1049418.66,61.6%,-3.6%,17.25
NVDA,9,7,2,77.8%,683707.08,0.00,683707.08,15.5%,-7.8%,2.00
TSLA,4,4,0,100.0%,673108.96,0.00,673108.96,67.5%,N/A,N/A
GAP,5,3,2,60.0%,544846.43,0.00,544846.43,23.5%,-14.5%,1.62
JWN,1,1,0,100.0%,183907.41,0.00,183907.41,16.6%,N/A,N/A
META,1,1,0,100.0%,178596.11,0.00,178596.11,20.9%,N/A,N/A
GOOGL,1,1,0,100.0%,176829.59,0.00,176829.59,5.5%,N/A,N/A
M,1,1,0,100.0%,157242.29,0.00,157242.29,16.9%,N/A,N/A
ISRG,2,2,0,100.0%,154419.95,0.00,154419.95,7.4%,N/A,N/A
OXY,2,1,1,50.0%,103491.30,0.00,103491.30,21.9%,-3.1%,7.06
COP,2,2,0,100.0%,102448.23,0.00,102448.23,21.9%,N/A,N/A
F,1,1,0,100.0%,90628.85,0.00,90628.85,8.0%,N/A,N/A
MRO,1,1,0,100.0%,57867.41,0.00,57867.41,11.1%,N/A,N/A
TTWO,2,2,0,100.0%,32561.02,0.00,32561.02,18.9%,N/A,N/A
KLAC,1,1,0,100.0%,28815.09,0.00,28815.09,14.1%,N/A,N/A
NFLX,3,2,1,66.7%,25397.05,0.00,25397.05,14.7%,-10.0%,1.47
GILD,1,1,0,100.0%,25087.22,0.00,25087.22,12.1%,N/A,N/A
YELP,1,1,0,100.0%,17102.18,0.00,17102.18,9.5%,N/A,N/A
VMW,1,1,0,100.0%,12399.24,0.00,12399.24,13.5%,N/A,N/A
ETFC,1,1,0,100.0%,8939.26,0.00,8939.26,4.2%,N/A,N/A
ROST,1,1,0,100.0%,6740.43,0.00,6740.43,1.6%,N/A,N/A
ATVI,1,1,0,100.0%,6665.77,0.00,6665.77,4.6%,N/A,N/A
KSS,1,1,0,100.0%,3591.53,0.00,3591.53,1.8%,N/A,N/A
CME,2,2,0,100.0%,3424.99,0.00,3424.99,2.0%,N/A,N/A
LNKD,1,1,0,100.0%,2207.54,0.00,2207.54,1.6%,N/A,N/A
NTES,5,3,2,60.0%,1707.80,0.00,1707.80,5.9%,-6.8%,0.87
AMZN,1,0,1,0.0%,-252.91,0.00,-252.91,N/A,-0.4%,N/A
JD,2,1,1,50.0%,-3357.03,0.00,-3357.03,0.2%,-2.2%,0.07
LRCX,1,0,1,0.0%,-4089.75,0.00,-4089.75,N/A,-1.7%,N/A
WYNN,1,0,1,0.0%,-6663.89,0.00,-6663.89,N/A,-5.7%,N/A
XLNX,1,0,1,0.0%,-10332.88,0.00,-10332.88,N/A,-5.3%,N/A
MU,2,0,2,0.0%,-15578.68,0.00,-15578.68,N/A,-4.6%,N/A
NDAQ,2,1,1,50.0%,-20315.09,0.00,-20315.09,5.1%,-4.7%,1.09
P,2,0,2,0.0%,-42080.72,0.00,-42080.72,N/A,-24.4%,N/A
VRTX,3,2,1,66.7%,-53483.97,0.00,-53483.97,2.3%,-5.6%,0.41
GM,1,0,1,0.0%,-62735.39,0.00,-62735.39,N/A,-5.3%,N/A
REGN,2,1,1,50.0%,-71327.44,0.00,-71327.44,16.3%,-10.3%,1.58
BIDU,2,1,1,50.0%,-73111.50,0.00,-73111.50,2.0%,-7.0%,0.29
TRIP,2,0,2,0.0%,-82162.07,0.00,-82162.07,N/A,-6.9%,N/A
CLR,3,2,1,66.7%,-85727.90,0.00,-85727.90,12.9%,-11.5%,1.12
QCOM,2,0,2,0.0%,-144098.32,0.00,-144098.32,N/A,-10.5%,N/A
LVS,1,0,1,0.0%,-192774.70,0.00,-192774.70,N/A,-7.3%,N/A
SWKS,3,1,2,33.3%,-233717.26,0.00,-233717.26,20.6%,-6.6%,3.12
IBM,2,0,2,0.0%,-237087.16,0.00,-237087.16,N/A,-8.0%,N/A
ILMN,4,2,2,50.0%,-250882.87,0.00,-250882.87,2.5%,-4.1%,0.62
DVN,3,1,2,33.3%,-256431.68,0.00,-256431.68,4.7%,-15.7%,0.30
WFC,2,0,2,0.0%,-315345.01,0.00,-315345.01,N/A,-9.3%,N/A
