symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
GRPN,2,1,1,50.0%,1061770.21,0.00,1061770.21,61.6%,-3.6%,17.25
TSLA,4,4,0,100.0%,679546.66,0.00,679546.66,67.5%,N/A,N/A
GAP,5,3,2,60.0%,550760.94,0.00,550760.94,23.5%,-14.5%,1.62
NVDA,9,6,3,66.7%,442661.78,0.00,442661.78,16.6%,-5.2%,3.22
JWN,1,1,0,100.0%,185667.87,0.00,185667.87,16.6%,N/A,N/A
META,1,1,0,100.0%,180704.94,0.00,180704.94,20.9%,N/A,N/A
GOOGL,1,1,0,100.0%,159548.47,0.00,159548.47,5.5%,N/A,N/A
M,1,1,0,100.0%,158746.65,0.00,158746.65,16.9%,N/A,N/A
ISRG,2,2,0,100.0%,156247.36,0.00,156247.36,7.4%,N/A,N/A
OXY,2,1,1,50.0%,104481.50,0.00,104481.50,21.9%,-3.1%,7.06
COP,2,2,0,100.0%,103651.67,0.00,103651.67,21.9%,N/A,N/A
F,1,1,0,100.0%,91496.00,0.00,91496.00,8.0%,N/A,N/A
MRO,1,1,0,100.0%,58421.68,0.00,58421.68,11.1%,N/A,N/A
TTWO,2,2,0,100.0%,32877.02,0.00,32877.02,18.9%,N/A,N/A
KLAC,1,1,0,100.0%,29104.40,0.00,29104.40,14.1%,N/A,N/A
NFLX,3,2,1,66.7%,25752.45,0.00,25752.45,14.7%,-10.0%,1.47
GILD,1,1,0,100.0%,25327.11,0.00,25327.11,12.1%,N/A,N/A
YELP,1,1,0,100.0%,17263.40,0.00,17263.40,9.5%,N/A,N/A
VMW,1,1,0,100.0%,12516.53,0.00,12516.53,13.5%,N/A,N/A
ETFC,1,1,0,100.0%,9023.76,0.00,9023.76,4.2%,N/A,N/A
ROST,1,1,0,100.0%,6818.91,0.00,6818.91,1.6%,N/A,N/A
ATVI,1,1,0,100.0%,6729.44,0.00,6729.44,4.6%,N/A,N/A
KSS,1,1,0,100.0%,3625.03,0.00,3625.03,1.8%,N/A,N/A
CME,2,2,0,100.0%,3458.19,0.00,3458.19,2.0%,N/A,N/A
LNKD,1,1,0,100.0%,2226.25,0.00,2226.25,1.6%,N/A,N/A
NTES,5,3,2,60.0%,1726.18,0.00,1726.18,5.9%,-6.8%,0.87
AMZN,1,0,1,0.0%,-255.33,0.00,-255.33,N/A,-0.4%,N/A
JD,2,1,1,50.0%,-3388.58,0.00,-3388.58,0.2%,-2.2%,0.07
LRCX,1,0,1,0.0%,-4128.95,0.00,-4128.95,N/A,-1.7%,N/A
WYNN,1,0,1,0.0%,-6725.07,0.00,-6725.07,N/A,-5.7%,N/A
XLNX,1,0,1,0.0%,-10435.63,0.00,-10435.63,N/A,-5.3%,N/A
MU,2,0,2,0.0%,-15725.00,0.00,-15725.00,N/A,-4.6%,N/A
NDAQ,2,1,1,50.0%,-18399.85,0.00,-18399.85,5.1%,-4.2%,1.19
P,2,0,2,0.0%,-42485.49,0.00,-42485.49,N/A,-24.4%,N/A
VRTX,3,2,1,66.7%,-54004.01,0.00,-54004.01,2.3%,-5.6%,0.41
GM,1,0,1,0.0%,-63335.07,0.00,-63335.07,N/A,-5.3%,N/A
REGN,2,1,1,50.0%,-72022.90,0.00,-72022.90,16.3%,-10.3%,1.58
BIDU,2,1,1,50.0%,-73761.23,0.00,-73761.23,2.0%,-7.0%,0.29
TRIP,2,0,2,0.0%,-82946.95,0.00,-82946.95,N/A,-6.9%,N/A
CLR,3,2,1,66.7%,-86548.88,0.00,-86548.88,12.9%,-11.5%,1.12
QCOM,2,0,2,0.0%,-145466.30,0.00,-145466.30,N/A,-10.5%,N/A
LVS,1,0,1,0.0%,-181412.76,0.00,-181412.76,N/A,-7.3%,N/A
DVN,3,1,2,33.3%,-210456.31,0.00,-210456.31,4.7%,-15.2%,0.31
SWKS,3,1,2,33.3%,-218080.17,0.00,-218080.17,20.6%,-6.2%,3.35
IBM,2,0,2,0.0%,-226450.50,0.00,-226450.50,N/A,-8.0%,N/A
ILMN,4,2,2,50.0%,-251958.19,0.00,-251958.19,2.5%,-4.1%,0.62
WFC,2,0,2,0.0%,-305271.09,0.00,-305271.09,N/A,-9.3%,N/A
