symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
SWKS,2015-01-02,2015-03-02,Long,1696.0,58.867987771593,71.015390348175,20601.994769883077,20.63%,59,0
SWKS,2015-04-01,2015-04-20,Long,1357.0,79.704580022067,76.300068399156,-4619.92227229023,-4.27%,19,0
SWKS,2024-08-01,2024-08-05,Long,27079.0,107.57744661664,98.9337656016,-234062.23820626823,-8.03%,4,0
NFLX,2015-03-02,2015-03-23,Long,17716.0,6.791206208787,6.11244674469,-12024.902665942456,-9.99%,21,0
NFLX,2015-07-01,2015-09-01,Long,11277.0,9.394232605758,11.491497,23650.850573867032,22.33%,62,0
NFLX,2018-03-01,2018-05-01,Long,6899.0,29.167138,31.214754,14126.502783999986,7.02%,61,0
JD,2015-05-01,2015-06-01,Long,3397.0,30.482957593088,30.530832270336,162.63027861145633,0.16%,31,0
JD,2017-06-01,2017-07-03,Long,4401.0,36.359737558144,35.552827839744,-3551.2096706784,-2.22%,32,0
NTES,2015-06-01,2015-07-01,Long,4360.0,23.781288016486,24.314487575598,2324.7500777283317,2.24%,30,0
NTES,2015-12-01,2016-01-04,Long,1999.0,28.333823251734,30.751001692524,4831.93970313921,8.53%,34,0
NTES,2015-12-01,2016-01-25,Long,1994.0,28.333823251734,26.04435422535,-4565.2012386096985,-8.08%,55,0
NTES,2016-11-01,2016-11-07,Long,2887.0,44.2463073520468,41.8279246731324,-6981.870794025866,-5.47%,6,0
NTES,2019-01-02,2019-02-01,Long,2163.0,41.452149631893,44.279962789923,6116.559860818884,6.82%,30,0
AMZN,2015-09-01,2015-10-01,Long,2528.0,25.609922341003,25.508920847697,-255.33177507756955,-0.39%,30,0
P,2015-10-01,2015-10-26,Long,3024.0,21.36134,12.37761,-27166.799519999993,-42.06%,25,0
P,2018-06-01,2018-08-01,Long,31012.0,7.22722,6.73326,-15318.687520000012,-6.83%,61,0
NVDA,2015-11-02,2015-12-01,Long,147170.0,0.6900647718965,0.7729317322623,12195.530557034801,12.01%,29,0
NVDA,2016-12-01,2017-03-01,Long,53027.0,2.272806637101,2.4997190605182,12032.485076543862,9.98%,90,0
NVDA,2017-07-03,2017-09-01,Long,43749.0,3.5717791923814,4.1818266457416,26688.966037055383,17.08%,60,0
NVDA,2019-05-01,2019-05-13,Long,41653.0,4.49631089908,4.1853623656824,-12951.939261610218,-6.92%,12,0
NVDA,2021-08-02,2021-09-01,Long,46982.0,19.4742583701666,22.315863717081,133504.30240873244,14.59%,30,0
NVDA,2023-04-03,2023-06-01,Long,37600.0,27.7807119655065,37.763453418327,375351.07862605085,35.93%,59,0
NVDA,2023-07-03,2023-08-01,Long,37169.0,42.3120314074458,46.6466944412709,161115.0903042452,10.24%,29,0
NVDA,2024-03-01,2024-04-22,Long,39383.0,79.1442387808072,76.082312529,-120587.8415749227,-3.87%,52,0
NVDA,2024-07-01,2024-07-22,Long,24737.0,123.610636737588,117.761669996454,-144685.89027543156,-4.73%,21,0
ISRG,2016-02-01,2016-03-01,Long,942.0,60.1544733204415,62.4995918753706,2209.101678743213,3.90%,29,0
ISRG,2023-06-01,2023-07-03,Long,4605.0,308.14784,341.59806,154038.2631,10.86%,32,0
NDAQ,2016-03-01,2016-04-01,Long,3213.0,17.981207724155,18.8936790497659,2931.770369187828,5.07%,31,0
NDAQ,2022-09-01,2022-09-26,Long,8845.0,56.747592094193,54.335877037695,-21331.619674724843,-4.25%,25,0
WYNN,2016-04-01,2016-05-02,Long,1429.0,82.860739574613,78.15460469247,-6725.0667465823535,-5.68%,31,0
CLR,2016-05-02,2016-07-01,Long,3083.0,36.24126267762,43.94428221951,23748.409247646872,21.25%,60,0
CLR,2018-01-02,2018-02-01,Long,3668.0,51.52173065039,53.90382133089,8737.508616073997,4.62%,30,0
CLR,2021-07-01,2021-07-19,Long,27760.0,37.253518816514,32.965521615864,-119034.80229004411,-11.51%,18,0
LNKD,2016-07-01,2016-09-01,Long,714.0,189.43925,192.55725,2226.252000000017,1.65%,62,0
GRPN,2016-09-01,2016-10-03,Long,1289.0,106.7066,102.897,-4910.574399999986,-3.57%,32,0
GRPN,2023-08-01,2023-11-01,Long,219062.0,7.9079,12.77721,1066680.78722,61.58%,92,0
MU,2016-10-03,2016-11-01,Long,7641.0,17.365238772882,16.726215845196,-4882.774190448751,-3.68%,29,0
MU,2017-11-01,2017-12-04,Long,4618.0,43.276362768639,40.928543318169,-10842.230222270453,-5.43%,33,0
TSLA,2017-03-01,2017-04-03,Long,7926.0,16.6826643317334,18.534778146522,14679.85409601446,11.10%,33,0
TSLA,2019-12-02,2020-03-02,Long,5272.0,22.0179937982004,44.4881295511866,118462.55568974325,102.05%,91,0
TSLA,2019-12-02,2020-04-01,Long,5252.0,22.0179937982004,34.89839651016,67647.87504321181,58.50%,121,0
TSLA,2020-07-01,2020-10-01,Long,6762.0,72.0593134607346,142.860315713967,478756.3772363575,98.25%,92,0
ATVI,2017-04-03,2017-05-01,Long,3065.0,47.896067022804,50.09164386435,6729.44301933849,4.58%,28,0
VRTX,2017-05-01,2017-06-01,Long,1296.0,118.4183,123.4764,6555.297599999994,4.27%,31,0
VRTX,2022-02-01,2022-03-01,Long,4589.0,243.29305,229.78998,-61965.58822999991,-5.55%,28,0
VRTX,2022-08-01,2022-09-01,Long,1785.0,280.69041,281.47824,1406.2765500000753,0.28%,31,0
YELP,2017-09-01,2017-11-01,Long,4283.0,42.6426,46.67328,17263.402439999987,9.45%,61,0
KSS,2018-02-01,2018-03-01,Long,4653.0,42.476920991505,43.255993791915,3625.025740307758,1.83%,28,0
ETFC,2018-05-01,2018-06-01,Long,3631.0,59.290848560944,61.77604829382,9023.760230072749,4.19%,31,0
TRIP,2018-08-01,2018-08-06,Long,4042.0,51.620655331245,47.324334179115,-17365.730096909454,-8.32%,5,0
