Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
GE,0,0,0,76799.22957910417,0,76799.22957910417,Closed
NVDA,0,0,0,61138.83024846867,0,61138.83024846867,Closed
TSLA,149.0,14690.675856236165,53522.54141880725,0,38831.86556257108,38831.86556257108,Open (149 sh)
META,0,0,0,21557.224159152014,0,21557.224159152014,Closed
NFLX,583.0,33304.87699999998,53805.80516519926,0,20500.92816519928,20500.92816519928,Open (583 sh)
ABBV,0,0,0,18479.933678652975,0,18479.933678652975,Closed
CRM,160.0,31988.21588547196,48147.48004961766,0,16159.264164145701,16159.264164145701,Open (160 sh)
AVGO,0,0,0,15146.881982420542,0,15146.881982420542,Closed
AMZN,0,0,0,11926.530885580985,0,11926.530885580985,Closed
COST,53.0,43722.93717197905,53328.35345784227,0,9605.416285863219,9605.416285863219,Open (53 sh)
BLK,51.0,44881.438872228,52933.79821304539,0,8052.359340817391,8052.359340817391,Open (51 sh)
LLY,0,0,0,7799.447776739951,0,7799.447776739951,Closed
JPM,214.0,42289.18128190504,48182.35630756513,0,5893.1750256600935,5893.1750256600935,Open (214 sh)
AAPL,0,0,0,4479.837110415567,0,4479.837110415567,Closed
GS,87.0,51502.15855716201,53732.82538792301,0,2230.6668307610016,2230.6668307610016,Open (87 sh)
UPS,0,0,0,2150.924945981991,0,2150.924945981991,Closed
GOOGL,0,0,0,1926.456104776502,0,1926.456104776502,Closed
CAT,0,0,0,1690.6377353649877,0,1690.6377353649877,Closed
V,0,0,0,1329.9132777040068,0,1329.9132777040068,Closed
NKE,0,0,0,1044.0578146599873,0,1044.0578146599873,Closed
MSFT,0,0,0,973.0593771220301,0,973.0593771220301,Closed
UNH,0,0,0,427.8581313500181,0,427.8581313500181,Closed
DIS,0,0,0,341.8830472319969,0,341.8830472319969,Closed
HON,0,0,0,110.82686928569456,0,110.82686928569456,Closed
PG,0,0,0,-25.798857547997613,0,-25.798857547997613,Closed
PFE,0,0,0,-693.2555176379974,0,-693.2555176379974,Closed
JNJ,0,0,0,-1823.3763060680067,0,-1823.3763060680067,Closed
CMCSA,0,0,0,-2945.310947473845,0,-2945.310947473845,Closed
HD,0,0,0,-10254.43139036998,0,-10254.43139036998,Closed
TOTAL,,,,211581.3597049143,101273.67537501777,312855.0350799321,
