Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
GE,0,0,0,70726.51220178598,0,70726.51220178598,Closed
NVDA,0,0,0,68524.6240039251,0,68524.6240039251,Closed
TSLA,149.0,17164.87893280419,52629.66850295861,0,35464.78957015442,35464.78957015442,Open (149 sh)
ABBV,0,0,0,21377.39741462702,0,21377.39741462702,Closed
META,0,0,0,21132.820801415975,0,21132.820801415975,Closed
NFLX,582.0,34231.503000000026,52817.45515009336,0,18585.952150093333,18585.952150093333,Open (582 sh)
CRM,159.0,31936.84653059498,47048.37318160661,0,15111.526651011627,15111.526651011627,Open (159 sh)
AVGO,0,0,0,14856.403971858468,0,14856.403971858468,Closed
JPM,213.0,36095.887458236946,47157.17416164688,0,11061.286703409933,11061.286703409933,Open (213 sh)
COST,53.0,42379.65550680505,52438.72002140423,0,10059.06451459918,10059.06451459918,Open (53 sh)
BLK,51.0,45527.182823374984,52050.74682003329,0,6523.563996658304,6523.563996658304,Open (51 sh)
LLY,0,0,0,5958.823973132938,0,5958.823973132938,Closed
AMZN,0,0,0,5555.828801527037,0,5555.828801527037,Closed
AAPL,0,0,0,4807.546702379477,0,4807.546702379477,Closed
GS,87.0,49797.083211850026,52836.44447608458,0,3039.3612642345543,3039.3612642345543,Open (87 sh)
GOOGL,0,0,0,2849.713664687006,0,2849.713664687006,Closed
MSFT,0,0,0,1461.3165665320412,0,1461.3165665320412,Closed
NKE,0,0,0,889.4958720659924,0,889.4958720659924,Closed
V,0,0,0,870.2459575299872,0,870.2459575299872,Closed
CAT,0,0,0,589.1227381990175,0,589.1227381990175,Closed
UNH,0,0,0,124.13322902002255,0,124.13322902002255,Closed
HON,0,0,0,95.99352432336309,0,95.99352432336309,Closed
HD,123.0,56333.26161142404,52701.527686172456,0,-3631.7339252515812,-3631.7339252515812,Open (123 sh)
CMCSA,0,0,0,-3756.5344948622806,0,-3756.5344948622806,Closed
TOTAL,,,,216063.44492814716,96213.81092490976,312277.2558530569,
