Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
TSLA,0,0,0,122456.56666367571,0,122456.56666367571,Closed
SMCI,2339.0,8511.290730000008,124809.11036643409,0,116297.81963643408,116297.81963643408,Open (2339 sh)
NVDA,0,0,0,92909.45679484296,0,92909.45679484296,Closed
AMD,753.0,64437.82131000026,154483.3803671337,0,90045.55905713345,90045.55905713345,Open (753 sh)
MRNA,0,0,0,47646.103180000035,0,47646.103180000035,Closed
NFLX,0,0,0,46013.15791610954,0,46013.15791610954,Closed
MSTR,0,0,0,41200.9071760003,0,41200.9071760003,Closed
CRWD,127.0,25487.89364000014,59438.45540994572,0,33950.561769945576,33950.561769945576,Open (127 sh)
AVGO,0,0,0,32644.17426236521,0,32644.17426236521,Closed
UBER,0,0,0,31399.02084999997,0,31399.02084999997,Closed
ROKU,0,0,0,30025.74833000003,0,30025.74833000003,Closed
SHOP,0,0,0,26788.574436000083,0,26788.574436000083,Closed
KLAC,149.0,134915.49063185538,160947.9010042053,0,26032.41037234993,26032.41037234993,Open (149 sh)
ORCL,0,0,0,19970.24141953414,0,19970.24141953414,Closed
INTC,3778.0,114175.85792047426,131859.74764925457,0,17683.889728780312,17683.889728780312,Open (3778 sh)
LI,0,0,0,16520.899940000003,0,16520.899940000003,Closed
XYZ,0,0,0,15580.791480000014,0,15580.791480000014,Closed
PANW,0,0,0,14480.750709999993,0,14480.750709999993,Closed
TWLO,0,0,0,14058.799100000004,0,14058.799100000004,Closed
CMG,0,0,0,9850.12837619998,0,9850.12837619998,Closed
ABNB,0,0,0,7324.199329999996,0,7324.199329999996,Closed
IBM,0,0,0,5298.542561055103,0,5298.542561055103,Closed
NOW,0,0,0,4809.032336000004,0,4809.032336000004,Closed
SBUX,0,0,0,3527.018742405955,0,3527.018742405955,Closed
DKNG,0,0,0,3187.636780000008,0,3187.636780000008,Closed
AMZN,0,0,0,3073.789828015928,0,3073.789828015928,Closed
WORK,0,0,0,3006.407999999996,0,3006.407999999996,Closed
MCD,0,0,0,2590.6503913087654,0,2590.6503913087654,Closed
NKE,0,0,0,2534.7610977453296,0,2534.7610977453296,Closed
MSFT,0,0,0,2142.8129380077735,0,2142.8129380077735,Closed
NCLH,0,0,0,1696.6504399999976,0,1696.6504399999976,Closed
LRCX,365.0,49652.48588491208,50951.4741966556,0,1298.9883117435238,1298.9883117435238,Open (365 sh)
AMGN,0,0,0,1286.1065631266392,0,1286.1065631266392,Closed
ABBV,0,0,0,1284.0404084726906,0,1284.0404084726906,Closed
GOOG,0,0,0,1282.7405658414064,0,1282.7405658414064,Closed
META,0,0,0,1082.6425652623002,0,1082.6425652623002,Closed
GEN,0,0,0,997.0576461381424,0,997.0576461381424,Closed
CI,0,0,0,778.9917086588503,0,778.9917086588503,Closed
GOOGL,0,0,0,775.657806420917,0,775.657806420917,Closed
ZS,0,0,0,752.8281999999963,0,752.8281999999963,Closed
LOW,0,0,0,588.9248159482013,0,588.9248159482013,Closed
CPAY,0,0,0,416.2766999999985,0,416.2766999999985,Closed
PAGS,0,0,0,386.30472941592234,0,386.30472941592234,Closed
CHTR,0,0,0,384.0587000000014,0,384.0587000000014,Closed
BAX,0,0,0,374.3386029937483,0,374.3386029937483,Closed
JNJ,0,0,0,353.46514965003007,0,353.46514965003007,Closed
GME,0,0,0,326.03078837611247,0,326.03078837611247,Closed
BSX,0,0,0,259.2338400000008,0,259.2338400000008,Closed
EXPE,0,0,0,257.89876003874997,0,257.89876003874997,Closed
VZ,0,0,0,210.46887372847414,0,210.46887372847414,Closed
EBAY,0,0,0,98.91331347296,0,98.91331347296,Closed
