Date,Ticker,Direction,Quantity,Price,Value,Status
2020-04-28T20:00:00Z,CVNA,BUY,240.0,87.66,21038.4,3
2020-04-29T20:00:00Z,SNAP,BUY,1111.0,17.58,19531.38,3
2020-04-30T20:00:00Z,TTD,BUY,669.0,28.21,18872.49,3
2020-05-04T20:00:00Z,ROKU,BUY,157.0,126.3,19829.1,3
2020-05-28T20:00:00Z,ROKU,SELL,157.0,109.85,17246.45,3
2020-05-29T20:00:00Z,ALGN,BUY,82.0,247.34,20281.88,3
2020-06-05T20:00:00Z,MTOR,BUY,1025.0,22.96,23534.0,3
2020-06-25T20:00:00Z,MTOR,SELL,1025.0,19.25,19731.25,3
2020-06-29T20:00:00Z,RAD,BUY,1353.0,17.45,23609.85,3
2020-08-26T20:00:00Z,RAD,SELL,1353.0,13.67,18495.51,3
2020-09-17T20:00:00Z,CVNA,SELL,240.0,171.13,41071.2,3
2020-12-14T21:00:00Z,NVAX,BUY,323.0,130.51,42154.73,3
2020-12-14T21:00:00Z,FSLY,BUY,444.0,95.06,42206.64,3
2021-02-18T21:00:00Z,FSLY,SELL,444.0,82.71,36723.24,3
2021-02-24T21:00:00Z,NVAX,SELL,323.0,240.0,77520.0,3
2021-03-03T21:00:00Z,TTD,SELL,669.0,68.996,46158.324,3
2021-03-24T20:00:00Z,SNAP,SELL,1111.0,49.24,54705.64,3
2021-06-09T20:00:00Z,SPCE,BUY,64.0,710.6,45478.4,3
2021-06-14T20:00:00Z,NVAX,BUY,222.0,200.0,44400.0,3
2021-06-18T20:00:00Z,CVNA,BUY,153.0,294.71,45090.63,3
2021-06-22T20:00:00Z,FSR,BUY,2674.0,17.85,47730.9,3
2021-07-12T20:00:00Z,SPCE,SELL,64.0,805.8,51571.2,3
2021-07-20T20:00:00Z,FSR,SELL,2674.0,15.96,42677.04,3
2021-08-26T20:00:00Z,GME,BUY,1086.0,47.204543944,51264.134723184,3
2021-10-01T20:00:00Z,NVAX,SELL,222.0,167.0,37074.0,3
2021-10-05T20:00:00Z,CVNA,SELL,153.0,281.08,43005.24,3
2021-10-15T20:00:00Z,ALGN,SELL,82.0,586.45,48088.9,3
2021-10-25T20:00:00Z,GME,SELL,1086.0,39.3999987392,42788.3986307712,3
2021-11-01T20:00:00Z,GME,BUY,928.0,45.22727128,41970.90774784,3
2021-11-12T21:00:00Z,NIO,BUY,993.0,42.5,42202.5,3
2021-11-18T21:00:00Z,NIO,SELL,993.0,38.6,38329.8,3
2021-11-23T21:00:00Z,NIO,BUY,1001.0,41.69,41731.69,3
2021-11-30T21:00:00Z,NIO,SELL,1001.0,40.42,40460.42,3
2021-12-01T21:00:00Z,GME,SELL,928.0,41.8931804776,38876.8714832128,3
2021-12-30T21:00:00Z,LI,BUY,1270.0,31.83,40424.1,3
2022-01-06T21:00:00Z,LI,SELL,1270.0,28.48,36169.6,3
2022-01-13T21:00:00Z,CLF,BUY,1789.0,21.86,39107.54,3
2022-01-18T21:00:00Z,CLF,SELL,1789.0,20.95,37479.55,3
2022-03-03T21:00:00Z,CLF,BUY,1550.0,25.28,39184.0,3
2022-05-06T20:00:00Z,CLF,SELL,1550.0,23.24,36022.0,3
2022-06-30T20:00:00Z,XPEV,BUY,1221.0,32.87,40134.27,3
2022-07-21T20:00:00Z,XPEV,SELL,1221.0,26.45,32295.45,3
2023-06-14T20:00:00Z,TCOM,BUY,1040.0,35.92540596,37362.4221984,3
2023-09-25T20:00:00Z,TCOM,SELL,1040.0,35.268597984,36679.34190336,3
2023-11-13T21:00:00Z,SHOP,BUY,594.0,64.26,38170.44,3
2023-11-24T18:00:00Z,XPEV,BUY,2045.0,18.17,37157.65,3
2023-11-27T21:00:00Z,SMCI,BUY,1309.0,29.103,38095.827,3
2023-11-27T21:00:00Z,SNOW,BUY,223.0,170.0,37910.0,3
2023-12-04T21:00:00Z,SMCI,SELL,1309.0,26.345,34485.605,3
2023-12-05T21:00:00Z,XPEV,SELL,2045.0,16.57,33885.65,3
2023-12-15T21:00:00Z,CVNA,BUY,748.0,50.69,37916.12,3
2023-12-18T21:00:00Z,SMCI,BUY,1218.0,31.5,38367.0,3
2023-12-20T21:00:00Z,U,BUY,995.0,39.5,39302.5,3
2024-01-12T21:00:00Z,CVNA,SELL,748.0,41.65,31154.2,3
2024-01-25T21:00:00Z,U,SELL,995.0,32.93,32765.35,3
2024-02-06T21:00:00Z,PLTR,BUY,2100.0,21.65,45465.0,3
2024-02-21T21:00:00Z,SMCI,SELL,1218.0,86.499,105355.782,3
2024-03-05T21:00:00Z,SNOW,SELL,223.0,170.0,37910.0,3
2024-04-16T20:00:00Z,SHOP,SELL,594.0,69.5,41283.0,3
2024-06-05T20:00:00Z,RUN,BUY,3192.0,14.66,46794.72,3
2024-06-28T20:00:00Z,LBPH,BUY,1730.0,27.07,46831.1,3
2024-07-01T20:00:00Z,RUN,SELL,3192.0,11.02,35175.84,3
2024-09-17T20:00:00Z,LBPH,SELL,1730.0,28.18,48751.4,3
2024-09-17T20:00:00Z,VRT,BUY,585.0,88.27393384,51640.2512964,3
2024-12-26T21:00:00Z,ANF,BUY,476.0,154.0,73304.0,3
