Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
SMCI,0,0,0,63378.55999999998,0,63378.55999999998,Closed
ANF,476.0,73304.0,127532.81710908566,0,54228.81710908566,54228.81710908566,Open (476 sh)
VRT,585.0,51640.2512964,89842.66512128948,0,38202.41382488948,38202.41382488948,Open (585 sh)
SNAP,0,0,0,35174.26,0,35174.26,Closed
PLTR,2100.0,45465.0,79099.08776962484,0,33634.087769624835,33634.087769624835,Open (2100 sh)
NVAX,0,0,0,28039.270000000004,0,28039.270000000004,Closed
ALGN,0,0,0,27807.02,0,27807.02,Closed
TTD,0,0,0,27285.83399999999,0,27285.83399999999,Closed
CVNA,0,0,0,11185.490000000005,0,11185.490000000005,Closed
SPCE,0,0,0,6092.799999999996,0,6092.799999999996,Closed
SHOP,0,0,0,3112.5599999999977,0,3112.5599999999977,Closed
LBPH,0,0,0,1920.300000000003,0,1920.300000000003,Closed
SNOW,0,0,0,0.0,0,0.0,Closed
TCOM,0,0,0,-683.0802950399957,0,-683.0802950399957,Closed
ROKU,0,0,0,-2582.649999999998,0,-2582.649999999998,Closed
MTOR,0,0,0,-3802.75,0,-3802.75,Closed
LI,0,0,0,-4254.5,0,-4254.5,Closed
CLF,0,0,0,-4789.99000000002,0,-4789.99000000002,Closed
FSR,0,0,0,-5053.860000000001,0,-5053.860000000001,Closed
RAD,0,0,0,-5114.34,0,-5114.34,Closed
NIO,0,0,0,-5143.970000000001,0,-5143.970000000001,Closed
FSLY,0,0,0,-5483.4000000000015,0,-5483.4000000000015,Closed
U,0,0,0,-6537.1500000000015,0,-6537.1500000000015,Closed
XPEV,0,0,0,-11110.819999999992,0,-11110.819999999992,Closed
GME,0,0,0,-11569.772357039998,0,-11569.772357039998,Closed
RUN,0,0,0,-11618.880000000005,0,-11618.880000000005,Closed
TOTAL,,,,126250.93134791999,126065.31870359999,252316.25005151998,
