Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
VMW,0,0,0,4914.788759603998,0,4914.788759603998,Closed
CSX,0,0,0,4535.797429532202,0,4535.797429532202,Closed
BBY,0,0,0,3556.131412509003,0,3556.131412509003,Closed
BHC,0,0,0,3482.8700000000026,0,3482.8700000000026,Closed
MELI,28.0,13984.567542363991,16970.014852854718,0,2985.4473104907265,2985.4473104907265,Open (28 sh)
PLAN,331.0,17447.010000000002,17533.27617756085,0,86.2661775608467,86.2661775608467,Open (331 sh)
TTD,660.0,17391.0,17476.989237924474,0,85.98923792447385,85.98923792447385,Open (660 sh)
Z,432.0,17349.12,17434.902163616825,0,85.78216361682644,85.78216361682644,Open (432 sh)
SRPT,126.0,17109.539999999997,17194.13756804314,0,84.59756804314384,84.59756804314384,Open (126 sh)
ET,0,0,0,36.03816364500017,0,36.03816364500017,Closed
UAL,0,0,0,-220.33000000000175,0,-220.33000000000175,Closed
KMI,0,0,0,-535.0733852800004,0,-535.0733852800004,Closed
CELG,0,0,0,-967.0699999999997,0,-967.0699999999997,Closed
LULU,0,0,0,-1123.9799999999996,0,-1123.9799999999996,Closed
ANET,0,0,0,-1309.6687500000007,0,-1309.6687500000007,Closed
BIDU,0,0,0,-1715.0,0,-1715.0,Closed
HES,0,0,0,-2042.4312347039977,0,-2042.4312347039977,Closed
TCOM,0,0,0,-2075.9510761439997,0,-2075.9510761439997,Closed
AMD,0,0,0,-2178.0,0,-2178.0,Closed
NFLX,0,0,0,-2725.3359999999993,0,-2725.3359999999993,Closed
BB,0,0,0,-3073.1399999999994,0,-3073.1399999999994,Closed
SHOP,0,0,0,-3144.334999999999,0,-3144.334999999999,Closed
XNCR,0,0,0,-3479.469999999994,0,-3479.469999999994,Closed
RIG,0,0,0,-4463.909999999996,0,-4463.909999999996,Closed
TWTR,0,0,0,-6479.0,0,-6479.0,Closed
TOTAL,,,,-19007.069680837783,3328.0824576360174,-15678.987223201766,
