Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,0,0,0,162422.40265052783,0,162422.40265052783,Closed
META,0,0,0,136605.84615347156,0,136605.84615347156,Closed
MRNA,0,0,0,120371.01768999996,0,120371.01768999996,Closed
TSLA,610.0,260234.11414,253464.93891836057,106699.216538357,-6769.175221639423,99930.04131671757,Open (610 sh)
ORCL,0,0,0,57486.5384687077,0,57486.5384687077,Closed
GS,0,0,0,41601.912195527264,0,41601.912195527264,Closed
HAL,0,0,0,40200.56702511419,0,40200.56702511419,Closed
IBM,0,0,0,38916.81003244869,0,38916.81003244869,Closed
C,0,0,0,34841.0489307757,0,34841.0489307757,Closed
CRM,0,0,0,32902.54991079015,0,32902.54991079015,Closed
OXY,0,0,0,31208.28440787187,0,31208.28440787187,Closed
LRCX,0,0,0,28306.181563375627,0,28306.181563375627,Closed
MS,0,0,0,20543.847100923245,0,20543.847100923245,Closed
VRTX,0,0,0,19396.059969999966,0,19396.059969999966,Closed
MSFT,0,0,0,18240.527386957205,0,18240.527386957205,Closed
GILD,0,0,0,18011.449375543223,0,18011.449375543223,Closed
AAPL,1017.0,262414.3516591697,253422.30696378733,22960.376024586585,-8992.044695382385,13968.3313292042,Open (1017 sh)
AMZN,0,0,0,9635.281702429837,0,9635.281702429837,Closed
NKE,0,0,0,9486.0126817632,0,9486.0126817632,Closed
ADBE,0,0,0,8405.485989999985,0,8405.485989999985,Closed
GOOGL,0,0,0,7893.483761840274,0,7893.483761840274,Closed
INTC,7124.0,262639.29692,253639.54411785206,15508.924425732675,-8999.752802147937,6509.171623584738,Open (7124 sh)
TXN,0,0,0,4691.336648514204,0,4691.336648514204,Closed
MCD,0,0,0,3637.930121212452,0,3637.930121212452,Closed
BLK,0,0,0,3441.8597078457187,0,3441.8597078457187,Closed
DVN,0,0,0,2354.2941444813814,0,2354.2941444813814,Closed
KLAC,0,0,0,2062.2287573591293,0,2062.2287573591293,Closed
BAC,0,0,0,-103.44628509538506,0,-103.44628509538506,Closed
CVX,0,0,0,-1195.9793628257707,0,-1195.9793628257707,Closed
WFC,0,0,0,-1705.2394697138097,0,-1705.2394697138097,Closed
BIIB,0,0,0,-3214.0879000000014,0,-3214.0879000000014,Closed
AXP,0,0,0,-5338.881329985129,0,-5338.881329985129,Closed
QCOM,0,0,0,-5758.749961110184,0,-5758.749961110184,Closed
COP,0,0,0,-6327.156018460699,0,-6327.156018460699,Closed
TGT,0,0,0,-8044.9311857030525,0,-8044.9311857030525,Closed
EOG,0,0,0,-9282.199407955546,0,-9282.199407955546,Closed
JPM,0,0,0,-9770.959663517817,0,-9770.959663517817,Closed
MU,0,0,0,-10352.285897085574,0,-10352.285897085574,Closed
REGN,0,0,0,-10947.17718911984,0,-10947.17718911984,Closed
AMAT,0,0,0,-12219.619222962414,0,-12219.619222962414,Closed
LULU,0,0,0,-12345.513319999985,0,-12345.513319999985,Closed
SLB,0,0,0,-14157.705360384787,0,-14157.705360384787,Closed
XOM,0,0,0,-14806.691238880117,0,-14806.691238880117,Closed
AMGN,0,0,0,-15470.183116879933,0,-15470.183116879933,Closed
SBUX,0,0,0,-15859.952303353119,0,-15859.952303353119,Closed
AMD,0,0,0,-23721.986530000017,0,-23721.986530000017,Closed
AVGO,0,0,0,-24148.8448940153,0,-24148.8448940153,Closed
ILMN,0,0,0,-30782.35233269945,0,-30782.35233269945,Closed
HD,0,0,0,-31917.645824469706,0,-31917.645824469706,Closed
NOW,0,0,0,-35798.09724399998,0,-35798.09724399998,Closed
TOTAL,,,,694561.7883079392,-24760.972719169746,669800.8155887695,
