Date,Ticker,Direction,Quantity,Price,Value,Status
2015-02-27T21:00:00Z,BB,BUY,1845.0,10.95,20202.75,3
2015-03-13T20:00:00Z,BB,SELL,1845.0,9.7,17896.5,3
2015-05-13T20:00:00Z,BB,BUY,1899.0,10.27,19502.73,3
2015-06-02T20:00:00Z,BB,SELL,1899.0,9.64,18306.36,3
2015-06-16T20:00:00Z,LULU,BUY,286.0,67.24,19230.64,3
2015-07-15T20:00:00Z,LULU,SELL,286.0,63.31,18106.66,3
2016-03-23T20:00:00Z,TCOM,BUY,323.0,44.0359893,14223.6245439,3
2016-04-13T20:00:00Z,NFLX,BUY,1760.0,11.003,19365.28,3
2016-04-21T20:00:00Z,NFLX,SELL,1760.0,9.465,16658.4,3
2016-05-27T20:00:00Z,BIDU,BUY,100.0,185.15,18515.0,3
2016-06-01T20:00:00Z,CELG,BUY,172.0,106.02,18235.44,3
2016-06-08T20:00:00Z,BIDU,SELL,100.0,168.0,16800.0,3
2016-06-10T20:00:00Z,TCOM,SELL,323.0,39.219397476,12667.865384748,3
2016-06-16T20:00:00Z,CELG,SELL,172.0,100.43,17273.96,3
2016-11-22T21:00:00Z,ET,BUY,1889.0,9.27246986,17515.69556554,3
2016-12-05T21:00:00Z,HES,BUY,338.0,50.522227392,17076.512858496,3
2017-01-03T21:00:00Z,KMI,BUY,1356.0,13.47822805,18276.4772358,3
2017-02-07T21:00:00Z,HES,SELL,338.0,44.443563003,15021.924295014,3
2017-03-21T20:00:00Z,KMI,SELL,1356.0,13.08217077,17739.42356412,3
2017-06-01T20:00:00Z,ET,SELL,1889.0,9.291628905,17551.887001545,3
2017-06-26T20:00:00Z,AMD,BUY,1215.0,13.8,16767.0,3
2017-08-22T20:00:00Z,AMD,SELL,1215.0,12.0,14580.0,3
2017-11-24T18:00:00Z,MELI,BUY,61.0,272.251926924,16607.367542364,3
2017-11-27T21:00:00Z,BHC,BUY,1011.0,16.53,16711.83,3
2017-11-30T21:00:00Z,CSX,BUY,1003.0,16.533848133615,16583.449678015844,3
2017-11-30T21:00:00Z,BBY,BUY,379.0,44.293015575,16787.052902925,3
