Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
ANF,287.0,44198.0,78092.23103678273,0,33894.23103678273,33894.23103678273,Open (287 sh)
SMCI,0,0,0,29936.018000000004,0,29936.018000000004,Closed
ROKU,0,0,0,28786.18,0,28786.18,Closed
VRT,346.0,30542.78110864,53965.20020909991,0,23422.41910045991,23422.41910045991,Open (346 sh)
PLTR,1333.0,28859.449999999997,50990.96875411736,0,22131.518754117365,22131.518754117365,Open (1333 sh)
ALGN,0,0,0,17972.83,0,17972.83,Closed
NVAX,0,0,0,13043.940000000002,0,13043.940000000002,Closed
Z,0,0,0,6969.720000000001,0,6969.720000000001,Closed
BHC,0,0,0,5823.5,0,5823.5,Closed
CSX,0,0,0,4280.904846156871,0,4280.904846156871,Closed
BBY,0,0,0,3574.996831143002,0,3574.996831143002,Closed
MELI,0,0,0,2809.2524576360156,0,2809.2524576360156,Closed
SHOP,0,0,0,1975.4799999999996,0,1975.4799999999996,Closed
SPCE,0,0,0,1304.0,0,1304.0,Closed
LBPH,0,0,0,1128.8700000000026,0,1128.8700000000026,Closed
ET,0,0,0,36.19143600499956,0,36.19143600499956,Closed
SNAP,749.0,0.0,0.0,0,0.0,0.0,Open (749 sh)
KMI,0,0,0,-537.0536716800016,0,-537.0536716800016,Closed
DKS,0,0,0,-949.953396799996,0,-949.953396799996,Closed
CELG,0,0,0,-961.4799999999959,0,-961.4799999999959,Closed
CLF,937.0,983.7099999999991,0.0,0,-983.7099999999991,-983.7099999999991,Open (937 sh)
TTD,0,0,0,-992.8640000000014,0,-992.8640000000014,Closed
LULU,0,0,0,-1123.9799999999996,0,-1123.9799999999996,Closed
SNOW,0,0,0,-1209.7800000000025,0,-1209.7800000000025,Closed
ANET,0,0,0,-1302.952500000003,0,-1302.952500000003,Closed
RIG,0,0,0,-1705.4399999999987,0,-1705.4399999999987,Closed
BIDU,0,0,0,-1715.0,0,-1715.0,Closed
TCOM,0,0,0,-1993.1932711679983,0,-1993.1932711679983,Closed
HES,0,0,0,-2054.5885634820006,0,-2054.5885634820006,Closed
XPEV,0,0,0,-2078.4000000000015,0,-2078.4000000000015,Closed
AMD,0,0,0,-2187.0,0,-2187.0,Closed
MTOR,0,0,0,-2218.58,0,-2218.58,Closed
LI,0,0,0,-2572.7999999999993,0,-2572.7999999999993,Closed
NFLX,0,0,0,-2706.8799999999974,0,-2706.8799999999974,Closed
MDB,0,0,0,-3023.7999999999975,0,-3023.7999999999975,Closed
NIO,0,0,0,-3170.3899999999994,0,-3170.3899999999994,Closed
FSR,0,0,0,-3173.3100000000013,0,-3173.3100000000013,Closed
FSLY,0,0,0,-3173.9500000000044,0,-3173.9500000000044,Closed
BB,0,0,0,-3502.6199999999953,0,-3502.6199999999953,Closed
RAD,0,0,0,-3681.7199999999993,0,-3681.7199999999993,Closed
XNCR,0,0,0,-3773.2599999999948,0,-3773.2599999999948,Closed
SRPT,0,0,0,-3824.319999999998,0,-3824.319999999998,Closed
PLAN,0,0,0,-4051.9500000000007,0,-4051.9500000000007,Closed
U,0,0,0,-4152.240000000002,0,-4152.240000000002,Closed
CVNA,0,0,0,-5640.479999999996,0,-5640.479999999996,Closed
RUN,0,0,0,-6817.720000000001,0,-6817.720000000001,Closed
GME,0,0,0,-9534.654240345597,0,-9534.654240345597,Closed
TOTAL,,,,33811.52392746531,78464.45889136,112275.98281882532,
