Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
SMCI,0,0,0,57030.14099999999,0,57030.14099999999,Closed
ANF,426.0,65604.0,115798.82074056528,0,50194.82074056528,50194.82074056528,Open (426 sh)
ROKU,0,0,0,41405.12,0,41405.12,Closed
VRT,515.0,45461.075927599995,80244.17691014845,0,34783.10098254846,34783.10098254846,Open (515 sh)
PLTR,1973.0,42715.45,75397.8223492863,0,32682.372349286306,32682.372349286306,Open (1973 sh)
ALGN,0,0,0,32554.560000000005,0,32554.560000000005,Closed
NVAX,0,0,0,22282.850000000006,0,22282.850000000006,Closed
NOC,0,0,0,20708.425907999997,0,20708.425907999997,Closed
LHX,0,0,0,17384.103295550995,0,17384.103295550995,Closed
INTU,0,0,0,14410.4765688,0,14410.4765688,Closed
SPCE,0,0,0,5521.599999999991,0,5521.599999999991,Closed
VZ,0,0,0,2821.650484505997,0,2821.650484505997,Closed
INTC,0,0,0,2805.4217725439994,0,2805.4217725439994,Closed
SHOP,0,0,0,2756.239999999998,0,2756.239999999998,Closed
LBPH,0,0,0,1780.4400000000023,0,1780.4400000000023,Closed
DG,0,0,0,1479.2012614000014,0,1479.2012614000014,Closed
IP,0,0,0,1272.9619275507866,0,1272.9619275507866,Closed
MNDY,0,0,0,204.59999999999854,0,204.59999999999854,Closed
ETN,0,0,0,70.14086505999876,0,70.14086505999876,Closed
SNOW,0,0,0,0.0,0,0.0,Closed
EL,0,0,0,-240.23487452199697,0,-240.23487452199697,Closed
AAP,0,0,0,-287.89148517200374,0,-287.89148517200374,Closed
DRI,0,0,0,-449.48003264600266,0,-449.48003264600266,Closed
CPAY,0,0,0,-563.2000000000007,0,-563.2000000000007,Closed
TCOM,0,0,0,-616.0858814879975,0,-616.0858814879975,Closed
CLX,0,0,0,-646.6793879999968,0,-646.6793879999968,Closed
VMC,0,0,0,-667.9261406160003,0,-667.9261406160003,Closed
LH,0,0,0,-925.4931859816679,0,-925.4931859816679,Closed
HPQ,0,0,0,-1028.090941036,0,-1028.090941036,Closed
ILMN,0,0,0,-1383.871530012002,0,-1383.871530012002,Closed
LEN,0,0,0,-1408.7166004537066,0,-1408.7166004537066,Closed
SYY,0,0,0,-1498.9232023149998,0,-1498.9232023149998,Closed
CSX,0,0,0,-1510.168702416413,0,-1510.168702416413,Closed
LLY,0,0,0,-1527.085284279001,0,-1527.085284279001,Closed
KLAC,0,0,0,-1540.9914209279996,0,-1540.9914209279996,Closed
PII,0,0,0,-1831.679527391996,0,-1831.679527391996,Closed
ORLY,0,0,0,-1962.565647948999,0,-1962.565647948999,Closed
BMY,0,0,0,-1977.885935462,0,-1977.885935462,Closed
CERN,0,0,0,-2193.251545442996,0,-2193.251545442996,Closed
MSFT,0,0,0,-2272.6488942239994,0,-2272.6488942239994,Closed
AAPL,0,0,0,-2278.8846739272485,0,-2278.8846739272485,Closed
DE,0,0,0,-2331.246310352002,0,-2331.246310352002,Closed
MTD,0,0,0,-2469.3899999999994,0,-2469.3899999999994,Closed
UNH,0,0,0,-2519.2741593780083,0,-2519.2741593780083,Closed
UNP,0,0,0,-2532.039121919999,0,-2532.039121919999,Closed
SNPS,0,0,0,-2698.41,0,-2698.41,Closed
ARWR,0,0,0,-2830.9399999999987,0,-2830.9399999999987,Closed
BA,0,0,0,-2903.453771088003,0,-2903.453771088003,Closed
CZR,0,0,0,-2972.600000000002,0,-2972.600000000002,Closed
LI,0,0,0,-3832.399999999998,0,-3832.399999999998,Closed
CVNA,0,0,0,-4122.479999999996,0,-4122.479999999996,Closed
CLF,0,0,0,-4316.8000000000175,0,-4316.8000000000175,Closed
FSLY,0,0,0,-4507.750000000004,0,-4507.750000000004,Closed
NIO,0,0,0,-4636.040000000008,0,-4636.040000000008,Closed
ESTC,0,0,0,-4715.800000000003,0,-4715.800000000003,Closed
ELF,0,0,0,-4946.419999999998,0,-4946.419999999998,Closed
RAD,0,0,0,-5159.700000000001,0,-5159.700000000001,Closed
XPEV,0,0,0,-9964.420000000006,0,-9964.420000000006,Closed
RUN,0,0,0,-10483.200000000004,0,-10483.200000000004,Closed
GME,0,0,0,-10501.52466395119,0,-10501.52466395119,Closed
CHPT,0,0,0,-11709.600000000006,0,-11709.600000000006,Closed
TOTAL,,,,97522.69016245949,117660.29407240005,215182.98423485953,
