Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
LBPH,0,0,0,58415.25,0,58415.25,Closed
RH,0,0,0,46156.05,0,46156.05,Closed
CVNA,0,0,0,38888.520000000004,0,38888.520000000004,Closed
DECK,311.0,34658.22859831099,71613.28637770332,0,36955.05777939233,36955.05777939233,Open (311 sh)
NET,0,0,0,33569.76,0,33569.76,Closed
KLAC,0,0,0,30019.544036100997,0,30019.544036100997,Closed
DASH,372.0,46221.0,66953.8422341677,0,20732.842234167707,20732.842234167707,Open (372 sh)
VRT,513.0,45284.52805992,65597.30744407573,0,20312.779384155736,20312.779384155736,Open (513 sh)
WDC,0,0,0,19184.19366808555,0,19184.19366808555,Closed
SHOP,0,0,0,17777.335,0,17777.335,Closed
NFLX,754.0,32352.632,46864.693944053266,0,14512.061944053265,14512.061944053265,Open (754 sh)
X,0,0,0,12831.49522135,0,12831.49522135,Closed
LULU,0,0,0,10949.119999999999,0,10949.119999999999,Closed
BBY,0,0,0,7662.082408784998,0,7662.082408784998,Closed
B,0,0,0,7488.229067749999,0,7488.229067749999,Closed
DXCM,0,0,0,3752.0999999999985,0,3752.0999999999985,Closed
CRWD,0,0,0,2376.0,0,2376.0,Closed
HZNP,0,0,0,1254.4200000000055,0,1254.4200000000055,Closed
CALX,0,0,0,1069.199999999997,0,1069.199999999997,Closed
CF,0,0,0,400.4167102229985,0,400.4167102229985,Closed
RIO,0,0,0,318.4114468500011,0,318.4114468500011,Closed
STLD,0,0,0,-274.6312558350037,0,-274.6312558350037,Closed
MCHP,0,0,0,-386.23579851999966,0,-386.23579851999966,Closed
ON,0,0,0,-621.7599999999948,0,-621.7599999999948,Closed
NUE,0,0,0,-750.7906832800036,0,-750.7906832800036,Closed
CDNS,0,0,0,-920.2000000000044,0,-920.2000000000044,Closed
ROK,0,0,0,-1454.4482365200092,0,-1454.4482365200092,Closed
MAS,0,0,0,-1463.8561725279942,0,-1463.8561725279942,Closed
BA,0,0,0,-1939.0499999999993,0,-1939.0499999999993,Closed
APA,0,0,0,-2160.1059234299973,0,-2160.1059234299973,Closed
SRPT,0,0,0,-2547.359999999997,0,-2547.359999999997,Closed
ALNY,0,0,0,-2588.040000000001,0,-2588.040000000001,Closed
MGM,0,0,0,-2760.8761856700003,0,-2760.8761856700003,Closed
ROKU,0,0,0,-2862.300000000003,0,-2862.300000000003,Closed
ALGN,0,0,0,-3717.5599999999904,0,-3717.5599999999904,Closed
MRO,0,0,0,-4156.476591268001,0,-4156.476591268001,Closed
SEDG,0,0,0,-4809.760000000002,0,-4809.760000000002,Closed
HPQ,0,0,0,-5149.831006740002,0,-5149.831006740002,Closed
ELF,0,0,0,-5468.289999999994,0,-5468.289999999994,Closed
SNAP,0,0,0,-5874.6600000000035,0,-5874.6600000000035,Closed
SNPS,0,0,0,-6055.560000000012,0,-6055.560000000012,Closed
PFE,0,0,0,-6166.560626028004,0,-6166.560626028004,Closed
CAR,0,0,0,-6767.272259272002,0,-6767.272259272002,Closed
FCX,0,0,0,-7992.6078796199945,0,-7992.6078796199945,Closed
MSTR,0,0,0,-8302.208999999995,0,-8302.208999999995,Closed
FLGT,0,0,0,-9585.0,0,-9585.0,Closed
KSS,0,0,0,-10146.015413659006,0,-10146.015413659006,Closed
ENPH,0,0,0,-12359.945000000007,0,-12359.945000000007,Closed
RUN,0,0,0,-13033.129999999997,0,-13033.129999999997,Closed
TSLA,0,0,0,-16004.428792890001,0,-16004.428792890001,Closed
TOTAL,,,,145793.16673388454,92512.74134176903,238305.90807565357,
