Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
TSLA,149.0,19040.949871196615,51586.15924844429,0,32545.209377247673,32545.209377247673,Open (149 sh)
AMD,0,0,0,28675.839999999982,0,28675.839999999982,Closed
META,0,0,0,23662.204884835985,0,23662.204884835985,Closed
AVGO,0,0,0,20315.27365773378,0,20315.27365773378,Closed
ORCL,282.0,31740.31939665298,51769.41666199886,0,20029.09726534588,20029.09726534588,Open (282 sh)
SHOP,446.0,32624.823000000004,51715.313121345745,0,19090.49012134574,19090.49012134574,Open (446 sh)
NFLX,0,0,0,9905.458000000013,0,9905.458000000013,Closed
NOW,246.0,42308.87400000001,51790.39007908828,0,9481.516079088273,9481.516079088273,Open (246 sh)
GOOGL,0,0,0,8421.981373115002,0,8421.981373115002,Closed
UBER,0,0,0,6504.930000000037,0,6504.930000000037,Closed
AAPL,0,0,0,4105.424290292009,0,4105.424290292009,Closed
ADBE,0,0,0,3983.730000000003,0,3983.730000000003,Closed
MSFT,0,0,0,3705.427772131996,0,3705.427772131996,Closed
AMZN,0,0,0,3630.4199999999983,0,3630.4199999999983,Closed
TXN,0,0,0,-24.998109215986915,0,-24.998109215986915,Closed
CSCO,0,0,0,-587.9067386729948,0,-587.9067386729948,Closed
CRM,157.0,56073.046047683005,51571.01088912285,0,-4502.035158560153,-4502.035158560153,Open (157 sh)
QCOM,0,0,0,-6659.624079191999,0,-6659.624079191999,Closed
INTC,0,0,0,-8764.123922822007,0,-8764.123922822007,Closed
TOTAL,,,,96874.03712820582,76644.27768446741,173518.31481267323,
