Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,0,0,0,100747.2140833995,0,100747.2140833995,Closed
TSLA,228.0,27192.006132964627,78939.72537138288,0,51747.719238418256,51747.719238418256,Open (228 sh)
AMD,0,0,0,34842.31999999999,0,34842.31999999999,Closed
META,0,0,0,29038.699249331985,0,29038.699249331985,Closed
ORCL,431.0,51320.429681313966,79125.28208528823,0,27804.852403974262,27804.852403974262,Open (431 sh)
AVGO,0,0,0,26039.09483614404,0,26039.09483614404,Closed
SHOP,682.0,58524.46499999997,79082.88650902212,0,20558.421509022155,20558.421509022155,Open (682 sh)
NOW,376.0,65192.674,79161.81772818242,0,13969.143728182418,13969.143728182418,Open (376 sh)
GOOGL,0,0,0,8754.771424669503,0,8754.771424669503,Closed
UBER,0,0,0,8048.520000000019,0,8048.520000000019,Closed
NFLX,0,0,0,8042.679999999993,0,8042.679999999993,Closed
AAPL,0,0,0,5994.053805008996,0,5994.053805008996,Closed
AMZN,0,0,0,4855.5,0,4855.5,Closed
ADBE,0,0,0,3089.7399999999907,0,3089.7399999999907,Closed
CSCO,0,0,0,-196.83487915999285,0,-196.83487915999285,Closed
TXN,0,0,0,-444.3125868599964,0,-444.3125868599964,Closed
CRM,240.0,83608.069715064,78837.17830612436,0,-4770.891408939642,-4770.891408939642,Open (240 sh)
INTC,0,0,0,-9330.90278966399,0,-9330.90278966399,Closed
QCOM,0,0,0,-10785.824655923992,0,-10785.824655923992,Closed
TOTAL,,,,208694.71848694608,109309.24547065745,318003.96395760356,
