Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
TSLA,42.0,-502.38789233080024,14353.194429754634,0,14855.582322085434,14855.582322085434,Open (42 sh)
META,0,0,0,13640.304212787996,0,13640.304212787996,Closed
MU,0,0,0,13143.980232243011,0,13143.980232243011,Closed
LLY,0,0,0,8847.557037072998,0,8847.557037072998,Closed
GOOGL,0,0,0,7865.096762556495,0,7865.096762556495,Closed
ORCL,81.0,5456.776008957997,13244.101610205571,0,7787.325601247574,7787.325601247574,Open (81 sh)
AMD,0,0,0,7624.069999999985,0,7624.069999999985,Closed
NOW,69.0,7595.2179999999935,14338.889472969851,0,6743.671472969858,6743.671472969858,Open (69 sh)
AMZN,70.0,8476.708414814995,14408.2241569209,0,5931.515742105905,5931.515742105905,Open (70 sh)
COST,15.0,7606.457024158997,12945.55821693138,0,5339.101192772383,5339.101192772383,Open (15 sh)
AVGO,0,0,0,4966.942621317983,0,4966.942621317983,Closed
ADBE,0,0,0,4956.470000000001,0,4956.470000000001,Closed
NFLX,164.0,9971.78300000001,14399.69346010074,0,4427.910460100729,4427.910460100729,Open (164 sh)
SHOP,126.0,10192.909999999996,14421.39247954255,0,4228.482479542554,4228.482479542554,Open (126 sh)
AAPL,61.0,10869.197961707243,14269.261887789025,0,3400.0639260817825,3400.0639260817825,Open (61 sh)
TXN,0,0,0,3364.136646634004,0,3364.136646634004,Closed
CSCO,253.0,11556.288626593003,14381.991598154058,0,2825.702971561055,2825.702971561055,Open (253 sh)
UBER,0,0,0,2631.4899999999907,0,2631.4899999999907,Closed
MSFT,0,0,0,2440.1610287470103,0,2440.1610287470103,Closed
CRM,44.0,12094.0686595,14266.289080703698,0,2172.2204212036977,2172.2204212036977,Open (44 sh)
HD,34.0,12162.923387579009,14094.572940423768,0,1931.6495528447595,1931.6495528447595,Open (34 sh)
UNH,24.0,12196.779907451019,14097.23857638196,0,1900.4586689309417,1900.4586689309417,Open (24 sh)
JPM,59.0,12659.981099042008,14242.130963074707,0,1582.149864032699,1582.149864032699,Open (59 sh)
V,0,0,0,1121.5600894389936,0,1121.5600894389936,Closed
CAT,36.0,13891.453954776,14259.873760069091,0,368.4198052930915,368.4198052930915,Open (36 sh)
PG,0,0,0,81.44160232199647,0,81.44160232199647,Closed
MA,27.0,14805.051398734999,14165.52736697809,0,-639.5240317569078,-639.5240317569078,Open (27 sh)
AMAT,0,0,0,-1712.7392347479981,0,-1712.7392347479981,Closed
XOM,0,0,0,-2535.5676532119833,0,-2535.5676532119833,Closed
QCOM,0,0,0,-3190.2491558139955,0,-3190.2491558139955,Closed
TOTAL,,,,63244.65418934649,62854.73044901555,126099.38463836204,
