symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
GE,4,2,2,50.0%,11814.95,0.00,11814.95,49.5%,-4.7%,10.47
AAPL,6,4,2,66.7%,7435.92,0.00,7435.92,18.5%,-5.6%,3.31
COST,9,5,4,55.6%,6512.23,0.00,6512.23,12.8%,-3.5%,3.60
CAT,6,3,3,50.0%,5409.53,0.00,5409.53,21.5%,-4.2%,5.09
DE,7,3,4,42.9%,4765.44,0.00,4765.44,19.2%,-3.9%,4.89
BA,5,1,4,20.0%,4373.82,0.00,4373.82,69.1%,-5.5%,12.51
AVGO,14,6,8,42.9%,4089.05,0.00,4089.05,12.2%,-5.1%,2.38
TJX,4,3,1,75.0%,3756.47,0.00,3756.47,11.4%,-3.3%,3.42
GS,4,4,0,100.0%,3548.28,0.00,3548.28,7.0%,N/A,N/A
IBM,3,3,0,100.0%,3432.27,0.00,3432.27,8.6%,N/A,N/A
ADBE,11,5,6,45.5%,2632.49,0.00,2632.49,9.1%,-4.2%,2.15
JPM,7,4,3,57.1%,2294.67,0.00,2294.67,8.4%,-3.3%,2.57
HD,8,5,3,62.5%,2291.21,0.00,2291.21,5.3%,-3.3%,1.63
MSFT,13,7,6,53.8%,2208.72,0.00,2208.72,6.1%,-4.0%,1.51
FDX,6,2,4,33.3%,2180.82,0.00,2180.82,22.2%,-6.1%,3.63
BAC,3,2,1,66.7%,2097.74,0.00,2097.74,13.2%,-4.3%,3.07
PM,1,1,0,100.0%,2052.87,0.00,2052.87,13.9%,N/A,N/A
V,6,4,2,66.7%,1940.54,0.00,1940.54,5.8%,-3.1%,1.89
SO,4,2,2,50.0%,1935.98,0.00,1935.98,12.3%,-3.6%,3.37
NKE,5,4,1,80.0%,1897.92,0.00,1897.92,5.7%,-5.9%,0.97
GOOGL,7,5,2,71.4%,1868.40,0.00,1868.40,4.2%,-3.8%,1.09
AMZN,10,7,3,70.0%,1733.18,0.00,1733.18,4.2%,-3.6%,1.18
ABBV,7,3,4,42.9%,1687.17,0.00,1687.17,12.4%,-5.8%,2.13
COP,5,3,2,60.0%,1645.92,0.00,1645.92,9.5%,-8.3%,1.13
T,3,3,0,100.0%,1242.93,0.00,1242.93,3.7%,N/A,N/A
MDT,1,1,0,100.0%,1038.24,0.00,1038.24,8.9%,N/A,N/A
JNJ,2,1,1,50.0%,976.30,0.00,976.30,12.3%,-1.5%,8.28
CRM,4,2,2,50.0%,924.98,0.00,924.98,7.5%,-4.2%,1.76
TGT,4,2,2,50.0%,797.74,0.00,797.74,8.0%,-4.5%,1.77
LOW,6,2,4,33.3%,784.17,0.00,784.17,10.1%,-4.5%,2.26
LLY,10,5,5,50.0%,682.98,0.00,682.98,8.1%,-6.6%,1.23
INTC,4,2,2,50.0%,660.78,0.00,660.78,9.1%,-6.0%,1.53
