symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
NFLX,1,1,0,100.0%,2559.80,0.00,2559.80,27.1%,N/A,N/A
NKE,1,1,0,100.0%,1014.01,0.00,1014.01,10.2%,N/A,N/A
AMZN,2,2,0,100.0%,945.01,0.00,945.01,5.0%,N/A,N/A
MCD,1,1,0,100.0%,311.90,0.00,311.90,3.3%,N/A,N/A
GS,1,1,0,100.0%,235.79,0.00,235.79,2.5%,N/A,N/A
V,1,1,0,100.0%,47.14,0.00,47.14,0.5%,N/A,N/A
JPM,1,1,0,100.0%,33.64,0.00,33.64,0.4%,N/A,N/A
MSFT,1,0,1,0.0%,-80.51,0.00,-80.51,N/A,-0.9%,N/A
AVGO,2,1,1,50.0%,-143.21,0.00,-143.21,8.8%,-10.8%,0.82
WFC,1,0,1,0.0%,-151.20,0.00,-151.20,N/A,-1.6%,N/A
SBUX,3,1,2,33.3%,-152.98,0.00,-152.98,8.4%,-5.0%,1.68
LLY,2,1,1,50.0%,-183.01,0.00,-183.01,4.6%,-6.2%,0.74
ABT,1,0,1,0.0%,-190.55,0.00,-190.55,N/A,-1.9%,N/A
CMCSA,1,0,1,0.0%,-209.16,0.00,-209.16,N/A,-2.2%,N/A
MMM,1,0,1,0.0%,-240.00,0.00,-240.00,N/A,-2.4%,N/A
HON,1,0,1,0.0%,-253.69,0.00,-253.69,N/A,-2.6%,N/A
C,1,0,1,0.0%,-324.28,0.00,-324.28,N/A,-3.2%,N/A
GOOGL,2,1,1,50.0%,-396.59,0.00,-396.59,2.8%,-6.6%,0.43
COST,1,0,1,0.0%,-423.79,0.00,-423.79,N/A,-4.4%,N/A
TMO,1,0,1,0.0%,-449.37,0.00,-449.37,N/A,-4.5%,N/A
RTX,1,0,1,0.0%,-552.95,0.00,-552.95,N/A,-5.6%,N/A
BA,1,0,1,0.0%,-648.97,0.00,-648.97,N/A,-6.6%,N/A
LOW,2,0,2,0.0%,-678.62,0.00,-678.62,N/A,-3.5%,N/A
HD,2,0,2,0.0%,-698.36,0.00,-698.36,N/A,-3.7%,N/A
MA,2,0,2,0.0%,-727.00,0.00,-727.00,N/A,-3.8%,N/A
AMGN,1,0,1,0.0%,-851.36,0.00,-851.36,N/A,-8.5%,N/A
LMT,3,0,3,0.0%,-868.19,0.00,-868.19,N/A,-2.9%,N/A
GE,2,0,2,0.0%,-913.06,0.00,-913.06,N/A,-4.7%,N/A
ADBE,2,0,2,0.0%,-1196.96,0.00,-1196.96,N/A,-6.0%,N/A
META,3,0,3,0.0%,-1505.77,0.00,-1505.77,N/A,-5.1%,N/A
